cbsa_code,cbsa_name,i5hgc_density
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",116.8
33140,"Michigan City-La Porte, IN",44.9
33220,"Midland, MI",59.8
33260,"Midland, TX",21.3
33340,"Milwaukee-Waukesha-West Allis, WI",83
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",128.3
33540,"Missoula, MT",27.3
33660,"Mobile, AL",43.7
33700,"Modesto, CA",27.1
33740,"Monroe, LA",28.3
33780,"Monroe, MI",33.1
33860,"Montgomery, AL",26.9
33980,"Morehead City, NC",148.9
34020,"Morgan City, LA",18.3
34060,"Morgantown, WV",53.4
34100,"Morristown, TN",26.4
34140,"Moscow, ID",108.9
34180,"Moses Lake, WA",10.9
34340,"Mount Airy, NC",13.6
34380,"Mount Pleasant, MI",28.4
34420,"Mount Pleasant, TX",30.7
34540,"Mount Vernon, OH",49.4
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",39.3
34900,"Napa, CA",28.7
34940,"Naples-Immokalee-Marco Island, FL",42.9
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",152.5
35020,"Natchez, MS-LA",19
35260,"New Castle, PA",66.4
35300,"New Haven-Milford, CT",46.4
35380,"New Orleans-Metairie, LA",78.1
35420,"New Philadelphia-Dover, OH",54
35500,"Newton, IA",27.2
35620,"New York-Newark-Jersey City, NY-NJ-PA",100.7
35660,"Niles-Benton Harbor, MI",6.4
35740,"Norfolk, NE",20.9
35840,"North Port-Sarasota-Bradenton, FL",108.4
35980,"Norwich-New London, CT",25.6
36100,"Ocala, FL",42.1
36140,"Ocean City, NJ",20.8
36260,"Ogden-Clearfield, UT",83.5
36420,"Oklahoma City, OK",84.4
36500,"Olympia-Tumwater, WA",15.5
36540,"Omaha-Council Bluffs, NE-IA",96.7
36580,"Oneonta, NY",16.1
36740,"Orlando-Kissimmee-Sanford, FL",124.5
36780,"Oshkosh-Neenah, WI",12
36860,"Ottawa-Peru, IL",12.9
36940,"Owatonna, MN",27.3
36980,"Owensboro, KY",8.7
37020,"Owosso, MI",57.4
37060,"Oxford, MS",209.3
37100,"Oxnard-Thousand Oaks-Ventura, CA",108
37140,"Paducah, KY-IL",20.3
37340,"Palm Bay-Melbourne-Titusville, FL",18.4
37420,"Pampa, TX",44.5
37460,"Panama City, FL",10.9
37620,"Parkersburg-Vienna, WV",21.6
37740,"Payson, AZ",18.7
37800,"Pella, IA",30.1
37860,"Pensacola-Ferry Pass-Brent, FL",40
37900,"Peoria, IL",13.2
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",116.7
38060,"Phoenix-Mesa-Scottsdale, AZ",118.6
38240,"Pinehurst-Southern Pines, NC",80.1
38300,"Pittsburgh, PA",73.8
38540,"Pocatello, ID",12
38740,"Poplar Bluff, MO",47.4
38860,"Portland-South Portland, ME",106.5
38900,"Portland-Vancouver-Hillsboro, OR-WA",127.8
38920,"Port Lavaca, TX",46.9
38940,"Port St. Lucie, FL",11.8
39060,"Pottsville, PA",20.2
39140,"Prescott, AZ",18.9
39220,"Price, UT",46.7
39300,"Providence-Warwick, RI-MA",60.5
39340,"Provo-Orem, UT",341.1
39380,"Pueblo, CO",37.5
39420,"Pullman, WA",21.4
39460,"Punta Gorda, FL",18.6
39540,"Racine, WI",15.4
39580,"Raleigh, NC",171.2
39660,"Rapid City, SD",7.1
39740,"Reading, PA",63.2
39820,"Redding, CA",22.4
39860,"Red Wing, MN",151.9
39900,"Reno, NV",63.4
39940,"Rexburg, ID",40.3
40060,"Richmond, VA",101.4
40140,"Riverside-San Bernardino-Ontario, CA",25.1
40220,"Roanoke, VA",38.8
40340,"Rochester, MN",14.3
40380,"Rochester, NY",79.7
40420,"Rockford, IL",48.9
40620,"Rolla, MO",22.6
40660,"Rome, GA",62.4
40700,"Roseburg, OR",9.3
40820,"Ruston, LA",106.5
40900,"Sacramento--Roseville--Arden-Arcade, CA",50.1
40980,"Saginaw, MI",10
41060,"St. Cloud, MN",58.2
41100,"St. George, UT",34.3
41180,"St. Louis, MO-IL",69.3
41420,"Salem, OR",25.5
41460,"Salina, KS",32.5
41500,"Salinas, CA",31.2
41540,"Salisbury, MD-DE",34.7
41620,"Salt Lake City, UT",232.1
41660,"San Angelo, TX",8.8
41700,"San Antonio-New Braunfels, TX",52.2
41740,"San Diego-Carlsbad, CA",177.8
41760,"Sandpoint, ID",24.4
41780,"Sandusky, OH",26.1
41820,"Sanford, NC",34.7
41860,"San Francisco-Oakland-Hayward, CA",198.6
41940,"San Jose-Sunnyvale-Santa Clara, CA",151.6
41980,"San Juan-Carolina-Caguas, PR",3
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",133.4
42100,"Santa Cruz-Watsonville, CA",57
42200,"Santa Maria-Santa Barbara, CA",129.8
42220,"Santa Rosa, CA",76.5
42340,"Savannah, GA",40.8
42540,"Scranton--Wilkes-Barre--Hazleton, PA",7.1
42660,"Seattle-Tacoma-Bellevue, WA",154.9
42680,"Sebastian-Vero Beach, FL",35.9
42700,"Sebring, FL",20.1
42780,"Selinsgrove, PA",75.3
42940,"Sevierville, TN",66.1
43100,"Sheboygan, WI",8.7
43260,"Sheridan, WY",33.6
43320,"Show Low, AZ",9.3
43340,"Shreveport-Bossier City, LA",22.7
43580,"Sioux City, IA-NE-SD",11.9
43620,"Sioux Falls, SD",63.2
43740,"Somerset, PA",12.9
43780,"South Bend-Mishawaka, IN-MI",59.5
43900,"Spartanburg, SC",35
43940,"Spearfish, SD",42.1
44020,"Spirit Lake, IA",417.1
44060,"Spokane-Spokane Valley, WA",30.3
44100,"Springfield, IL",19
44140,"Springfield, MA",27.2
44180,"Springfield, MO",79.7
44220,"Springfield, OH",29
44260,"Starkville, MS",104.9
44300,"State College, PA",71.2
44420,"Staunton-Waynesboro, VA",25.3
44460,"Steamboat Springs, CO",87.4
44620,"Stevens Point, WI",14.3
44660,"Stillwater, OK",78.3
44700,"Stockton-Lodi, CA",1.5
44920,"Summit Park, UT",372
45060,"Syracuse, NY",25.7
45220,"Tallahassee, FL",37.7
45300,"Tampa-St. Petersburg-Clearwater, FL",136.9
45460,"Terre Haute, IN",29
45540,"The Villages, FL",60.8
45620,"Thomasville, GA",22.3
45780,"Toledo, OH",67.2
45820,"Topeka, KS",8.5
45860,"Torrington, CT",31.7
45900,"Traverse City, MI",76.7
45940,"Trenton, NJ",158
46020,"Truckee-Grass Valley, CA",10.2
46060,"Tucson, AZ",40.8
46140,"Tulsa, OK",57.6
46220,"Tuscaloosa, AL",4.5
46300,"Twin Falls, ID",29.6
46340,"Tyler, TX",28.3
46500,"Urbana, OH",25.3
46520,"Urban Honolulu, HI",27.1
46540,"Utica-Rome, NY",13.4
46660,"Valdosta, GA",7.3
46700,"Vallejo-Fairfield, CA",9.6
46980,"Vicksburg, MS",34
47020,"Victoria, TX",31.6
47220,"Vineland-Bridgeton, NJ",6.4
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",80.9
47300,"Visalia-Porterville, CA",15.5
47380,"Waco, TX",4.1
47460,"Walla Walla, WA",48.9
47580,"Warner Robins, GA",27.4
47620,"Warren, PA",24.4
47700,"Warsaw, IN",25.9
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",328.5
47940,"Waterloo-Cedar Falls, IA",59.9
48060,"Watertown-Fort Drum, NY",33.7
48140,"Wausau, WI",15
48300,"Wenatchee, WA",44.6
48500,"West Point, MS",49.2
48540,"Wheeling, WV-OH",6.7
48580,"Whitewater-Elkhorn, WI",19.6
48620,"Wichita, KS",57.3
48660,"Wichita Falls, TX",6.6
48700,"Williamsport, PA",8.6
48900,"Wilmington, NC",128.2
49020,"Winchester, VA-WV",46.6
49100,"Winona, MN",38.9
49180,"Winston-Salem, NC",42.3
49260,"Woodward, OK",48.9
49300,"Wooster, OH",26.1
49340,"Worcester, MA-CT",31.7
49420,"Yakima, WA",20.6
49620,"York-Hanover, PA",4.6
49660,"Youngstown-Warren-Boardman, OH-PA",15.9
49740,"Yuma, AZ",26.1
