year,stco_code,totalpopulation,Crude prevalence,Age-adjusted prevalence
2018,41009,52377,15.7,14.2
2018,41011,64389,18.3,16
2018,41013,23867,17.7,15.5
2018,41015,22813,17.5,14.5
2018,41017,191996,13.7,12.5
2018,41019,110283,17.6,15.5
2018,41021,1894,17,14.3
2018,41023,7176,17.7,15
2018,41025,7329,17.4,15.5
2018,41027,23428,14.6,13.7
2018,41029,219564,15.8,14.4
2018,41031,24192,17.9,16.6
2018,41033,87393,18.4,16.1
2018,41035,67653,17.4,15.9
2018,41037,7879,18.7,16.3
2018,41039,379611,15.3,14.7
2018,41041,49388,17.3,14.8
2018,41043,127335,16.2,15.1
2018,41045,30725,17.8,17.2
2018,41047,346868,15.1,14.5
2018,41049,11372,17.8,16.6
2018,41051,811880,13.1,13
2018,41053,85234,14.2,13.8
2018,41055,1708,16.3,14
2018,41057,26787,17.1,14.9
2018,41059,77516,16.6,16
2018,41061,26461,15.9,15
2018,41063,7081,16.3,13.7
2018,41065,26505,16.3,15
2018,41067,597695,11.6,11.3
2018,41069,1366,19.5,16
2018,41071,107002,14.8,14
2018,42001,102811,13.4,12.1
2018,42003,1218452,11.8,11
2018,42005,65263,15,13.2
2018,42007,164742,13.5,12
2018,42009,48176,15.5,13.7
2018,42011,420152,13.4,12.5
2018,42013,122492,14.4,13
2018,42015,60833,14.9,13.2
2018,42017,628195,10.8,9.7
2018,42019,187888,11.7,10.5
2018,42021,131730,14.5,13
2018,42023,4492,16.1,13.6
2018,42025,64227,14.5,12.8
2018,42027,162805,10.7,11.5
2018,42029,522046,10,9.3
2018,42031,38779,14.3,13.6
2018,42033,79388,15.8,14.3
2018,42035,38684,14.3,13.7
2018,42037,65456,13.7,13.1
2018,42039,85063,15.1,13.7
2018,42041,251423,11.6,10.8
2018,42043,277097,12.5,11.6
2018,42045,564751,11.6,10.9
2018,42047,30169,14.2,12.3
2018,42049,272061,13.7,12.8
2018,42051,130441,15.7,14.1
2018,42053,7279,15.4,14.6
2018,42055,154835,13.9,12.7
2018,42057,14523,15.1,13.4
2018,42059,36506,14.3,13.2
2018,42061,45168,14.5,13.3
2018,42063,84501,14.2,13.7
2018,42065,43641,15.4,13.7
2018,42067,24704,15.5,13.9
2018,42069,210793,13.9,12.8
2018,42071,543557,13.3,12.5
2018,42073,86184,14.8,13.2
2018,42075,141314,13.9,12.7
2018,42077,368100,13.1,12.4
2018,42079,317646,14.4,13.2
2018,42081,113664,13.9,12.8
2018,42083,40968,15.1,13.8
2018,42085,110683,14.3,12.9
2018,42087,46222,16.2,14.5
2018,42089,169507,13.2,12.2
2018,42091,828604,10.4,9.6
2018,42093,18240,13.2,11.9
2018,42095,304807,12.6,11.6
2018,42097,91083,15.3,13.8
2018,42099,46139,14.2,12.8
2018,42101,1584138,14.6,14.7
2018,42103,55933,13.1,11.4
2018,42105,16622,16,13.9
2018,42107,142067,15.2,13.6
2018,42109,40540,14.2,13.3
2018,42111,73952,15.4,13.7
2018,42113,6071,15.8,13.4
2018,42115,40589,15.4,13.4
2018,42117,40763,15,13.5
2018,42119,44785,12.5,12.2
2018,42121,51266,15.6,13.6
2018,42123,39498,14.6,12.8
2018,42125,207346,12.7,11.4
2018,42127,51276,14.3,12.5
2018,42129,350611,12.8,11.3
2018,42131,27046,13.8,12.4
2018,42133,448273,12.8,11.8
2018,44001,48649,11.8,10.7
2018,44003,163861,13.1,11.9
2018,44005,82542,11.4,10.3
2018,44007,636084,14.2,13.8
2018,44009,126179,11.9,11
2018,45001,24541,16.4,14.9
2018,45003,169401,14.1,12.8
2018,45005,8903,19.5,18.2
2018,45007,200482,14.4,13.3
2018,45009,14275,16.8,15.5
2018,45011,21112,17.2,15.8
2018,45013,188715,12.1,10.8
2018,45015,221091,12.3,12
2018,45017,14520,15.5,13.6
2018,45019,405905,11.4,11
2018,45021,57078,16.4,15.4
2018,45023,32251,16.8,15.3
2018,45025,45754,17.9,16.4
2018,45027,33700,17.7,15.9
2018,45029,37660,17.6,16
2018,45031,66802,15.6,14.3
2018,45033,30599,19.7,18.5
2018,45035,160647,12.9,12.3
2018,45037,27052,15.2,14.1
2018,45039,22402,17.7,15.7
2018,45041,138159,15.2,14.2
2018,45043,62249,16,13.8
2018,45045,514213,12.3,11.7
2018,45047,70741,15.3,14.3
2018,45049,19351,17.2,16
2018,45051,344147,15,13.3
2018,45053,28971,16.7,15.4
2018,45055,65592,14.8,13.5
2018,45057,95380,13.4,12.2
2018,45059,66994,16.8,15.5
2018,45061,17142,18.2,17.1
2018,45063,295032,13,12.2
2018,45065,9410,17.2,14.4
2018,45067,31039,17.6,16.1
2018,45069,26398,18.8,17.7
