cbsa_code,cbsa_name,pop_total,pop_white,pop_black,pop_latino,pop_asian,pct_white,pct_black,pct_latino,pct_asian,pct_edu_hsplus_white,pct_edu_hsplus_black,pct_edu_hsplus_asian,pct_edu_hsplus_latino,pct_edu_baplus_white,pct_edu_baplus_black,pct_edu_baplus_asian,pct_edu_baplus_latino,movein_edu_baplus,movein_total,pct_newcomer,newcomer_pct_edu_baplus,pct_nocar,med_hh_inc_total,med_hh_inc_white,med_hh_inc_black,med_hh_inc_asian,med_hh_inc_latino,pct_belowpoverty_total,pct_belowpoverty_white,pct_belowpoverty_black,pct_belowpoverty_asian,pct_belowpoverty_latino,pct_edu_hs,pct_edu_somecollege,pct_edu_associate,pct_edu_ba,pct_edu_grad,pct_edu_baplus,pct_edu_hsplus,lfp_total,lfp_white,lfp_black,lfp_asian,lfp_latino,epratio_total,epratio_white,epratio_black,epratio_asian,epratio_latino,unemp_total,unemp_white,unemp_black,unemp_asian,unemp_latino,med_earnings_total,med_earnings_hs,med_earnings_ba,med_earnings_grad,commuter_total,commuter_white,commuter_black,commuter_asian,commuter_latino,publictrans_total,publictrans_white,publictrans_black,publictrans_asian,publictrans_latino,pct_publictrans_total,pct_publictrans_white,pct_publictrans_black,pct_publictrans_asian,pct_publictrans_latino
28940,"Knoxville, TN Metro Area",869525,746678,49400,36375,13301,0.8587194157729795,0.05681262758402576,0.0418331847847963,0.015296857479658435,0.9050709939148073,0.893628981886321,0.8647792706333973,0.6375026772328122,0.3045998822220768,0.1811680199875078,0.5761036468330134,0.20116727350610408,10595,30830,0.050958172315646456,0.343658773921505,0.0581185133663096,56623,58686,29786,78988,46590,0.141,0.128,0.268,0.087,0.251,0.308,0.207,0.08199999999999999,0.182,0.11699999999999999,0.299,0.8959999999999999,0.598,0.594,0.607,NA,0.6629999999999999,0.5710000000000001,0.568,0.565,NA,0.639,0.040999999999999995,0.040999999999999995,0.063,NA,0.023,38847,30554,50054,60723,401940,348080.04,22910.58,NA,15675.66,2852,1734.016,861.304,NA,136.89600000000002,0.007095586405931233,0.00498165881617343,0.03759415955423215,NA,0.008733029422684595
29020,"Kokomo, IN Metro Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9029784021140893,0.8413397129186603,NA,NA,0.1920165312245425,0.11272727272727273,NA,NA,NA,NA,NA,NA,0.07226728353488916,53440,53140,NA,71676,76848,0.11900000000000001,0.09300000000000001,0.34700000000000003,NA,NA,0.344,0.287,0.086,0.11900000000000001,0.063,0.182,0.899,0.595,0.5820000000000001,NA,NA,NA,0.561,0.5529999999999999,NA,NA,NA,0.057,0.049,NA,NA,NA,34116,33722,45636,56583,36051,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
29100,"La Crosse-Onalaska, WI-MN Metro Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9595769879532485,NA,0.8901912399753239,NA,0.33639985165867137,NA,0.3466995681677977,NA,1807,3734,0.041439621782991334,0.48393144081414036,0.06352295850659118,59608,60268,NA,69900,43063,0.11599999999999999,0.11199999999999999,NA,NA,NA,0.28,0.203,0.13699999999999998,0.21600000000000003,0.121,0.337,0.9570000000000001,0.6609999999999999,0.6609999999999999,NA,NA,NA,0.644,0.643,NA,NA,NA,0.027000000000000003,0.027999999999999997,NA,NA,NA,39213,31672,46152,63614,71265,65848.86,NA,NA,NA,539,514.206,NA,NA,NA,0.007563320002806427,0.007808882340559882,NA,NA,NA
29180,"Lafayette, LA Metro Area",489207,329441,123189,19769,7700,0.6734184097938092,0.2518136494367415,0.04041029666378445,0.015739758425370037,0.8931924230047089,0.8050048275953284,0.8365953573054165,0.592578604475498,0.2845136925662816,0.149721586625577,0.4066909421939008,0.12132943064866396,2424,11202,0.034174423180765676,0.21638993036957685,0.07112900338011968,53493,61331,33870,62566,38532,0.184,0.124,0.313,NA,0.39899999999999997,0.36200000000000004,0.184,0.065,0.18100000000000002,0.07,0.251,0.862,0.609,0.608,0.616,NA,NA,0.5760000000000001,0.583,0.56,NA,NA,0.051,0.037000000000000005,0.091,NA,NA,40008,30710,51511,68510,216587,153776.77,49381.836,NA,NA,1027,165.347,861.653,NA,NA,0.00474174350261096,0.0010752404280568516,0.017448784204783314,NA,NA
29200,"Lafayette-West Lafayette, IN Metro Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9235079954311822,0.9357632623601588,0.943845399803949,0.5967741935483871,0.33903840662478585,0.3246120534103212,0.7139056154600196,0.1728759654702408,3535,7618,0.05631116761775228,0.4640325544762405,0.07641514695220568,49908,55284,27422,24250,35298,0.156,0.124,0.309,0.349,0.209,0.301,0.18,0.073,0.196,0.153,0.349,0.9029999999999999,0.636,0.647,NA,NA,NA,0.618,0.63,NA,NA,NA,0.027000000000000003,0.025,NA,NA,NA,37466,31101,44768,51714,115773,93891.90299999999,NA,6599.061,7525.245,2908,939.284,NA,706.6440000000001,395.48799999999994,0.025118119077850623,0.01000388712964951,NA,0.10708250764767899,0.05255483376288745
29300,"LaGrange, GA-AL Micro Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8841814026223986,0.8518972786508241,NA,NA,0.24563936003849393,0.05730164814105021,NA,NA,1054,4317,0.060511339743769446,0.24415103080843178,0.11495430192247084,46217,61378,32361,88608,70201,0.21600000000000003,0.17300000000000001,0.266,NA,NA,0.395,0.2,0.09,0.11699999999999999,0.057999999999999996,0.175,0.8599999999999999,NA,0.544,0.5670000000000001,NA,NA,NA,0.516,0.5529999999999999,NA,NA,NA,0.035,0.025,NA,NA,35445,28691,47161,46499,42878,NA,NA,NA,NA,125,NA,NA,NA,NA,0.0029152479126824944,NA,NA,NA,NA
29340,"Lake Charles, LA Metro Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8859302856562992,0.804354880581516,0.8750555802578924,0.6732905982905983,0.24585722258866508,0.15514667705088267,0.5180080035571365,0.20876068376068377,1185,5686,0.04112392868766499,0.2084066127330285,0.06594553801647696,51547,61219,31501,51164,NA,0.204,0.152,0.327,NA,0.33,0.35600000000000004,0.191,0.084,0.145,0.084,0.22899999999999998,0.86,0.564,0.5479999999999999,0.574,NA,NA,0.532,0.521,0.536,NA,NA,0.054000000000000006,0.048,0.066,NA,NA,39744,35417,45928,66030,85185,58436.90999999999,NA,NA,NA,308,0,NA,NA,NA,0.0036156600340435524,0,NA,NA,NA
29380,"Lake City, FL Micro Area",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8633659101311149,0.8839297165576504,NA,0.7651245551601423,0.1517917238779851,0.05245607284853149,NA,0.45862989323843417,796,6569,0.1353790985718113,0.12117521692799513,0.032606973058637086,47094,50996,25341,NA,102537,0.141,0.106,0.284,NA,NA,0.42200000000000004,0.218,0.07200000000000001,0.102,0.052000000000000005,0.154,0.866,0.526,0.539,NA,NA,NA,0.47700000000000004,0.489,NA,NA,NA,0.08800000000000001,0.087,NA,NA,NA,31947,25861,52783,57272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29420,"Lake Havasu City-Kingman, AZ Metro Area",212181,162524,1441,35919,1923,0.7659686776855609,0.00679137151771365,0.16928471446547994,0.00906301695250753,0.8904343232330856,NA,NA,0.7135125132997178,0.145700162258028,NA,NA,0.056668362862561876,1643,11023,0.06753833994032266,0.14905198221899665,0.053976617816565126,50179,50760,54032,97901,49860,0.157,0.132,NA,NA,0.21,0.33799999999999997,0.307,0.08900000000000001,0.086,0.049,0.135,0.869,0.445,0.41200000000000003,NA,NA,NA,0.42100000000000004,0.391,NA,NA,NA,0.051,0.052000000000000005,NA,NA,NA,31097,30906,47912,52108,74415,54620.61,NA,NA,14734.17,898,424.75399999999996,NA,NA,372.67,0.012067459517570382,0.007776441896199987,NA,NA,0.0252929075747056
29460,"Lakeland-Winter Haven, FL Metro Area",724777,410125,106158,178402,12156,0.5658637070436838,0.1464698797009287,0.24614743569401346,0.016772055404627905,0.9074425877002413,0.8225601303359867,0.78954802259887,0.7820041568838767,0.22915444313002883,0.13410887056436055,0.425544794188862,0.16090604672645395,8943,36338,0.07205874479211077,0.246106004733337,0.05011545118154122,51833,54831,39256,65281,49366,0.14,0.102,0.19699999999999998,0.09300000000000001,0.192,0.342,0.212,0.105,0.13699999999999998,0.07,0.207,0.866,0.56,0.522,0.615,0.568,0.637,0.535,0.5,0.57,0.522,0.62,0.043,0.042,0.07200000000000001,0.081,0.027000000000000003,31855,30123,42719,51613,307439,172473.279,46730.727999999996,NA,79319.262,1672,780.8240000000001,782.4959999999999,NA,56.848,0.005438477226376614,0.0045272172276611036,0.0167447851443701,NA,7.166985492124221e-4
