cbsa_code,period,cbsa_name,Early-Stage VC_Capital Invested ($ M),Early-Stage VC_Capital Invested ($ M) per 1M Residents,Early-Stage VC_Deals per 1M Residents,Early-Stage VC_Number of Deals,Early-Stage VC_Share of Global Capital Invested (%),Early-Stage VC_Share of Global Deals (%),Later-Stage VC_Capital Invested ($ M),Later-Stage VC_Capital Invested ($ M) per 1M Residents,Later-Stage VC_Deals per 1M Residents,Later-Stage VC_Number of Deals,Later-Stage VC_Share of Global Capital Invested (%),Later-Stage VC_Share of Global Deals (%),Pre-VC (Angel/Seed)_Capital Invested ($ M),Pre-VC (Angel/Seed)_Capital Invested ($ M) per 1M Residents,Pre-VC (Angel/Seed)_Deals per 1M Residents,Pre-VC (Angel/Seed)_Number of Deals,Pre-VC (Angel/Seed)_Share of Global Capital Invested (%),Pre-VC (Angel/Seed)_Share of Global Deals (%),Total VC_Capital Invested ($ M),Total VC_Capital Invested ($ M) per 1M Residents,Total VC_Deals per 1M Residents,Total VC_Number of Deals,Total VC_Share of Global Capital Invested (%),Total VC_Share of Global Deals (%)
16860,2015-17,Chattanooga,65.086395,118.12413,23.593466,13,0.0410034,0.07342973,8.401,15.246824,5.4446459,3,0.00266007,0.03327418,14.975024,27.177902,29.038113,16,0.03988732,0.06671114,88.46242,160.54886,58.076225,32,0.01727455,0.06311139
16980,2015-17,Chicago,1602.5264,168.35028,21.956087,209,1.0095662,1.1805242,3010.0645,316.21646,14.707427,140,0.95309718,1.5527951,535.8175,56.289265,39.079735,372,1.427198,1.551034,5148.4083,540.85602,75.743248,721,1.0053586,1.4219785
17140,2015-17,Cincinnati,112.94676,52.217644,12.944983,28,0.07115467,0.15815635,250.19157,115.66879,12.944983,28,0.07921986,0.31055901,110.89702,51.270004,34.674065,75,0.29538416,0.31270848,474.03535,219.15643,60.56403,131,0.09256755,0.25836227
17200,2015-17,Claremont-Lebanon (NH),8.0010004,37.041668,9.2592592,2,0.0050405,0.01129688,25.6,118.51852,18.518518,4,0.0081059,0.04436557,11.293,52.28241,32.407406,7,0.03007992,0.02918612,44.894001,207.84259,60.185184,13,0.0087667,0.025639
17460,2015-17,Cleveland,77.538788,37.713417,13.132296,27,0.04884821,0.15250791,388.22766,188.82669,13.132296,27,0.12292716,0.29946761,158.43803,77.061302,31.128405,64,0.42201392,0.26684457,624.20448,303.60141,57.392998,118,0.12189192,0.23272326
17820,2015-17,Colorado Springs,0,0,0,0,0,0,18.704,26.269663,1.4044944,1,0.00592238,0.01109139,30.248035,42.483196,25.280899,18,0.08056836,0.07505004,48.952036,68.752861,26.685392,19,0.00955914,0.03747239
17900,2015-17,Columbia (SC),33.649765,41.186981,7.3439412,6,0.02119882,0.03389065,7.5,9.1799269,2.4479804,2,0.00237478,0.02218279,9.8381538,12.041804,8.5679312,7,0.0262048,0.02918612,50.987919,62.408714,18.359854,15,0.0099567,0.02958346
18140,2015-17,Columbus,142.13258,69.570526,19.089575,39,0.08954128,0.2202892,119.23689,58.363628,8.8105726,18,0.03775479,0.19964508,127.9171,62.612385,42.094959,86,0.34071866,0.35857239,389.28658,190.54654,69.995102,143,0.07601818,0.28202904
19100,2015-17,Dallas,600.50336,82.976837,9.3961582,68,0.37830763,0.38409398,714.04346,98.665672,6.2180462,45,0.22609243,0.49911267,386.66818,53.429348,38.828243,281,1.0299254,1.1716144,1701.215,235.07185,54.442448,394,0.33220581,0.777059
19380,2015-17,Dayton,12.103,15.109862,2.4968789,2,0.0076247,0.01129688,44.212002,55.196007,7.4906368,6,0.01399915,0.06654836,51.458,64.242195,13.732834,11,0.137063,0.04586391,107.773,134.54807,23.72035,19,0.02104544,0.03747239
19740,2015-17,Denver,886.51477,310.29568,38.501926,110,0.55849031,0.6213285,1253.7422,438.8317,31.851593,91,0.39698095,1.0093167,441.20419,154.42918,95.904793,274,1.175187,1.1424283,2581.4612,903.55658,166.25832,475,0.50409646,0.93680974
19780,2015-17,Des Moines,16.108,25.366928,7.8740158,5,0.01014779,0.02824221,18.93564,29.819906,3.1496062,2,0.00599572,0.02218279,25.605,40.322834,42.519684,27,0.06820121,0.11257505,60.64864,95.509666,53.543308,34,0.0118432,0.06705585
19820,2015-17,Detroit,116.73958,27.155054,7.2109795,31,0.07354409,0.17510167,250.96269,58.376991,4.1870203,18,0.07946403,0.19964508,109.99007,25.585037,17.911142,77,0.29296842,0.32104736,477.69234,111.11708,29.309141,126,0.09328167,0.2485011
20500,2015-17,Durham,343.49219,613.37891,87.5,49,0.21639464,0.27677361,936.43799,1672.2107,64.285713,36,0.29651073,0.39929016,72.707062,129.83405,133.92857,75,0.19366178,0.31270848,1352.6372,2415.4236,285.71429,160,0.26413708,0.31555695
22220,2015-17,Fayetteville,23.36179,44.329773,24.667933,13,0.01471756,0.07342973,19.613001,37.21632,9.4876661,5,0.0062102,0.05545696,13.435013,25.493383,43.643265,23,0.03578536,0.09589727,56.409803,107.03947,77.798859,41,0.01101546,0.08086147
22660,2015-17,Fort Collins,27.903534,81.828545,14.662757,5,0.01757878,0.02824221,79.179893,232.1991,26.392962,9,0.02507127,0.09982254,30.155025,88.43116,61.583576,21,0.08032061,0.08755837,137.23845,402.4588,102.6393,35,0.02679933,0.06902809
