cbsa_code,period,cbsa_name,Early-Stage VC_Capital Invested ($ M),Early-Stage VC_Capital Invested ($ M) per 1M Residents,Early-Stage VC_Deals per 1M Residents,Early-Stage VC_Number of Deals,Early-Stage VC_Share of Global Capital Invested (%),Early-Stage VC_Share of Global Deals (%),Later-Stage VC_Capital Invested ($ M),Later-Stage VC_Capital Invested ($ M) per 1M Residents,Later-Stage VC_Deals per 1M Residents,Later-Stage VC_Number of Deals,Later-Stage VC_Share of Global Capital Invested (%),Later-Stage VC_Share of Global Deals (%),Pre-VC (Angel/Seed)_Capital Invested ($ M),Pre-VC (Angel/Seed)_Capital Invested ($ M) per 1M Residents,Pre-VC (Angel/Seed)_Deals per 1M Residents,Pre-VC (Angel/Seed)_Number of Deals,Pre-VC (Angel/Seed)_Share of Global Capital Invested (%),Pre-VC (Angel/Seed)_Share of Global Deals (%),Total VC_Capital Invested ($ M),Total VC_Capital Invested ($ M) per 1M Residents,Total VC_Deals per 1M Residents,Total VC_Number of Deals,Total VC_Share of Global Capital Invested (%),Total VC_Share of Global Deals (%)
42100,2015-17,Santa Cruz,151.1404,549.60144,43.636364,12,0.09521606,0.06778129,210.2289,764.46869,40,11,0.06656621,0.12200533,31.219061,113.52386,90.909088,25,0.08315477,0.10423616,392.58835,1427.594,174.54546,48,0.07666294,0.09466709
42140,2015-17,Santa Fe,8.8079996,59.11409,20.134228,3,0.0055489,0.01694532,12.08564,81.111679,6.7114096,1,0.00382676,0.01109139,5.0211535,33.699017,67.114098,10,0.01337429,0.04169446,25.914793,173.92479,93.959732,14,0.00506053,0.02761123
42220,2015-17,Santa Rosa,108.6794,216.06242,31.809145,16,0.0684663,0.09037505,122.34689,243.23438,17.892645,9,0.03873953,0.09982254,38.491001,76.522865,49.70179,25,0.10252424,0.10423616,269.51729,535.81964,99.40358,50,0.05263016,0.09861155
35840,2015-17,Sarasota,6.4031391,8.1155119,2.5348542,2,0.00403388,0.01129688,29.08564,36.86393,2.5348542,2,0.00920958,0.02218279,55.562012,70.420799,27.883396,22,0.1479944,0.09172782,91.050791,115.40024,32.953106,26,0.01778,0.051278
42660,2015-17,Seattle,1954.9844,514.60498,60.279022,229,1.2316093,1.293493,2946.3159,775.55042,41.853119,159,0.93291206,1.7635316,808.98553,212.94698,141.87944,539,2.1548055,2.2473315,5710.2858,1503.1023,244.01158,927,1.1150796,1.8282581
44060,2015-17,Spokane,5.0900002,9.1546764,7.1942444,4,0.00320662,0.02259376,9.9040003,17.81295,5.3956833,3,0.00313597,0.03327418,6.4671535,11.631571,19.784172,11,0.01722584,0.04586391,21.461154,38.599197,32.3741,18,0.00419084,0.03550016
44140,2015-17,Springfield (MA),5.8850002,9.3264666,3.1695721,2,0.00370746,0.01129688,29.523001,46.78764,4.7543583,3,0.00934807,0.03327418,10.615,16.822504,14.263075,9,0.028274,0.03752502,46.023001,72.936607,22.187004,14,0.00898717,0.02761123
41180,2015-17,St. Louis,227.74158,81.046822,16.725979,47,0.1434736,0.26547674,451.89468,160.81662,10.320285,29,0.14308649,0.32165039,121.91307,43.385433,26.690392,75,0.32472638,0.31270848,801.54933,285.24887,53.736656,151,0.15652304,0.29780688
45300,2015-17,Tampa,145.71758,48.044041,8.9020767,27,0.09179977,0.15250791,176.737,58.271347,3.9564788,12,0.05596144,0.13309672,90.647095,29.886942,20.441807,62,0.24144666,0.25850567,413.10167,136.20233,33.300362,101,0.08066869,0.19919532
45780,2015-17,Toledo,31.377533,51.863689,6.6115704,4,0.01976735,0.02259376,0.34999999,0.57851237,3.3057852,2,1.1082e-4,0.02218279,3.4000001,5.6198349,4.9586778,3,0.00905621,0.01250834,35.127533,58.062038,14.876033,9,0.00685955,0.01775008
45940,2015-17,Trenton,112.78876,304.01285,26.954178,10,0.07105514,0.05648441,147.6008,397.84583,24.25876,9,0.04673585,0.09982254,82.729042,222.98933,61.99461,23,0.22035623,0.09589727,343.11861,924.84802,113.20755,42,0.0670027,0.0828337
46060,2015-17,Tucson,70.003761,68.901337,7.8740158,8,0.04410126,0.04518753,50.351002,49.558071,8.8582678,9,0.01594298,0.09982254,21.422012,21.084658,33.464565,34,0.05705945,0.14176117,141.77678,139.54407,50.19685,51,0.02768555,0.10058378
46140,2015-17,Tulsa,3.9070001,3.9504552,2.0222447,2,0.00246135,0.01129688,12.93564,13.079515,2.0222447,2,0.0040959,0.02218279,17.560013,17.755322,18.200203,18,0.04677267,0.07505004,34.402653,34.78529,22.244692,22,0.006718,0.04338908
16580,2015-17,Urbana-Champaign,26.166393,109.02664,50,12,0.01648441,0.06778129,5.1110001,21.295834,16.666666,4,0.00161833,0.04436557,8.4723063,35.301277,50,12,0.02256675,0.05003336,39.7497,165.62375,116.66666,28,0.00776215,0.05522247
47900,2015-17,Washington,1497.0936,243.86604,29.972309,184,0.94314534,1.0393132,2343.7522,381.78079,23.293695,143,0.7421182,1.5860692,517.82935,84.350761,54.243362,333,1.3792849,1.3884257,4358.6752,709.99756,107.50937,660,0.85114306,1.3016725
37980,2015-17,Wilmington (DE),48.171001,170.21555,10.600707,3,0.03034697,0.01694532,0,0,0,0,0,0,6.6989999,23.671377,38.869259,11,0.01784339,0.04586391,54.870001,193.88693,49.469963,14,0.01071477,0.02761123
49170,2015-17,Winston-Salem,9.1120005,13.764351,3.021148,2,0.00574042,0.01129688,20,30.211481,1.510574,1,0.00633274,0.01109139,10.378154,15.67697,13.595166,9,0.02764314,0.03752502,39.490154,59.652802,18.126888,12,0.00771146,0.02366677
49340,2015-17,Worcester,66.846001,71.340446,8.5378866,8,0.04211192,0.04518753,186.274,198.79829,5.3361793,5,0.05898121,0.05545696,45.819035,48.899715,17.075773,16,0.12204311,0.06671114,298.93904,319.03845,30.949841,29,0.05837551,0.0571947
