cbsa_code,cbsa_name,naics2_code,naics2_name,year,cbsa_jobdensity
12260,"Augusta, GA-SC",44,Retail,2004,1708.90356445312
12260,"Augusta, GA-SC",48,Logistics,2004,823.771179199219
12260,"Augusta, GA-SC",51,Information,2004,3335.4677734375
12260,"Augusta, GA-SC",52,Finance,2004,2368.79931640625
12260,"Augusta, GA-SC",53,Real Estate,2004,1997.22521972656
12260,"Augusta, GA-SC",54,Professional,2004,2341.8291015625
12260,"Augusta, GA-SC",55,Headquarters,2004,2969.19555664062
12260,"Augusta, GA-SC",61,Education,2004,4623.6416015625
12260,"Augusta, GA-SC",62,Health Care,2004,5425.56787109375
12260,"Augusta, GA-SC",71,Arts/Entertainment,2004,1314.29528808594
12260,"Augusta, GA-SC",72,Hospitality,2004,2281.09350585938
12260,"Augusta, GA-SC",81,Local Services,2004,1825.73046875
12420,"Austin, TX",00,Total,2004,5375.4453125
12420,"Austin, TX",11,Agriculture,2004,2132.45190429688
12420,"Austin, TX",21,Mining,2004,2741.33349609375
12420,"Austin, TX",22,Utilities,2004,3487.45849609375
12420,"Austin, TX",23,Construction,2004,2043.90307617188
12420,"Austin, TX",31,Manufacturing,2004,3748.36743164062
12420,"Austin, TX",42,Wholesale,2004,6890.28271484375
12420,"Austin, TX",44,Retail,2004,3146.6640625
12420,"Austin, TX",48,Logistics,2004,2926.10107421875
12420,"Austin, TX",51,Information,2004,6460.76513671875
12420,"Austin, TX",52,Finance,2004,8206.533203125
12420,"Austin, TX",53,Real Estate,2004,4736.34765625
12420,"Austin, TX",54,Professional,2004,7530.10791015625
12420,"Austin, TX",55,Headquarters,2004,8829.794921875
12420,"Austin, TX",61,Education,2004,3713.0185546875
12420,"Austin, TX",62,Health Care,2004,6441.99267578125
12420,"Austin, TX",71,Arts/Entertainment,2004,3307.06323242188
12420,"Austin, TX",72,Hospitality,2004,6762.0634765625
12420,"Austin, TX",81,Local Services,2004,5191.7978515625
12540,"Bakersfield, CA",00,Total,2004,2172.42358398438
12540,"Bakersfield, CA",11,Agriculture,2004,1529.67822265625
12540,"Bakersfield, CA",21,Mining,2004,1143.28381347656
12540,"Bakersfield, CA",22,Utilities,2004,2257.67578125
12540,"Bakersfield, CA",23,Construction,2004,1323.84606933594
12540,"Bakersfield, CA",31,Manufacturing,2004,2090.38037109375
12540,"Bakersfield, CA",42,Wholesale,2004,1792.47387695312
12540,"Bakersfield, CA",44,Retail,2004,2376.7119140625
12540,"Bakersfield, CA",48,Logistics,2004,1155.73864746094
12540,"Bakersfield, CA",51,Information,2004,3254.14306640625
12540,"Bakersfield, CA",52,Finance,2004,3259.71997070312
12540,"Bakersfield, CA",53,Real Estate,2004,2292.63159179688
12540,"Bakersfield, CA",54,Professional,2004,3108.26391601562
12540,"Bakersfield, CA",55,Headquarters,2004,2447.59399414062
12540,"Bakersfield, CA",61,Education,2004,2949.0712890625
12540,"Bakersfield, CA",62,Health Care,2004,3787.74291992188
12540,"Bakersfield, CA",71,Arts/Entertainment,2004,1848.60314941406
12540,"Bakersfield, CA",72,Hospitality,2004,2151.59545898438
12540,"Bakersfield, CA",81,Local Services,2004,2203.14819335938
12580,"Baltimore, MD",00,Total,2004,12524.2724609375
12580,"Baltimore, MD",11,Agriculture,2004,1944.70642089844
12580,"Baltimore, MD",21,Mining,2004,2204.22509765625
12580,"Baltimore, MD",22,Utilities,2004,39429.8984375
12580,"Baltimore, MD",23,Construction,2004,3803.61865234375
12580,"Baltimore, MD",31,Manufacturing,2004,4084.27685546875
12580,"Baltimore, MD",42,Wholesale,2004,5097.60400390625
12580,"Baltimore, MD",44,Retail,2004,4786.5517578125
12580,"Baltimore, MD",48,Logistics,2004,4142.32373046875
12580,"Baltimore, MD",51,Information,2004,12019.59765625
12580,"Baltimore, MD",52,Finance,2004,21832.638671875
12580,"Baltimore, MD",53,Real Estate,2004,9345.091796875
12580,"Baltimore, MD",54,Professional,2004,14914.2060546875
12580,"Baltimore, MD",55,Headquarters,2004,9731.6669921875
12580,"Baltimore, MD",61,Education,2004,71717.71875
12580,"Baltimore, MD",62,Health Care,2004,16182.9619140625
12580,"Baltimore, MD",71,Arts/Entertainment,2004,6401.20751953125
12580,"Baltimore, MD",72,Hospitality,2004,9089.37109375
12580,"Baltimore, MD",81,Local Services,2004,7114.298828125
12940,"Baton Rouge, LA",00,Total,2004,3584.75732421875
12940,"Baton Rouge, LA",11,Agriculture,2004,462.371643066406
12940,"Baton Rouge, LA",21,Mining,2004,6694.23828125
12940,"Baton Rouge, LA",22,Utilities,2004,1789.05334472656
12940,"Baton Rouge, LA",23,Construction,2004,7414.7119140625
12940,"Baton Rouge, LA",31,Manufacturing,2004,1898.03796386719
12940,"Baton Rouge, LA",42,Wholesale,2004,2492.07080078125
12940,"Baton Rouge, LA",44,Retail,2004,1801.53857421875
12940,"Baton Rouge, LA",48,Logistics,2004,2201.92578125
12940,"Baton Rouge, LA",51,Information,2004,5057.046875
12940,"Baton Rouge, LA",52,Finance,2004,5564.9951171875
12940,"Baton Rouge, LA",53,Real Estate,2004,2356.25903320312
12940,"Baton Rouge, LA",54,Professional,2004,4926.6123046875
12940,"Baton Rouge, LA",55,Headquarters,2004,4379.45458984375
12940,"Baton Rouge, LA",61,Education,2004,2542.57568359375
12940,"Baton Rouge, LA",62,Health Care,2004,4161.56494140625
12940,"Baton Rouge, LA",71,Arts/Entertainment,2004,3043.58349609375
12940,"Baton Rouge, LA",72,Hospitality,2004,2146.47729492188
12940,"Baton Rouge, LA",81,Local Services,2004,2415.73217773438
13820,"Birmingham, AL",00,Total,2004,4611.4052734375
13820,"Birmingham, AL",11,Agriculture,2004,323.684906005859
13820,"Birmingham, AL",21,Mining,2004,702.604797363281
13820,"Birmingham, AL",22,Utilities,2004,14975.7177734375
13820,"Birmingham, AL",23,Construction,2004,2395.50268554688
13820,"Birmingham, AL",31,Manufacturing,2004,1889.79040527344
13820,"Birmingham, AL",42,Wholesale,2004,2856.48852539062
13820,"Birmingham, AL",44,Retail,2004,2505.8046875
13820,"Birmingham, AL",48,Logistics,2004,2604.14086914062
13820,"Birmingham, AL",51,Information,2004,6974.4931640625
13820,"Birmingham, AL",52,Finance,2004,10542.4248046875
13820,"Birmingham, AL",53,Real Estate,2004,4789.845703125
13820,"Birmingham, AL",54,Professional,2004,7693.85791015625
13820,"Birmingham, AL",55,Headquarters,2004,4270.34521484375
13820,"Birmingham, AL",61,Education,2004,3570.65795898438
13820,"Birmingham, AL",62,Health Care,2004,5800.3896484375
13820,"Birmingham, AL",71,Arts/Entertainment,2004,3293.39526367188
13820,"Birmingham, AL",72,Hospitality,2004,3500.27490234375
13820,"Birmingham, AL",81,Local Services,2004,3805.72973632812
14260,"Boise City, ID",00,Total,2004,3907.80981445312
14260,"Boise City, ID",11,Agriculture,2004,614.804931640625
14260,"Boise City, ID",21,Mining,2004,936.127136230469
14260,"Boise City, ID",22,Utilities,2004,1925.38146972656
14260,"Boise City, ID",23,Construction,2004,1724.28210449219
14260,"Boise City, ID",31,Manufacturing,2004,1896.31494140625
14260,"Boise City, ID",42,Wholesale,2004,2868.31372070312
14260,"Boise City, ID",44,Retail,2004,3575.58471679688
14260,"Boise City, ID",48,Logistics,2004,1887.28515625
14260,"Boise City, ID",51,Information,2004,5672.02490234375
14260,"Boise City, ID",52,Finance,2004,5257.49609375
14260,"Boise City, ID",53,Real Estate,2004,4233.53125
14260,"Boise City, ID",54,Professional,2004,5860.17919921875
14260,"Boise City, ID",55,Headquarters,2004,7425.02978515625
14260,"Boise City, ID",61,Education,2004,2835.95434570312
14260,"Boise City, ID",62,Health Care,2004,6563.9189453125
14260,"Boise City, ID",71,Arts/Entertainment,2004,2767.55639648438
14260,"Boise City, ID",72,Hospitality,2004,4651.8251953125
14260,"Boise City, ID",81,Local Services,2004,4026.4365234375
14860,"Bridgeport, CT",00,Total,2004,7251.763671875
14860,"Bridgeport, CT",11,Agriculture,2004,1845.39233398438
14860,"Bridgeport, CT",21,Mining,2004,2239.54907226562
