cbsa,cbsaname,naics,sector,measure,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,cbsa_code
10420,"Akron, OH",00,Total,actual job density,3442.67578125,3437.103759765625,3454.526611328125,3403.6806640625,3603.300537109375,2998.94384765625,3604.81298828125,3304.121826171875,3330.706787109375,3334.45361328125,3379.502197265625,2709.666015625,10420
10420,"Akron, OH",11,Agriculture,actual job density,562.69525146484375,469.290771484375,474.1690673828125,492.9812316894531,576.89630126953125,512.2283935546875,637.76708984375,527.95977783203125,724.257080078125,639.56134033203125,241.71890258789062,239.373779296875,10420
10420,"Akron, OH",21,Mining,actual job density,840.7529296875,728.25634765625,1472.84765625,1758.5098876953125,763.20556640625,2746.214599609375,369.2585144042969,993.74072265625,818.1082763671875,809.35345458984375,799.54913330078125,1007.5921630859375,10420
10420,"Akron, OH",22,Utilities,actual job density,5129.5322265625,3842.70751953125,3704.685302734375,4823.8076171875,4075.363525390625,3490.64794921875,3501.050537109375,2245.185791015625,2500.4658203125,2699.923583984375,2558.072265625,2704.884033203125,10420
10420,"Akron, OH",23,Construction,actual job density,1323.82470703125,1240.3258056640625,1291.266357421875,1287.609375,1164.6240234375,1105.43994140625,1134.442626953125,1082.5391845703125,1125.15234375,1082.5806884765625,1237.2220458984375,1310.1265869140625,10420
10420,"Akron, OH",31,Manufacturing,actual job density,1729.2828369140625,1748.5458984375,1751.484130859375,1527.8701171875,1519.9176025390625,1466.4000244140625,1416.781005859375,1370.869384765625,1386.9678955078125,1438.729736328125,1454.3673095703125,1437.768310546875,10420
10420,"Akron, OH",42,Wholesale,actual job density,1908.279052734375,1797.5418701171875,1735.326904296875,1688.843505859375,1701.0194091796875,1541.210693359375,1603.3837890625,1594.4556884765625,1608.3458251953125,1631.876953125,1604.9078369140625,1473.051513671875,10420
10420,"Akron, OH",44,Retail,actual job density,1993.4886474609375,1921.4566650390625,2003.634033203125,1987.04443359375,2120.979736328125,1842.0177001953125,1806.2567138671875,1837.274169921875,1826.168212890625,1863.3321533203125,1767.838134765625,1724.72216796875,10420
10420,"Akron, OH",48,Logistics,actual job density,1026.8431396484375,1164.4483642578125,1193.131591796875,1160.1995849609375,1211.94384765625,1228.585693359375,1166.33837890625,1011.871826171875,1113.9783935546875,1159.1329345703125,1178.1741943359375,1174.857666015625,10420
10420,"Akron, OH",51,Information,actual job density,6948.3408203125,7290.43701171875,6844.85107421875,6574.11962890625,6552.62890625,4684.70166015625,5452.2353515625,5544.41357421875,3770.072021484375,3910.8955078125,5463.7939453125,4268.5234375,10420
10420,"Akron, OH",52,Finance,actual job density,4123.88818359375,3459.492431640625,3413.49853515625,3211.325927734375,3903.755615234375,3097.103759765625,3113.412109375,4050.705810546875,3898.99365234375,4073.55224609375,3938.85205078125,2884.859375,10420
10420,"Akron, OH",53,Real Estate,actual job density,2468.537109375,2508.6640625,2510.834228515625,2435.490966796875,2572.595703125,1945.29296875,2419.12158203125,2539.039306640625,2391.159423828125,2423.29443359375,2555.388671875,2479.18701171875,10420
10420,"Akron, OH",54,Professional,actual job density,5286.71142578125,5369.80712890625,5051.400390625,4941.10986328125,4923.86962890625,3703.9111328125,4714.92626953125,4424.509765625,4269.5576171875,4521.36865234375,4678.7412109375,3607.1796875,10420
10420,"Akron, OH",55,Headquarters,actual job density,8170.2109375,7904.60107421875,7776.2822265625,8096.7607421875,7873.28369140625,5933.26806640625,7104.44970703125,6038.43994140625,6477.01708984375,6226.25,6507.78271484375,5361.53369140625,10420
10420,"Akron, OH",61,Education,actual job density,3465.2080078125,3589.6630859375,4233.92236328125,2924.995849609375,2860.49072265625,2186.9365234375,2745.953857421875,2397.243408203125,2655.67724609375,2601.48291015625,2640.7734375,2111.40380859375,10420
10420,"Akron, OH",62,Health Care,actual job density,7089.40185546875,7145.099609375,7246.91259765625,7170.75927734375,7861.99462890625,6566.59423828125,8636.828125,7309.28271484375,7549.95751953125,7490.23681640625,7333.4326171875,5269.61181640625,10420
10420,"Akron, OH",71,Arts/Entertainment,actual job density,2521.989501953125,2327.16748046875,2059.483642578125,2159.982666015625,1743.8470458984375,1386.168701171875,1575.55126953125,2373.79833984375,2097.86767578125,2112.492431640625,2157.877197265625,1744.2412109375,10420
10420,"Akron, OH",72,Hospitality,actual job density,2461.06689453125,2511.511962890625,2394.156494140625,2365.707763671875,2240.218017578125,1852.61181640625,2027.324951171875,2084.37890625,2099.127197265625,2061.0087890625,2117.699951171875,1979.1820068359375,10420
10420,"Akron, OH",81,Local Services,actual job density,2361.544189453125,2301.615478515625,2204.61083984375,2203.9248046875,2305.797607421875,1841.455322265625,2313.447998046875,2104.65380859375,2084.68017578125,2067.166015625,2077.2841796875,1809.802001953125,10420
10580,"Albany, NY",00,Total,actual job density,5060.30126953125,5302.7265625,5373.1904296875,5687.82275390625,5826.2958984375,5967.34375,6249.6689453125,6283.81982421875,6599.6943359375,6666.98193359375,7029.77490234375,7253.47265625,10580
10580,"Albany, NY",11,Agriculture,actual job density,597.5552978515625,565.101318359375,722.248046875,552.9559326171875,496.9057922363281,397.3916320800781,362.6233825683594,300.62451171875,316.61297607421875,283.7649841308594,407.59954833984375,624.674072265625,10580
10580,"Albany, NY",21,Mining,actual job density,330.0745849609375,312.9338684082031,409.6341247558594,347.5409851074219,359.9497985839844,537.6529541015625,273.6149597167969,242.39186096191406,578.84307861328125,1024.1844482421875,339.8939514160156,843.32354736328125,10580
