"","rank_year_range","cbsa_code","count","prosperity_rank","growth_rank","inclusion_rank","racial_inclusion_rank","value_year","average_annual_wage","output_per_job","output_per_person","employment_at_firms_0_5_years_old","jobs","real_gdp","employment_to_population_ratio","median_income","relative_income_poverty","gap_in_employment_to_population_ratio","gap_in_median_income","gap_in_relative_income_poverty"
"41","2007-2017","26900",3,"60","38","63","40","2017",50013.9231984155,119801.457761401,61433.0399829069,79126,1040253.8274625,124623924971.885,0.7517029,36021.33,0.2549747,0.0513009,11910.53,0.0569274
"42","2007-2017","27140",3,"55","75","70","76","2017",41729.6159946775,107058.024953767,50709.8765595571,22169,274118.32252498,29346566213.1641,0.6871545,31134.76,0.2581933,0.1100607,15035.26,0.095839
"43","2007-2017","27260",3,"95","35","76","46","2017",49283.3200463015,116367.133735338,53343.1283584032,74477,689888.44822299,80280341316.8297,0.7284275,32149.23,0.2283138,0.0200751,10866.21,0.0502824
"44","2007-2017","28140",3,"54","41","40","7","2017",51723.0809368758,116200.454690961,59058.4970227273,87595,1082012.48736963,125730343013.648,0.7743863,36029.08,0.2415131,0.0618871,11942.64,0.0570744
"45","2007-2017","28940",3,"15","44","19","15","2017",47284.3322622148,112633.405111165,50600.2553863435,28276,394036.6213432,44381686400.3834,0.7079064,29995.79,0.2493392,0.0318922,6613.449,0.0761244
"46","2007-2017","29460",3,"85","54","87","30","2017",41002.9487414532,99991.8840746554,32507.229516759,21955,223174.71709696,22315660440.3532,0.6601673,28000.92,0.2009964,0.0209208,5960.662,0.024042
"47","2007-2017","29820",3,"99","77","100","38","2017",47330.0292872924,111141.726681046,49987.2613023624,117969,991309.71053052,110175872904.05,0.7211272,31912.69,0.2239519,0.0115309,10900.45,0.0405476
"48","2007-2017","30780",3,"93","82","16","4","2017",45244.4931178386,104616.800280459,50070.8463186239,28378,353380.230088948,36969508954.2781,0.7278932,32938.48,0.2429504,0.0247905,9241.295,0.0619421
"49","2007-2017","31080",3,"34","59","46","22","2017",61577.9905031405,154341.577517052,71519.2516109302,833433,6187972.48341228,955061434721.962,0.721769,35005.88,0.2500715,0.0253929,20596.15,0.0760238
"50","2007-2017","31140",3,"31","13","32","34","2017",48990.869442713,115331.339295258,58974.7597472229,56492,661663.75735772,76310567299.1983,0.7473034,33464.43,0.2563787,0.0631454,9968.078,0.1153235
