cbsa_code,rank_year_range,count,prosperity_rank,growth_rank,inclusion_rank,racial_inclusion_rank,value_year,average_annual_wage,output_per_job,output_per_person,employment_at_firms_0_5_years_old,jobs,real_gdp,employment_to_population_ratio,median_income,relative_income_poverty,gap_in_employment_to_population_ratio,gap_in_median_income,gap_in_relative_income_poverty
39020,NA,NA,NA,NA,NA,NA,2017,36879.453430532,88920.6082518259,29175.0923935552,NA,24912.5105406009,2215235590.35026,NA,NA,NA,NA,NA,NA
39060,NA,NA,NA,NA,NA,NA,2017,40608.3227257982,111932.353324927,39664.2957563789,NA,50520.683374499,5654898981.69118,NA,NA,NA,NA,NA,NA
39140,NA,NA,NA,NA,NA,NA,2017,37709.4602322781,98199.9794620344,28537.2745370007,8276,66306.458435419,6511292856.55838,0.6692672,29808.85,0.2713692,0.0457864,6469.574,0.0304067
39220,NA,NA,NA,NA,NA,NA,2017,39141.3166326004,106855.961217756,43924.2711635468,NA,8342.4740473539,891443083.264182,NA,NA,NA,NA,NA,NA
39260,NA,NA,NA,NA,NA,NA,2017,46811.9229664692,139247.153100099,37899.0118652536,NA,6293.4058747348,876338851.360259,NA,NA,NA,NA,NA,NA
39380,NA,NA,NA,NA,NA,NA,2017,41274.7107598606,85209.9615124569,32729.8478426872,4437,63944.418268688,5448701419.61135,0.6521463,28950.21,0.277922,8.804e-4,6754,0.0373977
39420,NA,NA,NA,NA,NA,NA,2017,41891.2117375632,87329.9065755116,37978.2399017239,NA,21329.242492769,1862680754.21995,NA,NA,NA,NA,NA,NA
39460,NA,NA,NA,NA,NA,NA,2017,37573.7697495924,90979.75001166,23902.0129502938,8718,47823.335663411,4350955123.38084,0.6146464,29808.56,0.2490988,0.1014398,1209.973,0.0740262
39500,NA,NA,NA,NA,NA,NA,2017,39198.8262474255,94893.287042696,45434.0621950843,NA,36484.361341281,3462120973.32762,NA,NA,NA,NA,NA,NA
39540,NA,NA,NA,NA,NA,NA,2017,46019.0425990432,121203.628267677,47817.7297708488,6422,77354.698270204,9375670093.9001,0.7433526,39436.77,0.3058521,0.1847923,23978.99,0.2036049
39660,NA,NA,NA,NA,NA,NA,2017,41114.2860945602,108893.271069218,54261.6512876076,NA,73175.536131338,7968323491.58518,0.7868574,27899.56,0.2553622,0.1652484,10832.88,0.0725761
39700,NA,NA,NA,NA,NA,NA,2017,33335.8851625875,90559.8880277421,15458.0089096698,NA,3684.2543820737,333645664.306313,NA,NA,NA,NA,NA,NA
39740,NA,NA,NA,NA,NA,NA,2017,48137.1304631486,118586.37940911,50295.8979668841,12419,177223.91267677,21016342149.0544,0.7488468,32474.82,0.2795891,0.0848317,17851.16,0.1490988
39780,NA,NA,NA,NA,NA,NA,2017,41622.1391863122,104776.034909387,30678.3051650309,NA,18717.460893379,1961141335.97976,NA,NA,NA,NA,NA,NA
39820,NA,NA,NA,NA,NA,NA,2017,42158.0456148348,105042.443282475,39784.4950456578,7268,68144.512917133,7158066133.1098,0.6728051,29912.2,0.2674648,0.0216656,5944.232,0.0920486
39860,NA,NA,NA,NA,NA,NA,2017,45729.0084619126,116429.314999618,56044.8960272336,NA,22289.084717655,2595102865.64502,NA,NA,NA,NA,NA,NA
39900,NA,NA,NA,NA,NA,NA,2017,48294.1244228229,116551.442433638,58559.1791372677,22379,233426.409359209,27206184712.9206,0.7686126,33976.91,0.2314271,0.0461709,13284.34,0.0796133
39940,NA,NA,NA,NA,NA,NA,2017,25496.5093486487,62741.8897815761,30695.6426878532,NA,25555.285334597,1603386895.80001,NA,NA,NA,NA,NA,NA
39980,NA,NA,NA,NA,NA,NA,2017,36922.883386815,84089.5654144568,40381.9007946925,NA,31783.683158829,2672676104.09672,NA,NA,NA,NA,NA,NA
40080,NA,NA,NA,NA,NA,NA,2017,37832.1761023032,80205.3418209635,29035.6846338156,NA,39070.305758623,3133647228.41992,NA,NA,NA,NA,NA,NA
40100,NA,NA,NA,NA,NA,NA,2017,29201.6605081782,71707.7526917768,18035.4763380606,NA,16211.0587524613,1162458591.89336,NA,NA,NA,NA,NA,NA
40180,NA,NA,NA,NA,NA,NA,2017,39089.9810929676,101960.427746553,41432.0709990697,NA,16174.125181931,1649120721.97597,NA,NA,NA,NA,NA,NA
