"","cbsa_type","cbsa_name","cbsa_code","year","patents_issued"
"67","Metropolitan Statistical Area","Las Vegas-Paradise, NV","29820",2000,167
"68","Metropolitan Statistical Area","Colorado Springs, CO","17820",2000,272
"69","Metropolitan Statistical Area","Provo-Orem, UT","39340",2000,132
"70","Metropolitan Statistical Area","Dayton, OH","19380",2000,274
"71","Metropolitan Statistical Area","Corvallis, OR","18700",2000,131
"72","Metropolitan Statistical Area","Peoria, IL","37900",2000,236
"73","Metropolitan Statistical Area","Memphis, TN-MS-AR","32820",2000,153
"74","Metropolitan Statistical Area","Reno-Sparks, NV","39900",2000,115
"75","Metropolitan Statistical Area","Santa Rosa-Petaluma, CA","42220",2000,148
"76","Metropolitan Statistical Area","Greeley, CO","24540",2000,118
"77","Metropolitan Statistical Area","Richmond, VA","40060",2000,166
"78","Metropolitan Statistical Area","Lexington-Fayette, KY","30460",2000,176
"79","Metropolitan Statistical Area","Des Moines-West Des Moines, IA","19780",2000,119
"80","Metropolitan Statistical Area","Nashville-Davidson--Murfreesboro--Franklin, TN","34980",2000,155
"81","Metropolitan Statistical Area","Knoxville, TN","28940",2000,170
"82","Metropolitan Statistical Area","Syracuse, NY","45060",2000,195
"83","Metropolitan Statistical Area","Grand Rapids-Wyoming, MI","24340",2000,174
"84","Metropolitan Statistical Area","Louisville/Jefferson County, KY-IN","31140",2000,147
"85","Metropolitan Statistical Area","Binghamton, NY","13780",2000,221
"86","Metropolitan Statistical Area","Holland-Grand Haven, MI","26100",2000,166
"87","Metropolitan Statistical Area","Huntsville, AL","26620",2000,103
"88","Metropolitan Statistical Area","Toledo, OH","45780",2000,202
"89","Metropolitan Statistical Area","Virginia Beach-Norfolk-Newport News, VA-NC","47260",2000,148
"90","Metropolitan Statistical Area","Oklahoma City, OK","36420",2000,178
"91","Metropolitan Statistical Area","Appleton, WI","11540",2000,148
"92","Metropolitan Statistical Area","Cedar Rapids, IA","16300",2000,101
"93","Metropolitan Statistical Area","Jacksonville, FL","27260",2000,111
"94","Metropolitan Statistical Area","Canton-Massillon, OH","15940",2000,108
"95","Metropolitan Statistical Area","Tulsa, OK","46140",2000,135
"96","Metropolitan Statistical Area","Norwich-New London, CT","35980",2000,165
"97","Metropolitan Statistical Area","Fort Wayne, IN","23060",2000,153
"98","Metropolitan Statistical Area","Greensboro-High Point, NC","24660",2000,129
"99","Metropolitan Statistical Area","Ogden-Clearfield, UT","36260",2000,131
"100","Metropolitan Statistical Area","Springfield, MA","44140",2000,111
"101","Metropolitan Statistical Area","Harrisburg-Carlisle, PA","25420",2000,142
"102","Metropolitan Statistical Area","North Port-Bradenton-Sarasota, FL","35840",2000,108
"103","Metropolitan Statistical Area","Oshkosh-Neenah, WI","36780",2000,128
"104","Metropolitan Statistical Area","New Orleans-Metairie-Kenner, LA","35380",2000,155
"105","Metropolitan Statistical Area","Portland-South Portland-Biddeford, ME","38860",2000,74
"106","Metropolitan Statistical Area","Gainesville, FL","23540",2000,101
"107","Metropolitan Statistical Area","Lancaster, PA","29540",2000,111
"108","Metropolitan Statistical Area","Omaha-Council Bluffs, NE-IA","36540",2000,95
"109","Metropolitan Statistical Area","Champaign-Urbana, IL","16580",2000,62
"110","Metropolitan Statistical Area","Wichita, KS","48620",2000,97
"111","Metropolitan Statistical Area","Ithaca, NY","27060",2000,92
"112","Metropolitan Statistical Area","Lafayette, IN","29140",2000,88
"113","Metropolitan Statistical Area","Rockford, IL","40420",2000,101
"114","Metropolitan Statistical Area","Flint, MI","22420",2000,81
