YEAR,X.ID.,MEDSCHL,Tot.Res.Exp,Fed.Res.Exp,Ind.Res.Exp,Leg.Fees,Reimb.Leg.Fee,Act.Lic,Excl.Lic.Opt.,Lic.w.Equ,Tot.Lic.Lg.Co,Tot.Lic.Sm.Co,Tot.Lic.St.Ups,Tot.Discl.Lic,Non.Excl.Lic.Opt,Lic.Iss,Opt.Iss,NEWCOMPSUPP,Lic.Inc.Equ,Lic..1mm.,Lic.Gen.Inc,Lic.Gen.Run.Roy,Lic.Inc.Other,Lic.Inc.Pd.Oth,Gross.Lic.Inc,Lic.Inc.Run.Roy,Inv.Dis.Rec,INVDISRES,New.Pat.App.Fld,For..Pat.App.Fld,Pro.Pat.App.Fld,Util.Pat.App.Fld,Tot.Pat.App.Fld,Iss.US.Pat,New.Prod,Cum.Op.St.Ups,St.Ups.Cld,St.Ups.in.Home.St,STRTSBIRSTTR,St.Ups.Formed,St.Ups.w.Equ,add,FIPS.x,FIPS.y,FIPS
2007,95002,Yes,149961430,148000000,1961430,NA,NA,NA,4,3,0,6,2,9,4,8,0,NA,0,0,35,17,1956924,NA,1975404,18480,40,7,36,8,27,1,74,12,1,8,NA,0,NA,2,1,"Albert Einstein College of Med/Yeshiva University,NY",360000000000000,360000000000000,36005
2008,95002,Yes,145523590,143866245,1657345,NA,NA,NA,2,0,0,3,1,22,1,3,1,NA,566390,0,24,12,1387955,NA,2034755,80410,29,3,12,0,12,0,30,8,NA,NA,NA,0,NA,1,0,"Albert Einstein College of Med/Yeshiva University,NY",360000000000000,360000000000000,36005
2009,95002,Yes,142966051,140794345,2171706,NA,NA,NA,4,1,3,5,2,15,6,10,0,NA,0,1,40,21,2841081,NA,2966838,125757,51,NA,8,0,8,0,20,7,2,13,0,0,NA,2,1,"Albert Einstein College of Med/Yeshiva University,NY",360000000000000,360000000000000,36005
2010,95002,Yes,152161016,150343210,1817805,NA,NA,NA,3,2,5,6,2,57,8,11,2,0,2843256,2,31,25,3508266,88575,6496431,144909,54,NA,20,0,20,0,40,19,NA,13,NA,0,NA,2,2,"Albert Einstein College of Med/Yeshiva University,NY",360000000000000,360000000000000,36005
2011,95002,Yes,183514082,181124222,2389860,NA,NA,NA,2,1,8,4,1,25,6,8,5,0,0,1,47,22,4176397,NA,4356987,180590,48,NA,34,0,33,1,68,14,4,12,0,0,NA,1,1,"Albert Einstein College of Med/Yeshiva University,NY",360000000000000,360000000000000,36005
2012,95002,Yes,195244076,192736489,2507587,NA,NA,NA,4,0,4,7,4,45,10,14,1,NA,0,1,59,27,4434730,NA,4746014,311284,69,NA,34,0,34,0,80,15,NA,NA,NA,0,NA,NA,NA,"Albert Einstein College of Med/Yeshiva University,NY",360000000000000,360000000000000,36005
2013,95002,Yes,180685671,177178886,3506785,NA,NA,NA,6,2,NA,NA,4,35,12,18,1,0,1885,1,34,23,3210035,NA,3442097,230177,57,NA,46,0,46,0,97,20,NA,NA,NA,2,NA,4,2,"Albert Einstein College of Med/Yeshiva University,NY",360000000000000,360000000000000,36005
2014,95002,yes,148384135,144884321,3499814,NA,217599,99,5,1,11,12,4,40,21,26,1,NA,0,0,81,31,3053212,122276,3265897,212685,65,NA,37,0,37,0,85,19,1,NA,NA,1,NA,4,1,"Albert Einstein College of Med/Yeshiva University,NY",360000000000000,360000000000000,36005
2015,95002,yes,180261448,176947893,3313555,NA,NA,NA,2,1,13,5,2,NA,16,18,2,NA,0,1,66,26,3988741,96115,4159494,170753,65,NA,18,0,18,0,66,7,1,NA,NA,0,0,1,1,"Albert Einstein College of Med/Yeshiva University,NY",360000000000000,360000000000000,36005
2016,95002,yes,181309432,176446392,4863040,NA,NA,NA,5,5,11,3,8,NA,14,19,3,0,0,1,67,28,4617043,74779,4793751,176708,40,NA,21,0,21,0,67,24,1,NA,NA,5,NA,8,2,"Albert Einstein College of Med/Yeshiva University,NY",360000000000000,360000000000000,36005
2017,95002,yes,184894950,180347397,4547553,NA,NA,NA,5,2,7,10,5,NA,15,20,2,0,414252,NA,74,NA,1629098,103887,4641239,2597889,52,NA,25,0,25,0,59,14,5,NA,NA,2,NA,5,2,"Albert Einstein College of Med/Yeshiva University,NY",360000000000000,360000000000000,36005
2007,95005,No,NA,NA,NA,225000,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,8,5,15,13,2,0,4,1,NA,0,0,0,NA,0,0,NA,NA,NA,NA
2016,95006,no,518239000,212396000,17683000,3162080,1204692,248,19,13,13,57,13,193,24,43,40,NA,4791,1,35,12,10812971,2072,10907198,89436,269,NA,162,0,160,2,344,60,0,56,6,11,0,13,13,"Arizona State Univ.,AZ",40100000000000,40100000000000,4013
2017,95006,no,546530000,229135000,16587000,3770511,1439171,290,18,11,27,55,15,315,34,52,45,NA,136,NA,38,14,653369,2821,770443,116938,277,NA,183,0,183,0,392,85,1,58,13,11,NA,15,11,"Arizona State Univ.,AZ",40100000000000,40100000000000,4013
2006,95006,No,131814265,112868171,9728757,1023888,241745,16,13,6,7,8,4,53,4,17,2,NA,428689,0,42,7,2735456,196160,3349612,185467,154,NA,49,0,49,0,94,23,0,5,0,4,NA,5,5,"Arizona State Univ.,AZ",40100000000000,40100000000000,4013
2007,95006,No,218529322,143632203,34621551,1552086,687866,42,7,4,9,1,4,37,4,11,3,NA,134180,1,34,7,3005594,314787,3303549,163775,152,13,84,0,81,3,119,15,NA,11,1,2,NA,4,4,"Arizona State Univ.,AZ",40100000000000,40100000000000,4013
2008,95006,No,237521155,156168043,13969344,2191219,508710,94,5,0,40,6,4,39,13,18,32,NA,243634,0,30,8,747170,35593,1212021,221217,147,21,87,0,86,1,141,16,7,16,0,1,NA,1,1,"Arizona State Univ.,AZ",40100000000000,40100000000000,4013
2009,95006,No,254006785,160460222,16162824,2171792,661986,109,23,5,16,19,14,104,10,33,16,NA,0,0,28,6,1683000,60287,1878749,195749,164,NA,126,2,124,0,157,20,NA,18,0,4,NA,5,5,"Arizona State Univ.,AZ",40100000000000,40100000000000,4013
2010,95006,No,329345118,196489807,12257329,2537997,834749,139,11,2,32,14,9,64,25,36,19,0,633684,0,34,6,839037,39488,1625716,152995,187,NA,99,0,98,1,166,17,NA,22,0,2,NA,4,2,"Arizona State Univ.,AZ",40100000000000,40100000000000,4013
2011,95006,No,355214540,185765739,9891461,2435439,887437,140,19,9,41,21,10,74,10,29,44,52,0,0,30,5,997302,10658,1059372,62070,170,NA,93,3,90,0,158,18,NA,31,1,8,NA,10,9,"Arizona State Univ.,AZ",40100000000000,40100000000000,4013
2012,95006,No,385958626,194376070,13642705,2494907,1256926,125,22,9,35,36,9,151,7,29,51,44,0,0,34,7,1824639,14014,1900333,75694,239,NA,106,0,104,2,211,26,NA,29,3,8,NA,9,9,"Arizona State Univ.,AZ",40100000000000,40100000000000,4013
2013,95006,No,405154000,201363000,12242000,2766642,970482,178,25,9,36,41,11,150,19,44,44,NA,0,1,37,6,1989210,18067,2026689,37479,250,NA,171,0,171,0,273,48,NA,40,0,10,NA,11,9,"Arizona State Univ.,AZ",40100000000000,40100000000000,4013
2014,95006,no,426651000,196270000,15518000,2925996,941229,202,25,10,22,56,12,202,30,55,35,NA,2843,1,33,7,3315426,38701,3376965,58696,261,NA,165,NA,NA,NA,281,56,4,45,7,12,NA,12,10,"Arizona State Univ.,AZ",40100000000000,40100000000000,4013
2015,95006,no,458412000,196528000,14312000,3317116,1133341,212,22,12,27,42,12,196,33,55,26,0,1273,0,40,9,1392041,28088,1436333,43019,270,NA,175,0,175,0,267,62,2,49,8,10,0,12,12,"Arizona State Univ.,AZ",40100000000000,40100000000000,4013
2016,95007,no,152381000,54751000,5692000,537530,196643,92,6,1,4,8,1,13,0,6,7,14,0,0,44,23,746184,3562,1215367,469183,71,NA,43,0,43,0,98,22,3,14,3,1,0,1,1,"Auburn Univ.,AL",10800000000000,10800000000000,1081
2017,95007,no,190340000,55700000,5110000,368208,83703,89,9,0,8,11,3,42,1,10,12,17,0,0,48,21,1013965,0,1414816,400851,70,NA,33,0,33,0,98,15,2,16,1,1,0,3,3,"Auburn Univ.,AL",10800000000000,10800000000000,1081
2006,95007,No,126522000,45540000,4697000,607931,452775,64,8,0,8,8,2,11,6,14,4,NA,0,0,24,6,661286,0,699810,38524,93,NA,93,2,69,22,101,10,0,11,0,0,NA,0,0,"Auburn Univ.,AL",10800000000000,10800000000000,1081
2007,95007,No,140629000,54949000,4536000,778986,268407,48,6,2,3,6,4,17,3,9,4,NA,0,0,18,6,525980,0,553614,27634,110,9,144,1,120,23,144,19,3,13,0,0,NA,2,2,"Auburn Univ.,AL",10800000000000,10800000000000,1081
2008,95007,No,146984000,54748000,3841000,736377,232702,54,8,1,1,12,1,16,3,11,3,NA,0,0,28,13,592966,0,675132,82166,84,6,67,0,67,0,153,12,1,14,0,1,NA,1,1,"Auburn Univ.,AL",10800000000000,10800000000000,1081
2009,95007,No,143654000,52911000,4629000,806374,85672,66,4,1,0,15,0,19,4,8,7,NA,0,0,32,14,585251,0,693452,108201,87,NA,80,0,65,15,81,14,NA,14,0,0,NA,0,0,"Auburn Univ.,AL",10800000000000,10800000000000,1081
2010,95007,No,145115000,53971000,4177000,608511,137819,63,6,1,2,22,1,27,5,11,14,0,0,0,33,8,730069,0,770134,40065,105,NA,108,0,91,17,110,23,2,15,0,1,NA,1,1,"Auburn Univ.,AL",10800000000000,10800000000000,1081
2011,95007,No,163335000,59559000,4019000,623488,41779,67,12,1,1,16,3,23,6,18,2,0,0,0,30,11,598781,1425,630334,31553,64,NA,75,0,63,12,79,17,2,17,0,2,NA,3,1,"Auburn Univ.,AL",10800000000000,10800000000000,1081
2012,95007,No,133013000,55557000,5200000,658024,159329,83,9,3,2,10,5,28,2,11,6,NA,0,0,31,12,580964,475,646659,65695,87,NA,107,0,82,25,107,14,2,17,0,1,NA,1,1,"Auburn Univ.,AL",10800000000000,10800000000000,1081
2013,95007,No,147229000,57253000,5824000,654299,174125,85,2,0,2,5,0,10,0,2,5,3,0,0,28,17,760182,1370,835897,75715,65,NA,38,0,38,0,104,22,NA,16,1,0,NA,0,0,"Auburn Univ.,AL",10800000000000,10800000000000,1081
2014,95007,no,142487000,50088000,6381000,513842,218851,77,9,1,7,10,1,26,3,12,6,1,0,0,45,23,796829,1037,863334,66505,54,NA,34,2,32,0,79,17,1,15,0,1,0,1,1,"Auburn Univ.,AL",10800000000000,10800000000000,1081
2015,95007,no,135899000,48352000,6165000,478112,188044,90,11,3,12,8,4,31,8,19,5,8,0,0,46,24,905401,4380,1170753,265352,57,NA,42,0,NA,NA,86,16,1,18,2,0,0,2,1,"Auburn Univ.,AL",10800000000000,10800000000000,1081
2015,95100,yes,67736000,NA,NA,394537,203971,51,2,0,7,1,2,7,6,8,2,0,319065,0,28,16,49000,9988,416712,48647,47,NA,33,1,16,10,31,9,NA,6,1,0,1,0,0,"Augusta University,GA",132000000000000,132000000000000,13245
2016,95100,yes,71338000,NA,NA,435601,109446,47,3,0,8,1,0,12,6,9,0,8,339764,1,28,20,2165436,21729,2555046,49846,38,NA,11,0,11,0,29,3,0,5,1,0,0,0,0,"Augusta University,GA",132000000000000,132000000000000,13245
2017,95100,yes,99661000,48931000,3561637,376798,97424,54,4,2,3,2,4,8,4,8,1,12,0,0,28,20,327528,5223,389743,62215,40,NA,10,0,10,0,26,7,9,8,1,3,0,4,3,"Augusta University,GA",132000000000000,132000000000000,13245
2006,95008,No,23396082,8103992,87453,NA,NA,13,2,0,1,1,0,2,NA,2,0,NA,0,0,31,31,0,NA,244719,244719,15,NA,0,0,0,0,0,0,NA,2,0,1,NA,1,0,"Ball State University,IN",180000000000000,180000000000000,18035
2008,95008,No,20388000,12383000,3553000,12456,0,18,3,0,1,2,0,3,0,3,0,NA,0,0,35,35,0,0,112443,112443,15,NA,4,0,3,1,4,0,NA,3,0,1,NA,1,0,"Ball State University,IN",180000000000000,180000000000000,18035
2009,95008,No,26082888,8121812,6818880,10452,0,20,2,0,1,1,0,2,0,2,0,NA,0,0,33,33,0,0,146537,146537,31,NA,2,0,2,0,2,0,NA,4,0,0,NA,0,0,"Ball State University,IN",180000000000000,180000000000000,18035
2012,95008,No,11740000,3320000,168000,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,NA,2,0,2,0,3,0,NA,0,0,0,NA,0,0,"Ball State University,IN",180000000000000,180000000000000,18035
2013,95008,No,3033708,2346043,NA,50279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,NA,4,0,2,2,4,0,0,0,0,0,NA,0,0,"Ball State University,IN",180000000000000,180000000000000,18035
2014,95008,no,9209000,1971000,443000,33213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,"Ball State University,IN",180000000000000,180000000000000,18035
2006,95010,Yes,330630000,275800000,12493000,552000,162000,482,17,2,21,32,2,69,38,50,5,NA,0,3,154,65,3344000,675000,9437000,6093000,96,NA,32,NA,NA,NA,56,13,7,27,0,0,NA,1,1,"Baylor College of Medicine,TX",482000000000000,482000000000000,48201
2007,95010,Yes,308496000,246051000,14374000,477000,151000,518,21,1,12,50,1,66,42,55,8,NA,0,3,160,77,4157000,NA,11048000,6891000,101,NA,28,NA,NA,NA,54,19,14,28,0,1,NA,1,1,"Baylor College of Medicine,TX",482000000000000,482000000000000,48201
2008,95010,Yes,304225000,234213000,16994000,490000,112000,534,16,1,8,35,1,47,22,38,6,NA,0,3,156,75,3741000,NA,8863000,5122000,73,NA,30,NA,NA,NA,47,11,7,29,NA,1,NA,1,1,"Baylor College of Medicine,TX",482000000000000,482000000000000,48201
2009,95010,Yes,305687000,236090000,16673000,506000,104000,564,22,0,11,45,0,51,30,52,4,NA,0,3,152,75,3227000,NA,8809000,5582000,76,NA,14,NA,NA,NA,28,18,8,29,0,0,NA,0,0,"Baylor College of Medicine,TX",482000000000000,482000000000000,48201
2010,95010,Yes,403351000,319885000,13467000,553000,109000,605,18,3,8,40,0,57,25,43,5,0,0,3,157,77,2575000,NA,8485000,5910000,78,NA,27,NA,NA,NA,40,8,6,31,NA,NA,NA,NA,NA,"Baylor College of Medicine,TX",482000000000000,482000000000000,48201
2011,95010,Yes,373381000,352485200,20895800,316000,96000,646,17,2,14,31,2,49,25,42,5,0,0,2,166,79,3055000,NA,9925000,6870000,83,NA,21,NA,NA,NA,36,12,5,32,0,1,NA,2,1,"Baylor College of Medicine,TX",482000000000000,482000000000000,48201
2012,95010,Yes,367556946,248096852,18712385,575000,40814,679,13,2,9,23,4,39,21,34,2,0,0,3,151,79,1717205,NA,8026424,6309219,90,NA,32,NA,NA,NA,50,8,8,35,0,2,NA,4,2,"Baylor College of Medicine,TX",482000000000000,482000000000000,48201
2013,95010,Yes,364308988,230599966,20238866,538848,105296,696,14,0,12,26,0,54,21,35,3,5,0,3,138,72,9698316,NA,13785624,4087308,116,NA,41,NA,NA,NA,55,4,6,34,1,0,NA,0,0,"Baylor College of Medicine,TX",482000000000000,482000000000000,48201
2014,95010,yes,335488469,203880570,18855971,394215,98483,745,21,2,6,41,10,75,28,49,8,6,0,2,123,67,1242913,NA,5513792,4270879,118,NA,43,NA,NA,NA,56,3,5,38,1,6,5,8,2,"Baylor College of Medicine,TX",482000000000000,482000000000000,48201
2015,95010,yes,377877523,233447447,14780570,569018,58375,767,25,1,20,24,10,79,25,50,4,5,0,2,152,58,2124778,NA,5992122,3867344,112,NA,50,0,50,0,83,16,4,44,1,6,3,9,1,"Baylor College of Medicine,TX",482000000000000,482000000000000,48201
2016,95010,yes,431963899,264449556,15070791,NA,29017,713,21,2,15,27,6,48,25,46,2,5,NA,3,107,56,NA,NA,19485397,NA,104,NA,43,NA,43,NA,87,15,NA,45,1,5,0,6,2,"Baylor College of Medicine,TX",482000000000000,482000000000000,48201
2017,95010,yes,453867867,286047009,19457669,601241,37525,700,17,1,6,29,7,51,21,38,4,6,0,1,114,52,1713743,NA,3699040,1985297,100,NA,78,NA,58,20,95,17,1,50,1,5,NA,7,1,"Baylor College of Medicine,TX",482000000000000,482000000000000,48201
2009,96003,No,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,4,NA,3,0,3,0,3,NA,NA,1,0,1,NA,1,1,"Baylor University,TX",483000000000000,483000000000000,48309
2011,96003,No,12343000,3704000,918000,NA,NA,3,1,1,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,8,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,NA,0,NA,"Baylor University,TX",483000000000000,483000000000000,48309
2006,95011,No,202000000,142409000,6583000,1583586,771185,119,5,2,5,10,3,24,5,10,8,NA,20281,0,34,23,272000,1419,962442,670161,92,NA,39,0,36,3,79,13,NA,19,4,2,NA,3,2,NA,NA,NA,NA
2007,95011,No,193322000,152294000,5364000,1654452,898804,138,4,3,9,12,5,20,16,20,6,NA,0,NA,36,21,629494,25500,1514823,885329,56,3,35,0,34,1,96,13,1,23,1,1,NA,5,3,NA,NA,NA,NA
2008,95011,No,190139000,139579000,7390000,1858185,938258,150,10,0,10,16,3,6,14,24,5,NA,149489,0,38,26,238322,25500,1229931,842120,86,6,25,0,25,0,88,13,NA,24,2,1,NA,3,0,NA,NA,NA,NA
2009,95011,No,195528000,141512000,8143000,1594461,1183406,156,7,2,13,11,2,0,16,23,3,NA,0,1,60,29,3036664,492610,4009790,973126,77,NA,23,0,21,2,57,9,1,18,7,2,NA,2,1,NA,NA,NA,NA
2010,95011,No,223853000,171592000,8957000,1365743,586092,163,3,0,7,6,5,20,8,11,7,0,0,1,48,25,2316285,151009,3583783,1267498,99,NA,38,0,37,1,73,20,0,19,4,3,NA,5,0,NA,NA,NA,NA
2011,95011,No,243644000,191580000,7851000,1524851,788198,176,3,0,12,7,3,16,8,11,11,0,0,1,50,30,2345104,3434,2865461,520357,87,NA,38,0,35,3,68,16,5,20,2,2,NA,3,0,NA,NA,NA,NA
2012,95011,No,231312000,173868000,8335000,1621763,1008780,182,5,0,9,16,6,5,13,18,13,0,0,0,67,34,1019161,NA,2463421,1444260,104,NA,33,0,29,4,88,20,2,20,5,6,NA,6,0,NA,NA,NA,NA
2013,95011,No,229212000,166460000,11937000,1685362,1418185,187,4,2,12,10,5,78,15,19,8,0,180000,0,69,36,863180,101640,2714569,1671389,99,NA,46,0,45,1,111,15,3,22,3,4,NA,5,1,NA,NA,NA,NA
2014,95011,no,217155000,153874000,17276000,2028495,1050681,192,6,2,16,10,6,5,12,18,14,0,3036559,1,70,36,370038,7294,5847365,2440768,74,NA,46,0,45,1,87,18,NA,24,2,3,0,4,2,NA,NA,NA,NA
2015,95011,no,213804000,147069000,17731000,1986359,1155379,193,8,0,13,11,1,0,13,21,4,0,114900,1,76,36,1164626,6602,3143191,1863665,91,NA,31,0,30,1,115,20,1,20,5,1,0,1,0,NA,NA,NA,NA
2016,95011,no,215057000,146216000,19911000,2267132,1077332,179,7,3,8,12,2,0,9,16,6,0,225686,0,75,37,924941,NA,2998175,1847548,74,NA,42,0,42,0,NA,4,1,13,1,2,0,2,0,NA,NA,NA,NA
2017,95011,no,235802000,175231000,22746000,1742762,1167690,186,4,2,9,3,7,24,11,15,4,0,0,NA,68,20,996918,0,2848334,1851416,74,NA,36,0,30,6,67,18,1,16,0,1,0,2,2,NA,NA,NA,NA
2008,96044,No,12500000,10000000,500000,67890,5389,20,1,0,6,1,0,7,6,7,0,NA,0,0,20,17,157000,0,706671,549671,9,5,3,0,2,1,4,0,1,1,0,0,NA,0,0,NA,NA,NA,NA
2012,96044,No,11272920,10072532,1200388,111410,56041,24,2,0,3,1,0,4,2,4,0,0,0,0,24,15,84700,55000,669131,584431,7,NA,8,0,5,3,3,NA,1,1,0,0,NA,0,0,NA,NA,NA,NA
2015,96044,no,7700000,6000000,770000,NA,NA,20,0,0,0,0,0,1,1,1,0,0,NA,0,20,20,NA,NA,672192,NA,5,NA,6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
2009,20100275,No,11954131,9620900,281099,96831,0,1,1,0,0,1,0,1,0,1,0,NA,0,0,1,0,5000,0,5000,0,7,NA,0,0,0,0,4,0,1,0,0,0,NA,0,0,"Boise State University,ID",160000000000000,160000000000000,16001
2010,20100275,No,18731250,14614004,167855,87337,0,4,0,0,0,4,0,2,4,4,0,0,0,0,2,0,1000,0,1000,0,14,NA,11,0,3,8,11,4,0,0,0,0,NA,0,0,"Boise State University,ID",160000000000000,160000000000000,16001
2011,20100275,No,24204099,18811180,403914,85746,0,17,0,0,0,12,0,4,12,12,0,0,0,0,1,0,500,0,500,0,23,NA,8,0,2,6,8,7,1,0,0,0,NA,0,0,"Boise State University,ID",160000000000000,160000000000000,16001
2012,20100275,No,27919757,20070730,366740,152374,0,18,0,0,0,14,1,6,13,13,2,0,0,0,9,1,34471,0,35471,1000,25,NA,18,1,7,10,17,2,1,1,0,1,NA,1,0,"Boise State University,ID",160000000000000,160000000000000,16001
2013,20100275,No,25691428,16117216,240126,137684,0,26,1,0,0,21,1,5,21,22,0,0,0,0,22,1,33582,0,37582,4000,24,NA,16,0,7,9,16,7,NA,1,0,0,NA,0,0,"Boise State University,ID",160000000000000,160000000000000,16001
2014,20100275,no,26567923,15746323,216282,123010,5696,43,2,0,25,2,0,4,25,27,0,0,0,0,20,2,5600,0,5600,0,16,NA,8,0,7,1,11,6,1,1,0,0,0,0,0,"Boise State University,ID",160000000000000,160000000000000,16001
2015,20100275,no,31341544,18295799,247425,114126,0,55,2,0,37,1,2,5,36,38,2,0,0,0,28,2,20573,0,21475,902,15,NA,6,0,4,4,12,3,3,1,0,0,NA,0,0,"Boise State University,ID",160000000000000,160000000000000,16001
2016,20100275,no,32085046,16955587,497986,77119,15609,55,3,0,24,1,4,8,24,27,2,0,0,0,18,4,52912,0,53847,935,16,NA,5,1,2,2,7,4,6,6,0,4,0,4,0,"Boise State University,ID",160000000000000,160000000000000,16001
2017,20100275,no,34992389,19806536,710506,133499,0,48,3,0,23,2,3,9,24,27,1,0,0,0,19,1,37982,0,39231,1249,14,NA,8,1,6,2,11,3,6,5,1,0,0,0,0,"Boise State University,ID",160000000000000,160000000000000,16001
2010,20100272,No,43571332,33290696,2654777,305755,70650,2,1,1,1,1,1,5,1,2,1,0,0,0,6,1,134411,0,134424,13,15,NA,8,0,8,0,17,8,NA,2,1,0,NA,0,0,"Boston College,MA",250000000000000,250000000000000,25025
2011,20100272,No,42075693,31953038,1967921,310273,114312,5,2,1,0,0,3,8,0,2,1,0,0,0,4,0,41316,0,41316,0,20,NA,34,17,12,5,17,4,0,5,0,0,NA,2,1,"Boston College,MA",250000000000000,250000000000000,25025
2016,95014,yes,425308030,342837992,15041334,1709248,828190,105,2,2,5,0,3,18,4,6,2,NA,7552,0,41,NA,726929,52568,1175288,440807,88,NA,122,43,38,25,70,14,1,NA,NA,NA,NA,NA,NA,"Boston Univ./Boston Medical Center,MA",250000000000000,250000000000000,25021
2017,95014,yes,440919025,348189361,15404726,1890787,1318525,118,4,2,0,1,9,17,2,6,4,NA,358532,NA,49,NA,1513326,148757,2270889,399031,77,NA,123,41,43,39,82,25,NA,NA,NA,NA,NA,NA,NA,"Boston Univ./Boston Medical Center,MA",250000000000000,250000000000000,25021
2006,95014,Yes,350883260,270851068,11284139,1489377,855669,124,12,2,7,14,4,45,9,21,4,NA,1227421,1,62,32,439771,406166,2286545,619353,103,NA,65,0,64,1,166,12,NA,26,2,4,NA,4,4,"Boston Univ./Boston Medical Center,MA",250000000000000,250000000000000,25021
2007,95014,Yes,338913976,264119585,9238222,1786945,1092386,135,9,3,3,10,4,30,4,13,4,NA,1335839,1,45,29,452702,554056,2734479,945938,109,27,67,0,66,1,194,10,5,28,2,3,NA,4,2,"Boston Univ./Boston Medical Center,MA",250000000000000,250000000000000,25021
2008,95014,Yes,343423777,262991971,12114089,1965696,1215794,143,9,7,2,14,7,41,3,12,11,NA,72982,0,41,22,647671,163923,1484441,763788,93,8,66,0,66,0,192,9,6,37,3,6,NA,12,8,"Boston Univ./Boston Medical Center,MA",250000000000000,250000000000000,25021
2009,95014,Yes,371652029,275376904,10998856,2459838,1376468,158,8,7,3,12,8,44,7,15,8,NA,0,0,46,27,728451,83025,1776497,1048046,78,NA,45,0,45,0,97,12,10,41,0,2,NA,4,3,"Boston Univ./Boston Medical Center,MA",250000000000000,250000000000000,25021
2010,95014,Yes,402521235,304901833,23590705,1906377,1147464,160,3,2,2,4,3,13,3,6,3,0,122625,0,50,32,175697,188796,1471353,1173031,77,NA,52,2,49,1,93,18,3,42,2,1,NA,2,2,"Boston Univ./Boston Medical Center,MA",250000000000000,250000000000000,25021
2011,95014,Yes,NA,NA,NA,2047176,1332867,164,7,4,2,1,6,17,0,7,2,0,0,0,42,27,351427,146416,1081568,730141,31,NA,62,30,32,0,81,15,NA,NA,4,1,NA,2,2,"Boston Univ./Boston Medical Center,MA",250000000000000,250000000000000,25021
2012,95014,Yes,464975000,NA,NA,1587869,1039037,141,5,4,NA,NA,5,11,0,5,3,1,0,0,42,21,386869,35227,663591,276722,53,NA,37,0,37,0,86,13,2,NA,NA,4,NA,4,4,"Boston Univ./Boston Medical Center,MA",250000000000000,250000000000000,25021
2013,95014,Yes,442240433,NA,NA,1840690,1831825,139,6,3,2,4,4,31,1,7,3,NA,0,0,40,29,768952,86223,1610519,841567,43,NA,43,0,43,0,84,27,3,24,0,3,NA,4,3,"Boston Univ./Boston Medical Center,MA",250000000000000,250000000000000,25021
2014,95014,yes,350345942,0,0,1648325,1279712,108,3,3,3,3,4,13,4,7,3,0,0,1,31,24,14170876,2279186,15176293,1005417,119,NA,34,0,34,0,68,15,2,NA,0,1,2,3,2,"Boston Univ./Boston Medical Center,MA",250000000000000,250000000000000,25021
2015,95014,yes,419994444,353223154,35389539,1695353,956440,112,3,1,2,0,6,NA,1,4,4,NA,0,0,40,NA,508157,65831,1185353,677196,121,NA,154,73,40,21,81,21,2,NA,NA,NA,NA,NA,NA,"Boston Univ./Boston Medical Center,MA",250000000000000,250000000000000,25021
2016,95015,no,14460000,6229000,0,150000,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,11000,11000,11,NA,6,0,4,2,6,1,NA,0,0,0,0,0,0,"Bowling Green State Univ.,OH",392000000000000,392000000000000,39173
2017,95015,no,14333000,6395000,0,150000,0,3,NA,0,1,0,0,1,1,1,0,0,NA,0,1,1,NA,0,3000,NA,6,NA,2,0,2,2,4,1,0,0,0,0,0,0,0,"Bowling Green State Univ.,OH",392000000000000,392000000000000,39173
2006,95015,No,9912000,5408000,489000,52000,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,5,NA,4,0,1,3,4,2,0,0,0,0,NA,0,0,"Bowling Green State Univ.,OH",392000000000000,392000000000000,39173
2007,95015,No,9120000,6299000,239000,54747,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,8,1,6,4,0,2,2,1,0,0,0,0,NA,0,0,"Bowling Green State Univ.,OH",392000000000000,392000000000000,39173
2008,95015,No,10712000,5918000,2113000,49000,0,0,0,0,2,0,0,0,2,2,0,NA,0,0,2,0,8000,0,8000,0,8,3,7,0,0,7,8,0,0,0,0,0,NA,0,0,"Bowling Green State Univ.,OH",392000000000000,392000000000000,39173
2009,95015,No,8396000,4167749,NA,108000,4000,3,2,2,0,0,3,6,0,2,1,NA,0,0,2,1,10500,0,10500,0,12,NA,10,0,6,4,10,1,0,3,0,1,NA,1,1,"Bowling Green State Univ.,OH",392000000000000,392000000000000,39173
