year,cbsa_code,cbsa_2013_name,cbsa_exports_nominal,cbsa_exports_real,cbsa_pct_exports_gdp
2017,10100,"Aberdeen, SD",366.729705810547,366.729705810547,0.142189592123032
2017,10140,"Aberdeen, WA",173.506317138672,173.506317138672,0.0588544048368931
2017,10180,"Abilene, TX",681.149475097656,681.149475097656,0.0862085819244385
2017,10220,"Ada, OK",144.410034179688,144.410034179688,0.0788402035832405
2017,10300,"Adrian, MI",682.710388183594,682.710388183594,0.207430675625801
2017,10420,"Akron, OH",4286.1201171875,4286.1201171875,0.110656268894672
2017,10460,"Alamogordo, NM",94.7985076904297,94.7985076904297,0.0402707308530807
2017,10500,"Albany, GA",538.395080566406,538.395080566406,0.0759830102324486
2017,10540,"Albany, OR",886.293151855469,886.293151855469,0.189561545848846
2017,10580,"Albany-Schenectady-Troy, NY",5345.23291015625,5345.23291015625,0.0787946358323097
2017,10620,"Albemarle, NC",253.392501831055,253.392501831055,0.115496553480625
2017,10660,"Albert Lea, MN",193.091125488281,193.091125488281,0.138352110981941
2017,10700,"Albertville, AL",624.389282226562,624.389282226562,0.169007837772369
2017,10740,"Albuquerque, NM",2678.55346679688,2678.55346679688,0.060431931167841
2017,10780,"Alexandria, LA",675.062683105469,675.062683105469,0.101224884390831
2017,10820,"Alexandria, MN",276.140655517578,276.140655517578,0.132712081074715
2017,10860,"Alice, TX",217.645874023438,217.645874023438,0.0885394364595413
2017,10900,"Allentown-Bethlehem-Easton, PA-NJ",3866.91064453125,3866.91064453125,0.0896073654294014
2017,10940,"Alma, MI",260.926788330078,260.926788330078,0.157942175865173
2017,10980,"Alpena, MI",153.941390991211,153.941390991211,0.117585219442844
2017,11020,"Altoona, PA",801.645446777344,801.645446777344,0.110341362655163
2017,11060,"Altus, OK",61.7803153991699,61.7803153991699,0.0590464621782303
2017,11100,"Amarillo, TX",1480.03601074219,1480.03601074219,0.101286306977272
2017,11140,"Americus, GA",156.154647827148,156.154647827148,0.110705576837063
2017,11180,"Ames, IA",869.707580566406,869.707580566406,0.146638587117195
2017,11220,"Amsterdam, NY",201.923461914062,201.923461914062,0.0888200327754021
2017,11260,"Anchorage, AK",1285.34436035156,1285.34436035156,0.0517956949770451
2017,11380,"Andrews, TX",173.230621337891,173.230621337891,0.118847295641899
2017,11420,"Angola, IN",411.142517089844,411.142517089844,0.240283876657486
2017,11460,"Ann Arbor, MI",2146.89306640625,2146.89306640625,0.0857550501823425
2017,11500,"Anniston-Oxford-Jacksonville, AL",543.690246582031,543.690246582031,0.113049060106277
2017,11540,"Appleton, WI",1642.82104492188,1642.82104492188,0.120577201247215
2017,11580,"Arcadia, FL",78.9912414550781,78.9912414550781,0.075607068836689
2017,11620,"Ardmore, OK",455.378143310547,455.378143310547,0.128343150019646
2017,11660,"Arkadelphia, AR",93.3432083129883,93.3432083129883,0.108898237347603
2017,11680,"Arkansas City-Winfield, KS",334.815460205078,334.815460205078,0.203158557415009
2017,11700,"Asheville, NC",2615.16552734375,2615.16552734375,0.127434641122818
2017,11740,"Ashland, OH",331.408325195312,331.408325195312,0.155704811215401
2017,11780,"Ashtabula, OH",686.729614257812,686.729614257812,0.194348275661469
2017,11820,"Astoria, OR",245.625793457031,245.625793457031,0.109582461416721
2017,11860,"Atchison, KS",101.878799438477,101.878799438477,0.166229605674744
2017,11900,"Athens, OH",149.80827331543,149.80827331543,0.0677883923053741
2017,11940,"Athens, TN",571.222717285156,571.222717285156,0.273001432418823
2017,11980,"Athens, TX",247.677124023438,247.677124023438,0.113254375755787
2017,12020,"Athens-Clarke County, GA",835.301330566406,835.301330566406,0.0807236954569817
2017,12060,"Atlanta-Sandy Springs-Roswell, GA",28602.140625,28602.140625,0.0801945328712463
2017,12100,"Atlantic City-Hammonton, NJ",365.516815185547,365.516815185547,0.0232959408313036
2017,12140,"Auburn, IN",603.360534667969,603.360534667969,0.227446332573891
2017,12180,"Auburn, NY",396.098724365234,396.098724365234,0.121095560491085
2017,12220,"Auburn-Opelika, AL",756.638977050781,756.638977050781,0.123074151575565
2017,12260,"Augusta-Richmond County, GA-SC",2467.0947265625,2467.0947265625,0.094960942864418
2017,12300,"Augusta-Waterville, ME",238.158355712891,238.158355712891,0.0410036705434322
2017,12380,"Austin, MN",265.923828125,265.923828125,0.143132939934731
2017,12420,"Austin-Round Rock, TX",10931.296875,10931.296875,0.0823695808649063
2017,12460,"Bainbridge, GA",106.2333984375,106.2333984375,0.103419363498688
2017,12540,"Bakersfield, CA",3924.0986328125,3924.0986328125,0.0891062766313553
2017,12580,"Baltimore-Columbia-Towson, MD",11746.6396484375,11746.6396484375,0.0602096989750862
2017,12620,"Bangor, ME",358.644958496094,358.644958496094,0.0522639229893684
2017,12660,"Baraboo, WI",433.871215820312,433.871215820312,0.0951749607920647
2017,12680,"Bardstown, KY",333.435668945312,333.435668945312,0.184086382389069
2017,12700,"Barnstable Town, MA",468.998901367188,468.998901367188,0.0368189364671707
2017,12740,"Barre, VT",160.603134155273,160.603134155273,0.0443318299949169
2017,12780,"Bartlesville, OK",685.300048828125,685.300048828125,0.145246684551239
2017,12820,"Bastrop, LA",83.9550323486328,83.9550323486328,0.11916121840477
2017,12860,"Batavia, NY",252.831665039062,252.831665039062,0.0840779542922974
2017,12900,"Batesville, AR",214.90544128418,214.90544128418,0.144453853368759
2017,12940,"Baton Rouge, LA",12048.4921875,12048.4921875,0.228071019053459
2017,12980,"Battle Creek, MI",1533.73547363281,1533.73547363281,0.226864144206047
2017,13020,"Bay City, MI",434.504119873047,434.504119873047,0.117866151034832
