cbsa_code,year,cbsa_2013_name,cbsa_exports_nominal,cbsa_exports_real,cbsa_pct_exports_gdp
16660,2017,"Charleston-Mattoon, IL",337.628540039062,337.628540039062,0.0938654914498329
16700,2017,"Charleston-North Charleston, SC",4221.80126953125,4221.80126953125,0.112905338406563
16740,2017,"Charlotte-Concord-Gastonia, NC-SC",17119.6875,17119.6875,0.117156952619553
16820,2017,"Charlottesville, VA",731.659240722656,731.659240722656,0.0530558861792088
16860,2017,"Chattanooga, TN-GA",3503.99780273438,3503.99780273438,0.118823572993279
16940,2017,"Cheyenne, WY",322.557922363281,322.557922363281,0.0472858287394047
16980,2017,"Chicago-Naperville-Elgin, IL-IN-WI",61771.0625,61771.0625,0.097740925848484
17020,2017,"Chico, CA",674.847534179688,674.847534179688,0.0556468330323696
17060,2017,"Chillicothe, OH",575.349670410156,575.349670410156,0.182544633746147
17140,2017,"Cincinnati, OH-KY-IN",15249.5439453125,15249.5439453125,0.117196522653103
17200,2017,"Claremont-Lebanon, NH-VT",949.089172363281,949.089172363281,0.0864474400877953
17220,2017,"Clarksburg, WV",574.061279296875,574.061279296875,0.102905288338661
17260,2017,"Clarksdale, MS",79.8066482543945,79.8066482543945,0.0892941504716873
17300,2017,"Clarksville, TN-KY",1033.40625,1033.40625,0.104621820151806
17340,2017,"Clearlake, CA",121.372222900391,121.372222900391,0.0529949553310871
17380,2017,"Cleveland, MS",172.786636352539,172.786636352539,0.147727608680725
17420,2017,"Cleveland, TN",935.554260253906,935.554260253906,0.188230827450752
17460,2017,"Cleveland-Elyria, OH",13912.2724609375,13912.2724609375,0.109182469546795
17500,2017,"Clewiston, FL",159.195083618164,159.195083618164,0.100789554417133
17540,2017,"Clinton, IA",490.885437011719,490.885437011719,0.200091063976288
17580,2017,"Clovis, NM",239.814788818359,239.814788818359,0.0923775061964989
17660,2017,"Coeur d'Alene, ID",821.779113769531,821.779113769531,0.137290388345718
17700,2017,"Coffeyville, KS",296.912658691406,296.912658691406,0.173998430371284
17740,2017,"Coldwater, MI",277.773590087891,277.773590087891,0.187482178211212
17780,2017,"College Station-Bryan, TX",992.662536621094,992.662536621094,0.0773017406463623
17820,2017,"Colorado Springs, CO",1773.42846679688,1773.42846679688,0.0513811446726322
17860,2017,"Columbia, MO",639.246276855469,639.246276855469,0.0652172341942787
17900,2017,"Columbia, SC",3738.49194335938,3738.49194335938,0.0858810245990753
17980,2017,"Columbus, GA-AL",1450.30639648438,1450.30639648438,0.0938832387328148
18020,2017,"Columbus, IN",2832.2470703125,2832.2470703125,0.464237362146378
18060,2017,"Columbus, MS",469.161651611328,469.161651611328,0.18057319521904
18100,2017,"Columbus, NE",522.748840332031,522.748840332031,0.202012926340103
18140,2017,"Columbus, OH",10701.0400390625,10701.0400390625,0.081875242292881
18180,2017,"Concord, NH",633.781799316406,633.781799316406,0.0678652226924896
18220,2017,"Connersville, IN",132.168350219727,132.168350219727,0.201123550534248
18260,2017,"Cookeville, TN",603.64990234375,603.64990234375,0.138350591063499
18300,2017,"Coos Bay, OR",142.097747802734,142.097747802734,0.0611857362091541
18380,2017,"Cordele, GA",100.394989013672,100.394989013672,0.102890074253082
18420,2017,"Corinth, MS",240.994110107422,240.994110107422,0.169027343392372
18460,2017,"Cornelia, GA",336.098083496094,336.098083496094,0.171067535877228
18500,2017,"Corning, NY",557.124267578125,557.124267578125,0.112061813473701
18580,2017,"Corpus Christi, TX",5888.7001953125,5888.7001953125,0.218903556466103
18620,2017,"Corsicana, TX",460.415802001953,460.415802001953,0.179247751832008
18660,2017,"Cortland, NY",211.684951782227,211.684951782227,0.0965967252850533
18700,2017,"Corvallis, OR",905.643493652344,905.643493652344,0.156090527772903
18740,2017,"Coshocton, OH",310.107543945312,310.107543945312,0.201677590608597
18780,2017,"Craig, CO",65.2954025268555,65.2954025268555,0.0815316066145897
18820,2017,"Crawfordsville, IN",478.694427490234,478.694427490234,0.263836532831192
18860,2017,"Crescent City, CA",36.8383560180664,36.8383560180664,0.0293600577861071
18880,2017,"Crestview-Fort Walton Beach-Destin, FL",598.606811523438,598.606811523438,0.0457847565412521
18900,2017,"Crossville, TN",177.694274902344,177.694274902344,0.0809633359313011
18980,2017,"Cullman, AL",480.650909423828,480.650909423828,0.163312837481499
19000,2017,"Cullowhee, NC",64.7068252563477,64.7068252563477,0.041372649371624
19060,2017,"Cumberland, MD-WV",360.172943115234,360.172943115234,0.0878637805581093
19100,2017,"Dallas-Fort Worth-Arlington, TX",58387.63671875,58387.63671875,0.118938460946083
19140,2017,"Dalton, GA",1544.56982421875,1544.56982421875,0.2090123295784
19180,2017,"Danville, IL",612.619812011719,612.619812011719,0.165441021323204
19220,2017,"Danville, KY",256.244079589844,256.244079589844,0.143924206495285
19260,2017,"Danville, VA",471.05078125,471.05078125,0.0978770181536674
19300,2017,"Daphne-Fairhope-Foley, AL",436.126983642578,436.126983642578,0.0533435791730881
19340,2017,"Davenport-Moline-Rock Island, IA-IL",2617.6572265625,2617.6572265625,0.12152648717165
19380,2017,"Dayton, OH",4675.03271484375,4675.03271484375,0.107251837849617
19420,2017,"Dayton, TN",209.914688110352,209.914688110352,0.182054832577705
19460,2017,"Decatur, AL",1569.08923339844,1569.08923339844,0.278090924024582
19500,2017,"Decatur, IL",1325.72888183594,1325.72888183594,0.192657023668289
19540,2017,"Decatur, IN",552.031188964844,552.031188964844,0.312436282634735
19580,2017,"Defiance, OH",222.079696655273,222.079696655273,0.114838123321533
19620,2017,"Del Rio, TX",340.678802490234,340.678802490234,0.144770100712776
19660,2017,"Deltona-Daytona Beach-Ormond Beach, FL",1169.37622070312,1169.37622070312,0.0556862540543079
19700,2017,"Deming, NM",121.360954284668,121.360954284668,0.106963649392128
19740,2017,"Denver-Aurora-Lakewood, CO",13750.0576171875,13750.0576171875,0.0720071420073509
19760,2017,"DeRidder, LA",225.356216430664,225.356216430664,0.211209416389465
19780,2017,"Des Moines-West Des Moines, IA",3333.94775390625,3333.94775390625,0.0664907693862915
19820,2017,"Detroit-Warren-Dearborn, MI",38195.33984375,38195.33984375,0.155867233872414
19860,2017,"Dickinson, ND",324.200469970703,324.200469970703,0.10925405472517
19940,2017,"Dixon, IL",235.831970214844,235.831970214844,0.135960683226585
19980,2017,"Dodge City, KS",350.063873291016,350.063873291016,0.173210620880127
