state_name,state_code,year,county,county_fips_bea,largest_100_metro,metro,nominal_exports_mil_by_all_industries_county,real_exports_mil_by_all_industries_county,export_share_of_gdp_percent_by_all_industries_county,direct_export_supported_jobs_by_all_industries_county,direct_export_jobs_intensity_by_all_industries_county,total_export_supported_jobs_by_all_industries_county,total_export_jobs_intensity_by_all_industries_county,annualized_export_growth_2003_2014_percent_by_all_industries_county,annualized_export_growth_2008_2017_percent_by_all_industries_county,annualized_export_growth_2014_2017_percent_by_all_industries_county,annualized_export_growth_2003_2017_percent_by_all_industries_county,year_to_year_export_growth_percent_by_all_industries_county,nominal_gdp_mil_by_all_industries_county,real_gdp_mil_by_all_industries_county,annualized_gdp_growth_2003_2014_percent_by_all_industries_county,annualized_gdp_growth_2008_2017_percent_by_all_industries_county,annualized_gdp_growth_2003_2017_percent_by_all_industries_county,annualized_gdp_growth_2014_2017_percent_by_all_industries_county,year_to_year_gdp_growth_percent_by_all_industries_county,total_jobs_by_all_industries_county
Alabama,AL,135139,71489,71489,7,29,29986.96641921997,29986.96641921997,12.161497216671705,70772.35553741455,2.966662500053644,163653.57502746582,6.889252662658691,NA,0.807197606540285,0.6224211350781843,2.7830719212070107,6.170841087703593,215486.07133483887,215486.07133483887,NA,0.4949905570829287,0.6509629773208871,1.3408333397528622,2.692005178425461,2076220.001953125
Alaska,AK,58493,62452,62452,0,3,3379.474406540394,3379.474406540394,1.7223356869071722,8200.233105659485,0.6034978218376637,14564.038329601288,1.161218535155058,NA,0.002761401468887925,-1.2795686176978052,1.0805650548718404,-0.7290594801306725,51672.80056762695,51672.80056762695,NA,-0.35922877641860396,0.420319278142415,-0.9959961074055173,0.15652226004749537,357570
Arizona,AZ,30255,60208,60208,3,8,26737.325775146484,26737.325775146484,1.6922287344932556,95338.40414428711,0.5567371798679233,176135.62451171875,1.0965836308896542,NA,0.036832889541983604,-0.46858061716193333,0.6034524720162153,0.5639190291985869,321573.6973876953,321573.6973876953,NA,-0.011615813768003136,0.273978182580322,-0.06724293297156692,0.5369821172207594,2836300.0009765625
Arkansas,AR,151275,380625,380625,7,20,13680.900024414063,13680.900024414063,11.058112595230341,43085.78652191162,3.397506369277835,87012.01784515381,6.590485032647848,NA,0.7661138133844361,0.9074483688818873,1.5437315486124135,9.722209165571257,126994.88048553467,126994.88048553467,NA,0.4874792102491483,0.6083118603855837,-0.3288929402406211,2.567394093843177,1318890.0004882813
California,CA,116986,351364,351364,20,37,258424.6360501051,258424.6360501051,4.462147538550198,1000666.7921257019,2.5194370206445456,1771017.2980499268,4.358014062047005,NA,1.2318328909532283,0.054389085329603404,2.2423692388401832,-0.6314637061732356,2743280.434906006,2743280.434906006,NA,1.0850937466602772,1.1927121434127912,1.857563877478242,1.320308801427018,17148020
Colorado,CO,129088,515983,515983,12,17,24519.9526181221,24519.9526181221,5.662945603951812,91078.79703712463,2.361060917377472,165150.26766729355,3.993575993925333,NA,0.7000862487329869,0.2758417767472565,2.5571347954683006,5.148515084059909,338091.43520355225,338091.43520355225,NA,0.23226148943649605,0.9508218641276471,0.12303325429093093,1.9223750720266253,2755220
Connecticut,CT,16136,72064,72064,6,7,27313.38525390625,27313.38525390625,0.8922954648733139,78982.49743652344,0.37702739238739014,169163.95263671875,0.7794605866074562,NA,-0.14705087849870324,-0.04869875102303922,0.13488489226438105,0.2315231915563345,264701.0615234375,264701.0615234375,NA,-0.037702492089010775,0.046428376401308924,0.10628105606883764,0.026858418917981908,1722560
Delaware,DE,6051,30009,30009,1,3,5795.866455078125,5795.866455078125,0.21865179389715195,20089.45556640625,0.10450667515397072,37864.6767578125,0.2054818570613861,NA,-0.045715193497017026,-0.04083887301385403,0.0741068497300148,0.05434951069764793,73923.19921875,73923.19921875,NA,0.03467607777565718,0.0382342345546931,0.06672852020710707,0.05085966736078262,467620
District of Columbia,DC,2017,11001,11001,1,1,7029.8095703125,7029.8095703125,0.05330868437886238,37691.6875,0.0464664027094841,65241.7890625,0.08043023198843002,NA,0.03991704061627388,0.031730767339468,0.05659433454275131,0.03443052992224693,131869.875,131869.875,NA,0.019007941707968712,0.023566175252199173,0.028353331610560417,0.02420233190059662,811160
Florida,FL,135139,808550,808550,23,44,75557.95942687988,75557.95942687988,4.522806596010923,369763.9999923706,1.9162047309800982,632090.074432373,3.3593641575425863,NA,0.7854521376721095,1.5097214555426035,2.164934556814842,0.2626848315994721,973770.3965759277,973770.3965759277,NA,0.7572399197742925,1.0995107157505117,2.201064179535024,1.9299360192380846,8826330
