"","cbsa_code","cbsa_name","cbsa_type","cbsa_pop","cbsa_emp","cbsa_is.top100","cbsa_size","total","male","black","black_male","hispanic","asian","nonminority","male_nonminority"
"87","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","metro",6069448,2628893,TRUE,"very large metros",105310,73936,3059,1738,2534,11399,87516,63403
"88","38060","Phoenix-Mesa-Chandler, AZ","metro",4673634,1726596,TRUE,"very large metros",69156,39553,942,492,4494,4257,57196,33457
"89","38220","Pine Bluff, AR","metro",92345,21677,FALSE,"small metros",938,610,60,27,0,109,761,512
"90","38300","Pittsburgh, PA","metro",2339941,1103495,TRUE,"very large metros",38308,27018,540,312,300,1584,35676,25356
"91","38340","Pittsfield, MA","metro",127328,53882,FALSE,"small metros",2813,2006,0,0,0,110,2642,1940
"92","38540","Pocatello, ID","metro",92778,26946,FALSE,"small metros",1574,906,0,0,28,23,1483,866
"93","38860","Portland-South Portland, ME","metro",529323,238275,FALSE,"large metros",13561,8459,67,23,70,309,13002,8186
"94","38900","Portland-Vancouver-Hillsboro, OR-WA","metro",2417931,1047457,TRUE,"very large metros",51050,29216,533,319,1857,4077,43305,25685
"95","38940","Port St. Lucie, FL","metro",463172,117217,FALSE,"midsized metros",8722,5604,158,93,602,423,7393,4797
"96","39300","Providence-Warwick, RI-MA","metro",1615516,637255,TRUE,"very large metros",30733,21019,386,250,741,1314,28155,19521
"97","39340","Provo-Orem, UT","metro",601388,215315,TRUE,"large metros",11481,7251,35,21,273,293,10728,6889
"98","39380","Pueblo, CO","metro",164685,50879,FALSE,"small metros",2032,1280,0,0,174,69,1702,1095
"99","39460","Punta Gorda, FL","metro",176954,39311,FALSE,"small metros",3217,1996,0,0,0,90,2903,1842
"100","39540","Racine, WI","metro",195398,66364,FALSE,"small metros",2842,1817,0,0,0,0,2548,1639
"101","39580","Raleigh-Cary, NC","metro",1302632,520170,TRUE,"very large metros",24239,15657,971,558,907,2013,19925,13113
"102","39660","Rapid City, SD","metro",136718,54904,FALSE,"small metros",3828,2233,0,0,0,61,3645,2176
"103","39740","Reading, PA","metro",416642,153071,FALSE,"midsized metros",6115,4139,73,32,131,402,5457,3791
"104","39820","Redding, CA","metro",179085,50261,FALSE,"small metros",3276,2038,0,0,117,240,2784,1751
"105","39900","Reno, NV","metro",454427,195817,FALSE,"midsized metros",9258,5677,50,22,541,619,7780,4951
"106","40060","Richmond, VA","metro",1258398,541040,TRUE,"very large metros",21928,14588,1120,724,515,1795,18118,12226
"107","40140","Riverside-San Bernardino-Ontario, CA","metro",4518699,1179496,TRUE,"very large metros",54985,34254,0,0,8679,10199,33237,21612
"108","40220","Roanoke, VA","metro",313291,140143,FALSE,"midsized metros",5576,3666,0,100,0,282,5007,3322
"109","40340","Rochester, MN","metro",216035,113762,FALSE,"small metros",3550,2244,0,0,0,113,3339,2156
"110","40380","Rochester, NY","metro",1074667,453814,TRUE,"very large metros",17773,12790,358,168,257,959,16126,11808
"111","40420","Rockford, IL","metro",339780,134942,FALSE,"midsized metros",4879,3277,50,36,215,0,4246,2876
"112","40580","Rocky Mount, NC","metro",147335,48269,FALSE,"small metros",1759,1172,135,69,0,0,1518,1039
"113","40660","Rome, GA","metro",96824,36648,FALSE,"small metros",1409,1072,0,0,0,168,1169,910
"114","40900","Sacramento-Roseville-Folsom, CA","metro",2291738,743106,TRUE,"very large metros",35428,21195,562,328,2423,6351,24959,15406
"115","40980","Saginaw, MI","metro",192778,80324,FALSE,"small metros",2808,1813,36,30,60,192,2457,1619
"116","41060","St. Cloud, MN","metro",196598,100928,FALSE,"small metros",3860,2443,0,0,0,120,3673,2353
"117","41100","St. George, UT","metro",160537,50267,FALSE,"small metros",4286,2800,20,0,0,0,4018,2646
"118","41140","St. Joseph, MO-KS","metro",126779,48854,FALSE,"small metros",2092,1098,0,0,0,31,1937,1032
"119","41180","St. Louis, MO-IL","metro",2805551,1249653,TRUE,"very large metros",53118,32125,6208,2619,656,2666,42959,27407
"120","41420","Salem, OR","metro",416980,121784,FALSE,"midsized metros",7395,4489,55,47,556,388,6186,3902
"121","41500","Salinas, CA","metro",433212,113209,FALSE,"midsized metros",6867,4145,56,43,1067,1004,4501,2857
"122","41540","Salisbury, MD-DE","metro",399013,128997,FALSE,"midsized metros",7597,5123,145,115,161,448,6784,4563
