cbsa_code,cbsa_name,cbsa_score_02,cbsa_score_16,cbsa_pct_high_02,cbsa_pct_medium_02,cbsa_pct_low_02,cbsa_pct_high_16,cbsa_pct_medium_16,cbsa_pct_low_16
10180,"Abilene, TX Metropolitan Statistical Area",26.9705267334527,43.3016272418841,0.0229103726082578,0.404078549848943,0.5730110775428,0.162850375049349,0.518160284247927,0.318989340702724
10420,"Akron, OH Metropolitan Statistical Area",28.0399752790086,45.3191790577119,0.0445745831623708,0.385915177738819,0.56951023909881,0.2202460456942,0.4898769771529,0.2898769771529
10500,"Albany, GA Metropolitan Statistical Area",25.7775314466329,43.9977519709111,0.0198992443324937,0.35919395465995,0.620906801007557,0.20043057050592,0.496232508073197,0.303336921420883
10540,"Albany, OR Metropolitan Statistical Area",NA,40.6230468330193,NA,NA,NA,0.152654867256637,0.472503160556258,0.374841972187105
10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",30.345636272298,46.9402148859408,0.0557780246467047,0.400418528948252,0.543803446405043,0.25920661584184,0.475332730326916,0.265460653831244
10740,"Albuquerque, NM Metropolitan Statistical Area",29.7550583240402,45.0107221712942,0.0543369534152615,0.41147470705916,0.534188339525579,0.255541778812714,0.441164907611818,0.303293313575468
10780,"Alexandria, LA Metropolitan Statistical Area",27.5537546736985,41.9194502581747,0.019040365575019,0.426250317339426,0.554709317085555,0.148729601322041,0.518281346829167,0.332989051848792
10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",28.5548739129096,43.7179698645434,0.0362114537444934,0.407400881057269,0.556387665198238,0.199288256227758,0.47028627216326,0.330425471608982
11020,"Altoona, PA Metropolitan Statistical Area",26.7791377429394,42.1898016067137,0.0244230338337441,0.40914183284786,0.566435133318396,0.161677908937605,0.499578414839798,0.338743676222597
11100,"Amarillo, TX Metropolitan Statistical Area",27.9710519775283,44.0224256850348,0.0353919909757473,0.410321489001692,0.554286520022561,0.190526315789474,0.515789473684211,0.293684210526316
11180,"Ames, IA Metropolitan Statistical Area",NA,44.7008844288577,NA,NA,NA,0.210939955988683,0.473750392958189,0.315309651053128
11260,"Anchorage, AK Metropolitan Statistical Area",30.2685106362055,45.0734615873016,0.040597472232861,0.444752968211413,0.514649559555726,0.234188382193268,0.475705754614549,0.290105863192182
11460,"Ann Arbor, MI Metropolitan Statistical Area",29.8545506954372,47.9079253169443,0.0554651607963247,0.412471286370597,0.532063552833078,0.263646466627443,0.497940772700529,0.238412760672027
11500,"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",26.2145342722129,43.1538960764517,0.0120300751879699,0.40390977443609,0.58406015037594,0.152979066022544,0.554911433172303,0.292109500805153
11540,"Appleton, WI Metropolitan Statistical Area",25.7777800870464,43.6580603108909,0.0285056326632228,0.354453227111471,0.617041140225307,0.184658242960899,0.498059894537857,0.317281862501244
11700,"Asheville, NC Metropolitan Statistical Area",26.9318113266483,43.0902893255986,0.0399159663865546,0.381240731586752,0.578843302026693,0.17383051677688,0.508817046289493,0.317352436933627
12020,"Athens-Clarke County, GA Metropolitan Statistical Area",25.9028341356264,44.405333955301,0.0226819541375872,0.371635094715852,0.60568295114656,0.204559363525092,0.509485924112607,0.285954712362301
12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",30.6748269296,46.7956515867987,0.0687054788497054,0.395930437076774,0.53536408407352,0.264307530654224,0.458548899831702,0.277143569514074
12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",NA,41.1159187869061,NA,NA,NA,0.160623229461756,0.482341831916903,0.357034938621341
12220,"Auburn-Opelika, AL Metropolitan Statistical Area",25.8328281615282,41.4667808489202,0.0166666666666667,0.395634920634921,0.587698412698413,0.145717732207479,0.517008443908323,0.337273823884198
12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",26.9959064978566,44.2259959187408,0.0260858553881221,0.384956312523743,0.588957832088135,0.203320661896243,0.497484347048301,0.299194991055456
12420,"Austin-Round Rock, TX Metropolitan Statistical Area",34.10932331117,48.1164273616772,0.101400077391213,0.418633693319731,0.479966229289056,0.295814800794928,0.451748367559383,0.252436831645689
12540,"Bakersfield, CA Metropolitan Statistical Area",24.5462277664052,40.1085185778262,0.0304510666015307,0.348694566574391,0.620854366824079,0.160628925848378,0.429897681033461,0.409473393118161
12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",30.929101960219,47.2515984604135,0.0650164202053949,0.412346475825281,0.522637103969324,0.276368263294079,0.461003748900522,0.262627987805399
12620,"Bangor, ME Metropolitan Statistical Area",27.7629593227206,43.2654013177363,0.0299504950495049,0.376485148514851,0.593564356435644,0.194161705396582,0.490877664682159,0.31496062992126
12700,"Barnstable Town, MA Metropolitan Statistical Area",26.7666857137551,42.7984900942712,0.0233179067283731,0.414204343182627,0.562477750089,0.174005364327224,0.524810013410818,0.301184622261958
12940,"Baton Rouge, LA Metropolitan Statistical Area",29.0775970866966,42.8079919738505,0.0354685697192428,0.429981624716892,0.534549805563865,0.182755775577558,0.48211338991042,0.335130834512023
12980,"Battle Creek, MI Metropolitan Statistical Area",26.8192533662639,44.0749783635739,0.0261760479790092,0.388704941588055,0.585119010432936,0.168251452720549,0.531695721077655,0.300052826201796
13020,"Bay City, MI Metropolitan Statistical Area",27.7040144167711,41.8056532056276,0.0340543372502058,0.407529376543672,0.558416286206122,0.139780884019645,0.51681148469966,0.343407631280695
