cbsa_code,age_017,age_1834,age_35plus,female,male,total,race
16260,1564,1329,1209,1942,2160,4102,latino
16300,52980,51082,136090,121695,118457,240152,white non-hispanic
16300,4000,3562,3995,5247,6310,11557,black
16300,1244,1775,2077,2607,2489,5096,asian
16300,2903,2284,2329,3663,3853,7516,latino
16340,7225,6244,17777,15954,15292,31246,white non-hispanic
16340,1315,1314,2624,2914,2339,5253,black
16340,56,109,106,103,168,271,asian
16340,2241,1489,1673,2449,2954,5403,latino
16380,9969,7638,21934,19656,19885,39541,white non-hispanic
16380,128,55,95,134,144,278,black
16380,61,64,50,129,46,175,asian
16380,304,86,341,304,427,731,latino
16420,5995,5641,17209,14344,14501,28845,white non-hispanic
16420,222,724,570,659,857,1516,black
16420,13,27,31,65,6,71,asian
16420,229,152,82,158,305,463,latino
16460,7841,6789,20922,18263,17289,35552,white non-hispanic
16460,267,274,758,641,658,1299,black
16460,41,141,88,129,141,270,asian
16460,279,186,254,282,437,719,latino
16500,14482,13077,41856,34941,34474,69415,white non-hispanic
16500,153,183,167,132,371,503,black
16500,268,233,480,601,380,981,asian
16500,3179,1958,2323,3495,3965,7460,latino
16540,30940,27460,83943,72494,69849,142343,white non-hispanic
16540,2112,1302,2619,2740,3293,6033,black
16540,376,285,865,827,699,1526,asian
16540,3344,2324,2395,3576,4487,8063,latino
16580,31708,58623,89324,90002,89653,179655,white non-hispanic
16580,8012,9699,9796,14586,12921,27507,black
16580,2834,13241,5534,10173,11436,21609,asian
16580,3906,5376,3284,5913,6653,12566,latino
16620,38866,37305,121639,102435,95375,197810,white non-hispanic
16620,2841,3784,6609,6711,6523,13234,black
16620,383,680,961,1021,1003,2024,asian
16620,686,676,777,1140,999,2139,latino
16660,10959,17066,31323,30455,28893,59348,white non-hispanic
16660,352,1314,345,1005,1006,2011,black
16660,121,425,143,426,263,689,asian
16660,394,662,332,661,727,1388,latino
16700,100763,126265,276376,253655,249749,503404,white non-hispanic
16700,49419,50186,96442,104539,91508,196047,black
16700,2383,3138,7301,6847,5975,12822,asian
16700,13934,12150,13927,18837,21174,40011,latino
16740,365097,341577,941238,838465,809447,1647912,white non-hispanic
16740,142629,138855,260566,292273,249777,542050,black
16740,20726,23945,38239,42022,40888,82910,asian
16740,90161,62063,86494,116111,122607,238718,latino
16820,33488,44321,101314,92586,86537,179123,white non-hispanic
16820,6280,8401,16655,16381,14955,31336,black
16820,1429,4392,3300,4666,4455,9121,asian
16820,3962,4106,3282,5691,5659,11350,latino
16860,89956,95063,261744,229265,217498,446763,white non-hispanic
16860,18182,19140,37140,39631,34831,74462,black
16860,2099,2153,4661,4521,4392,8913,asian
16860,8989,7003,7316,10873,12435,23308,latino
16940,19218,19960,46842,42655,43365,86020,white non-hispanic
16940,686,1052,865,1053,1550,2603,black
16940,276,437,458,616,555,1171,asian
16940,4557,3943,5339,6725,7114,13839,latino
16980,1349574,1420682,3532816,3186113,3116959,6303072,white non-hispanic
16980,401555,394451,803409,865137,734278,1599415,black
16980,123240,160706,321890,315256,290580,605836,asian
16980,690031,569820,821673,1019524,1062000,2081524,latino
17020,33437,48263,103521,94215,91006,185221,white non-hispanic
17020,678,984,1710,1463,1909,3372,black
17020,2612,3892,3670,5254,4920,10174,asian
17020,11043,11899,12503,17382,18063,35445,latino
17060,14918,13844,40886,34152,35496,69648,white non-hispanic
17060,388,1192,2392,810,3162,3972,black
17060,40,157,249,212,234,446,asian
17060,340,248,318,379,527,906,latino
17140,394387,388824,987138,898711,871638,1770349,white non-hispanic
17140,73541,66312,123593,138656,124790,263446,black
17140,12681,14727,23619,26245,24782,51027,asian
17140,26254,17613,21135,30868,34134,65002,latino
17200,36589,41151,127748,104177,101311,205488,white non-hispanic
17200,436,870,604,824,1086,1910,black
17200,606,1735,1487,2071,1757,3828,asian
17200,1118,1255,1450,2014,1809,3823,latino
17220,18425,17420,54190,45420,44615,90035,white non-hispanic
17220,331,453,720,615,889,1504,black
17220,167,165,284,363,253,616,asian
17220,346,384,446,644,532,1176,latino
17260,887,932,3428,2721,2526,5247,white non-hispanic
17260,5714,4696,8346,10254,8502,18756,black
17260,64,24,44,75,57,132,asian
17260,9,0,26,26,9,35,latino
17300,51070,60069,90876,98679,103336,202015,white non-hispanic
17300,15290,16971,21820,27309,26772,54081,black
17300,1036,1444,2770,3132,2118,5250,asian
17300,8756,9368,6260,11448,12936,24384,latino
17340,8284,8280,33277,25022,24819,49841,white non-hispanic
17340,383,301,809,753,740,1493,black
17340,175,277,501,635,318,953,asian
17340,4477,3119,4849,6007,6438,12445,latino
17380,2090,2698,6087,5462,5413,10875,white non-hispanic
17380,5899,5431,9946,11610,9666,21276,black
17380,42,94,173,178,131,309,asian
17380,232,63,401,283,413,696,latino
17420,23748,23407,63640,56825,53970,110795,white non-hispanic
17420,1461,1374,2341,2505,2671,5176,black
17420,283,326,612,689,532,1221,asian
17420,2463,1709,2168,2950,3390,6340,latino
17460,296212,300077,925765,780375,741679,1522054,white non-hispanic
17460,105967,98812,205878,221831,188826,410657,black
17460,8155,13767,22442,23568,20796,44364,asian
17460,39204,31281,42945,56582,56848,113430,latino
17500,7838,7125,15378,14157,16184,30341,white non-hispanic
17500,1121,1042,2281,2155,2289,4444,black
17500,89,116,137,159,183,342,asian
17500,6516,5589,8153,8993,11265,20258,latino
17540,9673,8167,26754,22756,21838,44594,white non-hispanic
17540,282,444,497,584,639,1223,black
17540,93,82,158,198,135,333,asian
17540,654,368,426,732,716,1448,latino
17580,8138,10097,16027,16664,17598,34262,white non-hispanic
17580,806,991,1161,1322,1636,2958,black
17580,107,333,304,501,243,744,asian
17580,7222,5834,7546,10038,10564,20602,latino
17620,6084,6087,14012,13767,12416,26183,white non-hispanic
17620,1581,1417,5498,4225,4271,8496,black
17620,0,0,0,0,0,0,asian
17620,8752,8546,22301,20388,19211,39599,latino
17640,3822,3719,9071,8736,7876,16612,white non-hispanic
17640,1782,1661,4445,3756,4132,7888,black
17640,0,9,120,68,61,129,asian
17640,6869,6490,15748,15016,14091,29107,latino
17660,32400,28568,80559,71561,69966,141527,white non-hispanic
17660,315,136,213,337,327,664,black
17660,239,329,502,691,379,1070,asian
17660,2382,1703,2475,3300,3260,6560,latino
17700,6304,5521,16662,14563,13924,28487,white non-hispanic
17700,414,617,745,836,940,1776,black
17700,42,103,199,118,226,344,asian
17700,842,550,684,989,1087,2076,latino
17740,9569,7855,23456,20152,20728,40880,white non-hispanic
17740,46,195,804,82,963,1045,black
17740,38,74,118,156,74,230,asian
17740,799,513,631,904,1039,1943,latino
17780,35570,76794,74551,92801,94114,186915,white non-hispanic
17780,7724,8499,11507,14395,13335,27730,black
17780,2207,6994,3833,5864,7170,13034,asian
17780,18935,22944,18736,29489,31126,60615,latino
17820,126575,140625,292048,277778,281470,559248,white non-hispanic
17820,10696,13196,17723,19786,21829,41615,black
17820,4036,4815,9944,10882,7913,18795,asian
17820,40136,34418,38244,55940,56858,112798,latino
17860,25915,50455,65761,73131,69000,142131,white non-hispanic
17860,3640,5383,5878,7777,7124,14901,black
17860,1423,3159,2837,4031,3388,7419,asian
17860,1866,2174,1689,2652,3077,5729,latino
17900,96267,118120,272056,246152,240291,486443,white non-hispanic
17900,66899,74181,128081,143743,125418,269161,black
17900,3383,5469,7321,8480,7693,16173,asian
17900,14912,13982,14625,20175,23344,43519,latino
17980,33005,40873,83254,76710,80422,157132,white non-hispanic
17980,31807,32920,61278,65620,60385,126005,black
17980,1178,1631,3084,3146,2747,5893,asian
17980,6893,7465,6514,9586,11286,20872,latino
18020,15750,13893,39594,35046,34191,69237,white non-hispanic
18020,380,436,742,614,944,1558,black
18020,1129,2158,1779,2160,2906,5066,asian
18020,2116,1377,1760,2280,2973,5253,latino
18060,6723,7264,18112,16245,15854,32099,white non-hispanic
18060,6882,6561,12482,14060,11865,25925,black
18060,147,133,316,240,356,596,asian
18060,414,300,487,539,662,1201,latino
18100,8092,6268,17035,15553,15842,31395,white non-hispanic
18100,34,34,76,25,119,144,black
18100,53,113,39,113,92,205,asian
18100,2363,1585,1836,2689,3095,5784,latino
18140,336210,372170,842247,786488,764139,1550627,white non-hispanic
18140,90139,79461,135814,157425,147989,305414,black
18140,18068,25109,34298,40017,37458,77475,asian
18140,31138,23344,25167,38417,41232,79649,latino
18180,26812,28738,84370,71145,68775,139920,white non-hispanic
18180,546,566,701,759,1054,1813,black
18180,627,946,1055,1362,1266,2628,asian
18180,951,962,1023,1494,1442,2936,latino
18220,4986,4053,13499,11431,11107,22538,white non-hispanic
18220,125,152,312,339,250,589,black
18220,10,0,21,7,24,31,asian
18220,15,110,115,120,120,240,latino
18260,21477,25084,57107,52367,51301,103668,white non-hispanic
18260,543,720,688,814,1137,1951,black
18260,221,438,414,580,493,1073,asian
18260,2103,1413,1530,2372,2674,5046,latino
18300,9385,9586,36634,28186,27419,55605,white non-hispanic
18300,281,263,194,402,336,738,black
18300,170,194,342,489,217,706,asian
18300,1425,1103,1426,2019,1935,3954,latino
18380,2345,2206,7762,6418,5895,12313,white non-hispanic
18380,2988,2488,4455,5448,4483,9931,black
18380,146,14,122,111,171,282,asian
18380,307,317,121,412,333,745,latino
18420,7119,6142,18449,16128,15582,31710,white non-hispanic
18420,1011,1253,2110,2176,2198,4374,black
18420,32,9,66,81,26,107,asian
18420,429,379,316,444,680,1124,latino
18460,8023,7667,22187,19782,18095,37877,white non-hispanic
18460,163,513,705,1027,354,1381,black
18460,253,240,536,533,496,1029,asian
18460,2562,1683,1965,2955,3255,6210,latino
18500,20041,17796,54754,46770,45821,92591,white non-hispanic
18500,351,335,918,685,919,1604,black
18500,341,412,709,770,692,1462,asian
18500,548,479,525,731,821,1552,latino
18580,100135,95714,205547,202811,198585,401396,white non-hispanic
18580,3753,4319,7050,7241,7881,15122,black
18580,1674,1947,4602,4471,3752,8223,asian
18580,79419,69305,121805,137478,133051,270529,latino
18620,8941,7043,20513,18657,17840,36497,white non-hispanic
18620,1647,1387,3405,3361,3078,6439,black
18620,63,101,138,113,189,302,asian
18620,5061,3175,4411,6204,6443,12647,latino
18660,8736,13126,23914,23329,22447,45776,white non-hispanic
18660,172,330,367,520,349,869,black
18660,57,162,173,248,144,392,asian
18660,319,542,405,588,678,1266,latino
18700,12427,25624,38393,38148,38296,76444,white non-hispanic
18700,218,284,379,301,580,881,black
18700,802,3071,1984,2902,2955,5857,asian
18700,1898,2562,1847,3138,3169,6307,latino
18740,8227,6710,20508,17922,17523,35445,white non-hispanic
18740,74,67,255,162,234,396,black
18740,23,51,49,53,70,123,asian
18740,161,73,127,213,148,361,latino
18780,3185,2383,6818,5981,6405,12386,white non-hispanic
18780,44,11,71,50,76,126,black
18780,0,7,16,8,15,23,asian
18780,711,309,928,842,1106,1948,latino
18820,8226,7553,20963,18163,18579,36742,white non-hispanic
18820,86,51,171,119,189,308,black
18820,79,45,171,66,229,295,asian
18820,745,403,659,864,943,1807,latino
18860,3734,4496,12843,9580,11493,21073,white non-hispanic
18860,7,234,252,44,449,493,black
18860,193,215,368,476,300,776,asian
18860,1441,1827,2013,1842,3439,5281,latino
18880,41691,47757,121072,103766,106754,210520,white non-hispanic
18880,5432,6972,10031,10236,12199,22435,black
18880,971,1565,4042,4251,2327,6578,asian
18880,6894,6977,7052,9862,11061,20923,latino
18900,10006,9019,37392,28926,27491,56417,white non-hispanic
18900,113,84,186,110,273,383,black
18900,0,34,302,225,111,336,asian
18900,670,452,518,711,929,1640,latino
18980,17304,15742,45010,39516,38540,78056,white non-hispanic
18980,174,372,402,435,513,948,black
18980,183,90,255,355,173,528,asian
18980,1439,875,1152,1550,1916,3466,latino
19000,5268,10357,19252,17981,16896,34877,white non-hispanic
19000,375,614,242,740,491,1231,black
19000,137,152,125,189,225,414,asian
19000,897,936,458,1252,1039,2291,latino
19060,16668,19406,54121,45469,44726,90195,white non-hispanic
19060,890,3180,2766,1733,5103,6836,black
19060,99,278,318,402,293,695,asian
19060,463,520,512,628,867,1495,latino
19100,1243184,1131617,2555762,2486923,2443640,4930563,white non-hispanic
19100,298770,282903,511539,581155,512057,1093212,black
19100,109831,115486,223117,230604,217830,448434,asian
19100,724270,554039,740195,991376,1027128,2018504,latino
19140,33235,28736,68098,65569,64500,130069,white non-hispanic
19140,1192,1106,2185,2162,2321,4483,black
19140,476,319,787,903,679,1582,asian
19140,15933,11445,13796,19863,21311,41174,latino
19180,14071,12396,38986,33214,32239,65453,white non-hispanic
19180,3742,3068,4265,5324,5751,11075,black
19180,128,131,432,325,366,691,asian
19180,1544,1140,1152,1840,1996,3836,latino
19220,10460,10419,28584,25093,24370,49463,white non-hispanic
19220,446,717,1498,1220,1441,2661,black
19220,36,169,32,178,59,237,asian
19220,543,350,450,579,764,1343,latino
19260,12043,11116,42434,33883,31710,65593,white non-hispanic
19260,7659,7282,18786,17976,15751,33727,black
19260,132,158,348,380,258,638,asian
19260,1264,927,976,1546,1621,3167,latino
19300,36925,31685,107351,89824,86137,175961,white non-hispanic
19300,5477,4856,9081,10058,9356,19414,black
19300,334,86,985,858,547,1405,asian
19300,3332,2349,3348,4082,4947,9029,latino
19340,68882,66597,193025,167697,160807,328504,white non-hispanic
19340,9792,7519,11781,14260,14832,29092,black
19340,2276,2262,3669,4092,4115,8207,asian
19340,11977,8774,11717,15964,16504,32468,latino
19380,128334,137806,363268,321586,307822,629408,white non-hispanic
19380,30847,31742,60778,65758,57609,123367,black
19380,3410,4615,8947,9330,7642,16972,asian
19380,7292,5950,7284,9929,10597,20526,latino
19420,6862,6205,17684,15575,15176,30751,white non-hispanic
19420,155,232,333,432,288,720,black
19420,18,37,75,103,27,130,asian
19420,670,442,389,653,848,1501,latino
19460,26151,23766,72809,62300,60426,122726,white non-hispanic
19460,4565,4534,9492,9781,8810,18591,black
19460,253,278,266,376,421,797,asian
19460,4238,2939,3009,4667,5519,10186,latino
19500,16146,16648,51294,43696,40392,84088,white non-hispanic
19500,4472,3876,6673,8136,6885,15021,black
19500,278,351,594,720,503,1223,asian
19500,930,722,675,1244,1083,2327,latino
19540,10547,6755,16633,17095,16840,33935,white non-hispanic
19540,176,141,11,142,186,328,black
19540,36,54,42,97,35,132,asian
19540,588,405,561,779,775,1554,latino
19580,7824,7011,20031,17532,17334,34866,white non-hispanic
19580,220,255,266,317,424,741,black
19580,32,12,109,79,74,153,asian
19580,1343,927,1424,1779,1915,3694,latino
19620,13199,11277,20841,22246,23071,45317,white non-hispanic
19620,126,195,343,369,295,664,black
19620,48,98,137,184,99,283,asian
19620,12447,9625,17783,19976,19879,39855,latino
19660,83153,89815,343879,265006,251841,516847,white non-hispanic
19660,16326,18429,31245,34508,31492,66000,black
19660,2210,2881,6892,6560,5423,11983,asian
19660,21827,19022,36390,39126,38113,77239,latino
19700,5861,4609,11798,11358,10910,22268,white non-hispanic
19700,157,49,123,154,175,329,black
19700,0,62,68,41,89,130,asian
19700,5232,3900,6899,8016,8015,16031,latino
19740,503131,544749,1237454,1145110,1140224,2285334,white non-hispanic
19740,41345,40428,75008,76061,80720,156781,black
19740,25753,30739,56934,61311,52115,113426,asian
19740,217173,176523,247292,316991,323997,640988,latino
19760,7479,6297,16601,15091,15286,30377,white non-hispanic
19760,1071,1317,2249,2013,2624,4637,black
19760,5,48,87,122,18,140,asian
19760,494,371,478,697,646,1343,latino
19780,129407,123270,289181,276208,265650,541858,white non-hispanic
19780,10295,9262,11978,15193,16342,31535,black
19780,6657,7419,10129,12277,11928,24205,asian
19780,18311,12420,13956,21479,23208,44687,latino
19820,621322,598071,1780856,1520155,1480094,3000249,white non-hispanic
19820,244357,233506,482975,518818,442020,960838,black
19820,42695,44246,88027,88284,86684,174968,asian
19820,66934,47494,69530,91342,92616,183958,latino
19860,6717,7172,14054,13478,14465,27943,white non-hispanic
19860,89,269,180,101,437,538,black
19860,44,259,67,225,145,370,asian
19860,617,400,516,673,860,1533,latino
19940,6225,6091,19178,15415,16079,31494,white non-hispanic
19940,181,638,995,226,1588,1814,black
19940,38,50,147,105,130,235,asian
19940,618,648,775,881,1160,2041,latino
19980,9348,7460,14085,15129,15764,30893,white non-hispanic
19980,139,404,244,357,430,787,black
19980,63,142,288,184,309,493,asian
19980,7322,5111,6240,8795,9878,18673,latino
20020,22432,20280,64717,55057,52372,107429,white non-hispanic
20020,9530,8418,17098,18875,16171,35046,black
20020,212,267,526,565,440,1005,asian
20020,1789,1311,1705,2275,2530,4805,latino
20060,6871,6535,15672,14462,14616,29078,white non-hispanic
20060,3072,3483,5511,5740,6326,12066,black
20060,72,58,182,171,141,312,asian
20060,1864,1388,1618,2143,2727,4870,latino
20100,24430,25567,65734,59061,56670,115731,white non-hispanic
20100,10835,12244,20011,23055,20035,43090,black
20100,579,803,2102,1884,1600,3484,asian
20100,4091,3572,4157,5836,5984,11820,latino
20140,7415,6520,20795,17521,17209,34730,white non-hispanic
20140,5624,4803,10372,10833,9966,20799,black
20140,145,129,265,262,277,539,asian
20140,661,503,281,707,738,1445,latino
20180,14467,14486,47725,37716,38962,76678,white non-hispanic
20180,118,930,1163,216,1995,2211,black
20180,49,85,330,255,209,464,asian
20180,258,777,1295,506,1824,2330,latino
20220,19622,20133,50264,45728,44291,90019,white non-hispanic
20220,1146,950,695,1350,1441,2791,black
20220,264,505,440,609,600,1209,asian
20220,865,803,560,1026,1202,2228,latino
20260,48027,58550,150622,127937,129262,257199,white non-hispanic
20260,1268,1590,1429,1530,2757,4287,black
20260,515,1257,1067,1546,1293,2839,asian
20260,1616,1394,1372,2042,2340,4382,latino
20300,5040,3749,8056,8256,8589,16845,white non-hispanic
20300,280,398,258,356,580,936,black
20300,673,645,417,714,1021,1735,asian
20300,4415,3120,4385,5733,6187,11920,latino
20340,8164,7044,21989,19008,18189,37197,white non-hispanic
20340,176,166,452,379,415,794,black
20340,90,29,178,198,99,297,asian
20340,1297,847,1064,1602,1606,3208,latino
20380,21244,21054,44562,44004,42856,86860,white non-hispanic
20380,7425,6626,13192,13802,13441,27243,black
20380,337,392,673,891,511,1402,asian
20380,6599,4530,4667,7485,8311,15796,latino
20420,9027,10830,28442,23702,24597,48299,white non-hispanic
20420,74,124,76,98,176,274,black
20420,81,142,123,267,79,346,asian
20420,2133,1896,2817,3399,3447,6846,latino
20460,6762,7446,19411,17398,16221,33619,white non-hispanic
20460,236,301,297,396,438,834,black
20460,23,85,106,124,90,214,asian
20460,1055,762,726,1264,1279,2543,latino
20500,64759,86237,189658,175477,165177,340654,white non-hispanic
20500,33277,39522,74929,79757,67971,147728,black
20500,4866,10182,11204,13704,12548,26252,asian
20500,24076,17139,21290,29418,33087,62505,latino
20540,6871,6006,18230,16014,15093,31107,white non-hispanic
20540,1537,1128,2466,2787,2344,5131,black
20540,54,77,138,176,93,269,asian
20540,536,205,493,510,724,1234,latino
20580,17396,13149,23104,27078,26571,53649,white non-hispanic
20580,61,78,73,61,151,212,black
20580,50,38,165,106,147,253,asian
20580,17566,13462,23739,27672,27095,54767,latino
20660,5333,4876,20928,16510,14627,31137,white non-hispanic
20660,851,919,2572,2366,1976,4342,black
20660,137,134,263,287,247,534,asian
20660,898,704,825,1339,1088,2427,latino
20700,23924,26710,78112,65432,63314,128746,white non-hispanic
20700,5773,5778,12078,11693,11936,23629,black
20700,753,718,2317,2107,1681,3788,asian
20700,7734,6417,10829,12621,12359,24980,latino
20740,31579,40129,83218,77597,77329,154926,white non-hispanic
20740,229,711,768,433,1275,1708,black
20740,1236,1687,1502,2413,2012,4425,asian
20740,1310,1171,963,1603,1841,3444,latino
20780,10081,11198,26469,22237,25511,47748,white non-hispanic
20780,16,346,99,119,342,461,black
20780,94,175,199,267,201,468,asian
20780,5511,4242,6131,7575,8309,15884,latino
20820,7820,6922,18492,16717,16517,33234,white non-hispanic
20820,57,72,61,93,97,190,black
20820,17,31,33,43,38,81,asian
20820,254,174,233,313,348,661,latino
20900,8778,6983,17956,17022,16695,33717,white non-hispanic
20900,1566,1273,3078,3156,2761,5917,black
20900,0,22,16,14,24,38,asian
20900,5756,4219,6707,8248,8434,16682,latino
20940,34197,26522,56469,59971,57217,117188,white non-hispanic
20940,622,1728,2435,959,3826,4785,black
20940,529,526,1529,1258,1326,2584,asian
20940,46665,39018,64425,75454,74654,150108,latino
20980,5570,4950,15288,13023,12785,25808,white non-hispanic
20980,3592,2918,6577,6936,6151,13087,black
20980,11,111,95,135,82,217,asian
20980,660,507,349,756,760,1516,latino
21020,8660,7870,25136,21156,20510,41666,white non-hispanic
21020,4089,5114,9878,10127,8954,19081,black
21020,216,215,478,494,415,909,asian
21020,949,663,931,1379,1164,2543,latino
21060,29106,27606,68438,62594,62556,125150,white non-hispanic
21060,3307,3606,6995,6422,7486,13908,black
21060,460,564,1392,1527,889,2416,asian
21060,2752,2372,2435,3555,4004,7559,latino
21120,4780,4251,10095,9356,9770,19126,white non-hispanic
21120,65,336,371,141,631,772,black
21120,55,50,111,136,80,216,asian
21120,979,1256,1037,1167,2105,3272,latino
21140,46211,37442,94038,90162,87529,177691,white non-hispanic
21140,3530,2890,4728,5309,5839,11148,black
21140,393,699,999,1155,936,2091,asian
21140,13260,7988,9931,14816,16363,31179,latino
21180,5352,5689,17154,13791,14404,28195,white non-hispanic
21180,134,324,101,199,360,559,black
21180,60,47,43,134,16,150,asian
21180,83,136,33,154,98,252,latino
21220,12799,11165,23485,22552,24897,47449,white non-hispanic
21220,196,116,197,126,383,509,black
21220,105,119,299,355,168,523,asian
21220,4688,3489,4539,5913,6803,12716,latino
21260,6710,12455,19741,19345,19561,38906,white non-hispanic
21260,65,218,195,175,303,478,black
21260,120,343,368,431,400,831,asian
21260,1251,1519,1008,1927,1851,3778,latino
21300,15637,15578,45473,39415,37273,76688,white non-hispanic
21300,1077,1465,2680,1835,3387,5222,black
21300,435,370,583,713,675,1388,asian
21300,903,799,878,1132,1448,2580,latino
21340,188609,173127,318146,349854,330028,679882,white non-hispanic
21340,8000,9561,11217,12148,16630,28778,black
21340,1887,2892,4849,4870,4758,9628,asian
21340,203544,176049,309481,359365,329709,689074,latino
21380,6385,8486,14613,15303,14181,29484,white non-hispanic
21380,64,335,329,328,400,728,black
21380,140,314,252,413,293,706,asian
21380,2513,2020,2420,3468,3485,6953,latino
21420,11671,11295,28204,26023,25147,51170,white non-hispanic
21420,645,436,888,922,1047,1969,black
21420,126,77,284,321,166,487,asian
21420,3037,2116,2114,3512,3755,7267,latino
21460,8697,8063,22196,19483,19473,38956,white non-hispanic
21460,2169,2024,4641,4450,4384,8834,black
21460,84,107,468,443,216,659,asian
21460,1300,943,1159,1574,1828,3402,latino
21500,47411,54735,139917,123339,118724,242063,white non-hispanic
21500,5947,5991,7912,9584,10266,19850,black
21500,1265,1490,1732,2266,2221,4487,asian
21500,4462,3267,3423,5446,5706,11152,latino
21540,6573,5618,21975,17220,16946,34166,white non-hispanic
21540,13,48,35,17,79,96,black
21540,20,27,85,69,63,132,asian
21540,183,100,152,199,236,435,latino
21580,4822,3943,13320,11037,11048,22085,white non-hispanic
21580,70,74,84,105,123,228,black
21580,36,80,45,92,69,161,asian
21580,7135,5831,15209,14203,13972,28175,latino
21640,2119,2340,8650,6227,6882,13109,white non-hispanic
21640,3176,3571,6927,6471,7203,13674,black
21640,83,63,125,149,122,271,asian
21640,442,408,266,434,682,1116,latino
21660,56770,77291,184692,161938,156815,318753,white non-hispanic
21660,731,1713,1705,1676,2473,4149,black
21660,1285,4334,3705,5159,4165,9324,asian
21660,10723,9655,10275,15006,15647,30653,latino
21700,18631,27252,63463,54666,54680,109346,white non-hispanic
21700,165,758,686,664,945,1609,black
21700,1172,1297,1457,2088,1838,3926,asian
21700,4847,5354,4785,7365,7621,14986,latino
21740,5628,3890,9998,9563,9953,19516,white non-hispanic
21740,0,11,18,9,20,29,black
21740,0,9,16,23,2,25,asian
21740,768,376,739,818,1065,1883,latino
21780,59015,61082,159321,143438,135980,279418,white non-hispanic
21780,5791,5434,10104,10868,10461,21329,black
21780,858,1262,1936,2219,1837,4056,asian
21780,2736,1947,2404,3385,3702,7087,latino
21820,16958,24092,35139,34576,41613,76189,white non-hispanic
21820,765,1745,1741,1618,2633,4251,black
21820,523,1155,1454,1676,1456,3132,asian
21820,2434,3235,2045,3524,4190,7714,latino
21840,2727,2702,9510,7415,7524,14939,white non-hispanic
21840,501,227,324,234,818,1052,black
21840,23,676,231,273,657,930,asian
21840,233,136,149,190,328,518,latino
21860,4161,3438,11893,9854,9638,19492,white non-hispanic
21860,36,18,10,4,60,64,black
21860,53,68,64,117,68,185,asian
21860,322,337,170,336,493,829,latino
21900,10279,11877,30967,27029,26094,53123,white non-hispanic
21900,533,607,884,994,1030,2024,black
21900,130,43,204,243,134,377,asian
21900,235,159,286,309,371,680,latino
21980,4547,4275,11505,10113,10214,20327,white non-hispanic
21980,195,209,202,227,379,606,black
21980,65,195,326,372,214,586,asian
21980,1186,965,1063,1616,1598,3214,latino
22020,43875,64341,99627,103901,103942,207843,white non-hispanic
22020,3161,3718,2098,4385,4592,8977,black
22020,1124,2676,1907,2821,2886,5707,asian
22020,2755,2129,1994,3487,3391,6878,latino
22060,11928,14165,31290,28682,28701,57383,white non-hispanic
22060,881,1247,948,1203,1873,3076,black
22060,275,687,473,827,608,1435,asian
22060,2027,1508,1594,2381,2748,5129,latino
22100,13509,13539,34676,29881,31843,61724,white non-hispanic
22100,150,1546,1187,117,2766,2883,black
22100,0,195,164,31,328,359,asian
22100,339,308,346,442,551,993,latino
22140,16187,13552,37080,33855,32964,66819,white non-hispanic
22140,229,245,247,250,471,721,black
22140,181,167,422,415,355,770,asian
22140,9523,6209,9736,12531,12937,25468,latino
22180,43523,61659,88569,93363,100388,193751,white non-hispanic
22180,35816,38362,65044,72629,66593,139222,black
22180,1729,2606,4689,5479,3545,9024,asian
22180,15245,16015,12816,21186,22890,44076,latino
22220,103687,106192,221200,218057,213022,431079,white non-hispanic
22220,3903,4392,4155,5490,6960,12450,black
22220,4019,5359,5765,7451,7692,15143,asian
22220,31863,23030,26394,39490,41797,81287,latino
22260,11382,9134,34527,27402,27641,55043,white non-hispanic
22260,336,222,277,431,404,835,black
22260,103,100,160,197,166,363,asian
22260,746,512,612,886,984,1870,latino
22280,9237,7832,27841,22122,22788,44910,white non-hispanic
22280,74,137,334,196,349,545,black
22280,54,77,440,403,168,571,asian
22280,2935,2206,3345,4004,4482,8486,latino
22300,15017,15564,39342,35637,34286,69923,white non-hispanic
22300,267,285,535,431,656,1087,black
22300,332,521,522,652,723,1375,asian
22300,1398,1078,1418,1972,1922,3894,latino
22340,2404,1939,6026,5345,5024,10369,white non-hispanic
22340,1845,1236,3176,3428,2829,6257,black
22340,12,15,0,15,12,27,asian
22340,487,161,396,489,555,1044,latino
22380,14842,30172,43133,44070,44077,88147,white non-hispanic
22380,351,1039,596,1073,913,1986,black
22380,434,1271,885,1469,1121,2590,asian
22380,5759,6992,6514,9549,9716,19265,latino
22420,64708,60250,182721,157760,149919,307679,white non-hispanic
22420,22178,20046,40065,43976,38313,82289,black
22420,867,1012,2409,2390,1898,4288,asian
22420,4821,3712,5052,6877,6708,13585,latino
22500,23646,21831,68061,58918,54620,113538,white non-hispanic
22500,22728,20483,43032,47603,38640,86243,black
22500,436,616,1053,1024,1081,2105,asian
22500,1863,1217,1659,2527,2212,4739,latino
22520,24367,26196,73208,64339,59432,123771,white non-hispanic
22520,3884,4927,9227,9638,8400,18038,black
22520,192,137,571,546,354,900,asian
22520,1419,1041,1138,1727,1871,3598,latino
22540,19502,18920,56622,48340,46704,95044,white non-hispanic
22540,338,453,456,675,572,1247,black
22540,524,345,555,924,500,1424,asian
22540,2121,1460,1491,2560,2512,5072,latino
22580,11196,9969,36101,29435,27831,57266,white non-hispanic
22580,1633,1530,3572,3459,3276,6735,black
