cbsa_code,age_017,age_1834,age_35plus,female,male,total,race
11380,63,181,123,214,153,367,black
11380,0,0,37,19,18,37,asian
11380,3494,2556,3687,4632,5105,9737,latino
11420,6946,6867,19702,16623,16892,33515,white non-hispanic
11420,33,30,19,22,60,82,black
11420,24,55,86,85,80,165,asian
11420,486,248,462,612,584,1196,latino
11460,46939,83865,136421,134896,132329,267225,white non-hispanic
11460,9742,14062,19162,21464,21502,42966,black
11460,5001,13883,12621,15845,15660,31505,asian
11460,4799,6211,5395,8213,8192,16405,latino
11500,17429,18053,50654,44369,41767,86136,white non-hispanic
11500,5735,6590,11410,12742,10993,23735,black
11500,298,231,620,677,472,1149,asian
11500,1582,1179,1360,1972,2149,4121,latino
11540,48464,43439,120006,106577,105332,211909,white non-hispanic
11540,1161,750,806,1218,1499,2717,black
11540,2447,2404,2454,3726,3579,7305,asian
11540,4031,2549,3105,4695,4990,9685,latino
11580,5890,6309,17592,13223,16568,29791,white non-hispanic
11580,970,1471,2131,1791,2781,4572,black
11580,0,20,40,23,37,60,asian
11580,3195,3608,4084,3907,6980,10887,latino
11620,7865,7055,20979,18454,17445,35899,white non-hispanic
11620,690,658,1732,1566,1514,3080,black
11620,129,242,165,328,208,536,asian
11620,1455,785,1066,1609,1697,3306,latino
11640,33473,34865,93766,85368,76736,162104,white non-hispanic
11640,1031,1479,3445,2681,3274,5955,black
11640,207,269,282,651,107,758,asian
11640,38351,41035,107600,97198,89788,186986,latino
11660,2814,5283,8089,8360,7826,16186,white non-hispanic
11660,1151,1606,2611,2910,2458,5368,black
11660,35,30,92,76,81,157,asian
11660,430,276,329,523,512,1035,latino
11680,7149,6788,17573,15916,15594,31510,white non-hispanic
11680,272,383,422,383,694,1077,black
11680,121,125,326,296,276,572,asian
11680,1547,1106,1127,1799,1981,3780,latino
11700,72713,78201,252747,209558,194103,403661,white non-hispanic
11700,4755,5076,10930,10361,10400,20761,black
11700,1033,1352,2531,2649,2267,4916,asian
11700,11547,8047,10586,14352,15828,30180,latino
11740,11747,11027,28866,26368,25272,51640,white non-hispanic
11740,85,186,150,192,229,421,black
11740,68,90,167,295,30,325,asian
11740,237,220,214,355,316,671,latino
11780,20004,16882,54742,46295,45333,91628,white non-hispanic
11780,555,1027,2025,1176,2431,3607,black
11780,93,119,267,313,166,479,asian
11780,1592,967,1378,1824,2113,3937,latino
11820,6406,6662,21444,17459,17053,34512,white non-hispanic
11820,82,131,82,140,155,295,black
11820,63,51,242,229,127,356,asian
11820,1263,785,1111,1435,1724,3159,latino
11860,3320,3644,7958,7632,7290,14922,white non-hispanic
11860,108,139,263,334,176,510,black
11860,0,29,26,21,34,55,asian
11860,159,165,154,200,278,478,latino
11900,8922,24032,26666,29943,29677,59620,white non-hispanic
11900,195,1065,431,774,917,1691,black
11900,160,1207,508,909,966,1875,asian
11900,240,670,301,602,609,1211,latino
11940,10146,9311,29170,24976,23651,48627,white non-hispanic
11940,350,553,972,934,941,1875,black
11940,48,157,97,166,136,302,asian
11940,696,502,737,991,944,1935,latino
11980,14991,12900,43192,36555,34528,71083,white non-hispanic
11980,1462,1219,2785,2635,2831,5466,black
11980,146,82,300,333,195,528,asian
11980,3704,2442,3522,4729,4939,9668,latino
12020,26503,50230,69328,74500,71561,146061,white non-hispanic
12020,10172,12077,18591,22190,18650,40840,black
12020,1260,3483,2463,3983,3223,7206,asian
12020,6101,5100,5650,7988,8863,16851,latino
12060,704811,656671,1751348,1572785,1540045,3112830,white non-hispanic
12060,516135,493230,911417,1032980,887802,1920782,black
12060,74157,84755,160735,164238,155409,319647,asian
12060,223105,158136,218792,287610,312423,600033,latino
12100,34164,36656,111853,93895,88778,182673,white non-hispanic
12100,10311,10080,20868,22015,19244,41259,black
12100,5426,4735,12741,11915,10987,22902,asian
12100,16778,13512,20220,25195,25315,50510,latino
12120,4773,4300,14014,11537,11550,23087,white non-hispanic
12120,2944,3148,6036,5658,6470,12128,black
12120,0,91,58,43,106,149,asian
12120,286,269,254,336,473,809,latino
12140,10049,8296,23009,20840,20514,41354,white non-hispanic
12140,55,43,28,60,66,126,black
12140,27,27,75,65,64,129,asian
12140,467,308,400,566,609,1175,latino
