year,stco_code,frominstate_edu_baplus,frominstate_total,fromdiffstate_edu_baplus,fromdiffstate_total,fromabroad_edu_baplus,fromabroad_total,movein_edu_baplus,movein_total,pct_newcomer,newcomer_pct_edu_baplus
2009,02013,0,18,33,487,0,47,33,534,0.238286479250335,0.0617977528089888
2009,02016,9,104,104,955,12,17,116,972,0.224066390041494,0.119341563786008
2009,02020,964,3137,3010,8227,633,1618,3643,9845,0.0568996208618458,0.370035551041138
2009,02050,59,247,99,130,0,11,99,141,0.0159142212189616,0.702127659574468
2009,02060,4,29,2,11,0,0,2,11,0.0269607843137255,0.181818181818182
2009,02068,4,11,44,96,0,15,44,111,0.0935130581297388,0.396396396396396
2009,02070,53,105,38,77,10,10,48,87,0.0315789473684211,0.551724137931034
2009,02090,188,1641,689,2921,284,599,973,3520,0.062646828504307,0.276420454545455
2009,02100,69,130,0,11,0,7,0,18,0.0102681118083286,0
2009,02105,0,32,12,12,14,14,26,26,0.0169934640522876,1
2009,02110,164,466,404,959,65,191,469,1150,0.0568631329113924,0.407826086956522
2009,02122,209,1183,326,1251,4,15,330,1266,0.036259487326364,0.260663507109005
2009,02130,0,299,70,255,0,4,70,259,0.029904168109918,0.27027027027027
2009,02150,61,399,70,620,0,7,70,627,0.080798969072165,0.111642743221691
2009,02164,6,20,10,28,0,2,10,30,0.0432276657060519,0.333333333333333
2009,02170,513,2201,443,2829,43,100,486,2929,0.0579013956430633,0.165926937521338
2009,02180,3,147,37,293,0,0,37,293,0.0587292042493486,0.126279863481229
2009,02185,34,133,105,154,10,10,115,164,0.0463276836158192,0.701219512195122
2009,02188,32,159,39,70,7,7,46,77,0.0204950758583977,0.597402597402597
2009,02195,16,117,4,66,17,17,21,83,0.0308894678079643,0.253012048192771
2009,02198,35,149,14,69,0,11,14,80,0.0220507166482911,0.175
2009,02220,14,184,125,248,20,47,145,295,0.050435971961019,0.491525423728814
2009,02230,0,13,40,51,0,20,40,71,0.102749638205499,0.563380281690141
2009,02240,35,229,89,289,8,18,97,307,0.0763301839880656,0.315960912052117
2009,02261,31,261,90,322,14,105,104,427,0.0695326494056343,0.243559718969555
2009,02270,20,105,92,127,5,5,97,132,0.0386756519191327,0.734848484848485
2009,02275,25,55,7,44,0,3,7,47,0.0333569907735983,0.148936170212766
2009,02282,9,9,0,0,0,0,0,0,0,NA
2009,02290,19,155,53,99,0,0,53,99,0.0278951817413356,0.535353535353535
2009,04001,100,739,131,828,0,95,131,923,0.0238273485298294,0.14192849404117
2009,04003,424,2439,1182,4647,255,804,1437,5451,0.0649106302916275,0.263621353880022
2009,04005,604,1889,1182,2565,104,310,1286,2875,0.0407223796033994,0.447304347826087
2009,04007,385,1615,169,753,0,64,169,817,0.0226315789473684,0.206854345165239
2009,04009,86,1356,39,556,10,102,49,658,0.0313946276062789,0.074468085106383
2009,04011,21,229,78,219,11,11,89,230,0.0476881608957081,0.38695652173913
2009,04012,2,348,49,599,3,89,52,688,0.045421535617614,0.0755813953488372
2009,04013,5284,21231,34083,97935,6513,21430,40596,119365,0.0488277894406147,0.340099694215222
2009,04015,148,2121,1360,10039,33,479,1393,10518,0.0766590138843337,0.132439627305571
2009,04017,406,3141,269,1489,88,176,357,1665,0.025752865296274,0.214414414414414
2009,04019,2106,9168,10044,25592,1844,5780,11888,31372,0.0476222281592306,0.378936631391049
2009,04021,2792,17022,2028,11474,222,1846,2250,13320,0.0685019568314245,0.168918918918919
2009,04023,62,222,41,320,59,221,100,541,0.0215092239185751,0.184842883548983
2009,04025,911,4066,2015,6470,165,433,2180,6903,0.0450569821025286,0.315804722584384
2009,04027,162,1655,890,5151,169,1280,1059,6431,0.0564296055806607,0.164671124241953
2009,05001,45,242,29,191,11,85,40,276,0.0210446054136485,0.144927536231884
2009,05003,0,228,11,85,0,8,11,93,0.00623199088655096,0.118279569892473
2009,05005,90,682,223,1732,67,100,290,1832,0.0585883782660143,0.158296943231441
2009,05007,991,3355,2328,7154,121,393,2449,7547,0.055917786701836,0.324499801245528
2009,05009,96,499,143,1028,10,19,153,1047,0.0419202434336963,0.146131805157593
2009,05011,16,68,12,61,0,33,12,94,0.0111216280170374,0.127659574468085
2009,05013,36,124,0,10,0,0,0,10,0.00273149412728763,0
2009,05015,68,474,69,494,10,20,79,514,0.0271311691739245,0.153696498054475
2009,05017,10,270,0,181,0,10,0,191,0.0232444931240112,0
2009,05019,43,333,30,762,23,38,53,800,0.0614439324116743,0.06625
2009,05021,2,131,17,296,0,7,17,303,0.0265696246930901,0.0561056105610561
2009,05023,90,992,99,590,0,0,99,590,0.0320721896064362,0.167796610169492
2009,05025,17,182,0,47,0,2,0,49,0.00847457627118644,0
2009,05027,130,328,4,255,0,17,4,272,0.0173193250557147,0.0147058823529412
2009,05029,132,449,30,315,0,24,30,339,0.0245812486404177,0.0884955752212389
2009,05031,152,1813,474,1261,39,138,513,1399,0.0236082282859988,0.366690493209435
2009,05033,57,1231,73,1305,0,0,73,1305,0.0342735581468642,0.0559386973180077
2009,05035,179,670,157,1423,0,15,157,1438,0.0453256004538864,0.109179415855355
2009,05037,28,202,46,290,0,58,46,348,0.0283018867924528,0.132183908045977
2009,05039,48,59,0,42,0,0,0,42,0.0075716603569497,0
