"","cbsa_name","cbsa_size","i5hgc_density","cbsa_code"
"103","Decatur, AL","Small",32.6,"19460"
"104","Deltona-Daytona Beach-Ormond Beach, FL","Medium",11.8,"19660"
"105","Denver-Aurora-Lakewood, CO","Large",181.1,"19740"
"106","Des Moines-West Des Moines, IA","Medium",69.1,"19780"
"107","Detroit-Warren-Dearborn, MI","Large",82.3,"19820"
"108","Dickinson, ND","Micro",35.2,"19860"
"109","Dover, DE","Small",6.1,"20100"
"110","Duluth, MN-WI","Medium",25.1,"20260"
"111","Duncan, OK","Micro",66.9,"20340"
"112","Durango, CO","Micro",19.6,"20420"
"113","Durham-Chapel Hill, NC","Medium",137.4,"20500"
"114","Easton, MD","Micro",80.4,"20660"
"115","East Stroudsburg, PA","Small",11.8,"20700"
"116","Edwards, CO","Micro",97.3,"20780"
"117","Effingham, IL","Micro",175.2,"20820"
"118","El Campo, TX","Micro",24.3,"20900"
"119","El Centro, CA","Small",29.2,"20940"
"120","El Dorado, AR","Micro",24.6,"20980"
"121","Elizabeth City, NC","Micro",31.7,"21020"
"122","Elizabethtown-Fort Knox, KY","Small",27.7,"21060"
"123","Elk City, OK","Micro",45.3,"21120"
"124","Elkhart-Goshen, IN","Small",80.8,"21140"
"125","El Paso, TX","Medium",8.7,"21340"
"126","Enterprise, AL","Micro",19.9,"21460"
"127","Erie, PA","Medium",7.1,"21500"
"128","Eugene, OR","Medium",48.5,"21660"
"129","Evansville, IN-KY","Medium",25.6,"21780"
"130","Fairbanks, AK","Small",21.1,"21820"
"131","Fairfield, IA","Micro",57.2,"21840"
"132","Fairmont, MN","Micro",97.3,"21860"
"133","Fargo, ND-MN","Small",136,"22020"
"134","Fayetteville, NC","Medium",27,"22180"
"135","Fayetteville-Springdale-Rogers, AR-MO","Medium",59.5,"22220"
"136","Findlay, OH","Micro",80,"22300"
"137","Flint, MI","Medium",9.3,"22420"
"138","Florence, SC","Small",34.2,"22500"
"139","Florence-Muscle Shoals, AL","Small",13.7,"22520"
"140","Fond du Lac, WI","Small",29.6,"22540"
"141","Forest City, NC","Micro",14.8,"22580"
"142","Fort Collins, CO","Medium",126.4,"22660"
"143","Fort Dodge, IA","Micro",26.5,"22700"
"144","Fort Smith, AR-OK","Medium",3.6,"22900"
"145","Fort Wayne, IN","Medium",66.9,"23060"
"146","Frankfort, KY","Micro",14.3,"23180"
"147","Fresno, CA","Medium",31.3,"23420"
"148","Gadsden, AL","Small",9.6,"23460"
"149","Gainesville, FL","Medium",34.1,"23540"
"150","Gainesville, GA","Small",27,"23580"
"151","Georgetown, SC","Micro",82.9,"23860"
"152","Gettysburg, PA","Small",9.9,"23900"
"153","Gillette, WY","Micro",41.7,"23940"
"154","Glens Falls, NY","Small",7.8,"24020"
"155","Glenwood Springs, CO","Micro",27.4,"24060"
"156","Grand Forks, ND-MN","Small",20.3,"24220"
"157","Grand Island, NE","Small",12.2,"24260"
"158","Grand Junction, CO","Small",27.3,"24300"
"159","Grand Rapids-Wyoming, MI","Medium",94.2,"24340"
"160","Grants Pass, OR","Small",24,"24420"
"161","Great Falls, MT","Small",12.2,"24500"
"162","Greeley, CO","Medium",27.4,"24540"
"163","Green Bay, WI","Medium",13,"24580"
"164","Greeneville, TN","Micro",72.8,"24620"
"165","Greensboro-High Point, NC","Medium",66.3,"24660"
"166","Greenville, NC","Small",54,"24780"
"167","Greenville-Anderson-Mauldin, SC","Medium",87.9,"24860"
"168","Greenwood, SC","Micro",21,"24940"
"169","Hagerstown-Martinsburg, MD-WV","Medium",35.5,"25180"
"170","Hailey, ID","Micro",181.3,"25200"
"171","Hammond, LA","Small",8.6,"25220"
"172","Hanford-Corcoran, CA","Small",6.6,"25260"
"173","Harrisburg-Carlisle, PA","Medium",54.6,"25420"
"174","Hartford-West Hartford-East Hartford, CT","Large",47.2,"25540"
"175","Hattiesburg, MS","Small",27.9,"25620"
"176","Heber, UT","Micro",84.6,"25720"
"177","Henderson, NC","Micro",22.5,"25780"
"178","Hickory-Lenoir-Morganton, NC","Medium",13.7,"25860"
"179","Hilo, HI","Micro",5.3,"25900"
"180","Hilton Head Island-Bluffton-Beaufort, SC","Small",21.3,"25940"
"181","Holland, MI","Micro",26.9,"26090"
"182","Hot Springs, AR","Small",10.6,"26300"
"183","Houma-Thibodaux, LA","Small",9.6,"26380"
"184","Houston-The Woodlands-Sugar Land, TX","Large",89.8,"26420"
"185","Huntington-Ashland, WV-KY-OH","Medium",2.8,"26580"
"186","Huntsville, AL","Medium",296.8,"26620"
"187","Hutchinson, KS","Micro",77.8,"26740"
"188","Idaho Falls, ID","Small",68.6,"26820"
"189","Indiana, PA","Micro",45.1,"26860"
"190","Indianapolis-Carmel-Anderson, IN","Large",111.4,"26900"
"191","Ionia, MI","Micro",46.9,"26960"
"192","Iowa City, IA","Small",71.1,"26980"
"193","Ithaca, NY","Small",39.1,"27060"
"194","Jackson, MI","Small",56.1,"27100"
"195","Jackson, MS","Medium",50.9,"27140"
"196","Jackson, TN","Small",7.7,"27180"
"197","Jacksonville, FL","Large",93.8,"27260"
"198","Jacksonville, IL","Micro",24.2,"27300"
"199","Jamestown, ND","Micro",142.5,"27420"
"200","Janesville-Beloit, WI","Small",62.4,"27500"
"201","Jefferson, GA","Micro",17.4,"27600"
"202","Jefferson City, MO","Small",27,"27620"
"203","Johnson City, TN","Small",35.4,"27740"
"204","Johnstown, PA","Small",6.9,"27780"
"205","Jonesboro, AR","Small",8.5,"27860"
"206","Joplin, MO","Small",22.9,"27900"
"207","Kahului-Wailuku-Lahaina, HI","Small",6.5,"27980"
"208","Kalamazoo-Portage, MI","Medium",52.2,"28020"
"209","Kalispell, MT","Micro",65.7,"28060"
"210","Kansas City, MO-KS","Large",99.3,"28140"
"211","Kapaa, HI","Micro",43.7,"28180"
"212","Kennewick-Richland, WA","Medium",11.1,"28420"
"213","Kerrville, TX","Micro",80.5,"28500"
"214","Key West, FL","Micro",13.1,"28580"
"215","Killeen-Temple, TX","Medium",4.8,"28660"
"216","Kingsport-Bristol-Bristol, TN-VA","Medium",3.3,"28700"
"217","Kingston, NY","Small",11,"28740"
"218","Knoxville, TN","Medium",62.5,"28940"
"219","Laconia, NH","Micro",99.7,"29060"
"220","La Crosse-Onalaska, WI-MN","Small",67.6,"29100"
"221","Lafayette, LA","Medium",47.2,"29180"
"222","Lafayette-West Lafayette, IN","Small",19.4,"29200"
"223","Lake Charles, LA","Small",24.9,"29340"
"224","Lake Havasu City-Kingman, AZ","Small",10,"29420"
"225","Lakeland-Winter Haven, FL","Medium",21.1,"29460"
"226","Lancaster, PA","Medium",53.6,"29540"
"227","Lansing-East Lansing, MI","Medium",34.4,"29620"
"228","Laramie, WY","Micro",55.1,"29660"
"229","Laredo, TX","Medium",35.9,"29700"
"230","Las Vegas-Henderson-Paradise, NV","Large",63,"29820"
"231","Lawrence, KS","Small",17.8,"29940"
"232","Lebanon, PA","Small",52,"30140"
"233","Lewiston-Auburn, ME","Small",65,"30340"
"234","Lexington-Fayette, KY","Medium",31.8,"30460"
"235","Lima, OH","Small",9.4,"30620"
"236","Lincoln, NE","Medium",85.2,"30700"
"237","Little Rock-North Little Rock-Conway, AR","Medium",17.1,"30780"
"238","Logan, UT-ID","Small",114.1,"30860"
"239","London, KY","Micro",39.5,"30940"
"240","Longview, TX","Small",9.3,"30980"
"241","Longview, WA","Small",29.3,"31020"
"242","Los Alamos, NM","Micro",166.2,"31060"
