cbsa_code,cbsa_name,unweighted_total,total,pemployed,med_hrly_earnings_adj,med_annual_earnings_adj,med_fam_income_adj,pmale,pa1824,pa2534,pa4554,pa5564,pa2550,pa5164,pwhiteNH,pblackNH,platino,pasianNH,plths,phs,psc,paa,pbaplus,pinsch,plep,pfb,plivewparent1824,pmar_1,pchildren,ppoor,p_below2xfpl,psafetynet,psoc_minor_412,psector_72,psector_3133,psector_4445
10540,"Albany, OR",90,1460,1,12,14005,63385,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10580,"Albany-Schenectady-Troy, NY",557,16632,1,9,12575,55438,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10580,"Albany-Schenectady-Troy, NY",344,10115,1,8,6134,81316,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10580,"Albany-Schenectady-Troy, NY",364,9793,1,10,12458,71539,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10580,"Albany-Schenectady-Troy, NY",1135,28190,1,11,20152,38412,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10580,"Albany-Schenectady-Troy, NY",607,14697,1,11,20447,36095,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10580,"Albany-Schenectady-Troy, NY",1073,22917,1,12,22306,53738,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10580,"Albany-Schenectady-Troy, NY",582,10908,1,12,20447,49479,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10580,"Albany-Schenectady-Troy, NY",252,4941,1,12,22167,53673,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10580,"Albany-Schenectady-Troy, NY",383,7149,1,12,20278,62465,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10740,"Albuquerque, NM",659,21122,1,8,13181,37281,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
10740,"Albuquerque, NM",399,13513,1,8,9531,51217,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10740,"Albuquerque, NM",161,4042,1,9,13290,30924,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10740,"Albuquerque, NM",1326,40267,1,10,18687,32243,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10740,"Albuquerque, NM",879,26195,1,10,19725,32445,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10740,"Albuquerque, NM",760,20953,1,12,22306,40489,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10740,"Albuquerque, NM",618,14298,1,10,18250,36173,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10740,"Albuquerque, NM",361,7869,1,11,20152,41110,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10740,"Albuquerque, NM",292,6436,1,11,20215,49072,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10780,"Alexandria, LA",267,4743,1,8,12091,43961,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10780,"Alexandria, LA",71,1180,1,8,6449,50189,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10780,"Alexandria, LA",43,857,1,8,14824,33533,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10780,"Alexandria, LA",450,9248,1,9,16896,28626,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10780,"Alexandria, LA",258,5256,1,10,19009,36751,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
10780,"Alexandria, LA",127,2134,1,10,19518,41916,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10780,"Alexandria, LA",275,3541,1,9,17744,35266,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10780,"Alexandria, LA",98,1180,1,10,19431,43397,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10780,"Alexandria, LA",53,528,1,12,24916,53604,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",622,18481,1,9,11194,55750,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",307,8881,1,8,7053,71053,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",239,5778,1,9,10223,89490,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",1277,37825,1,11,20152,40304,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",678,18789,1,12,20278,45679,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",830,21110,1,12,20763,57026,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",791,17481,1,12,21901,49072,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",294,6863,1,12,20152,63794,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10900,"Allentown-Bethlehem-Easton, PA-NJ",358,7542,1,11,16827,59071,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11020,"Altoona, PA",233,3968,1,8,9734,44612,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
11020,"Altoona, PA",76,1469,1,8,6134,84561,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11020,"Altoona, PA",65,1283,1,10,15114,71810,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11020,"Altoona, PA",532,8641,1,9,16357,35373,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11020,"Altoona, PA",155,2870,1,10,16927,37911,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11020,"Altoona, PA",218,3681,1,11,19009,52012,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
11020,"Altoona, PA",357,4754,1,10,19748,43686,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11020,"Altoona, PA",63,1039,1,11,19062,58345,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
