st_code,st_name,female,minority,black,male_black,female_black,female_nonminority,hispanic
1,Alabama,0.338168779582677,0.314106374452418,0.100549607210201,0.124868858952538,0.0553821907699547,0.441034273872267,0.433260846716578
2,Alaska,0.458085642323352,0.320264264710347,NA,NA,NA,0.587224998239663,0.434158899623572
4,Arizona,0.386535690472857,0.349522635253318,0.264394549454935,0.269044747091216,0.193649646553849,0.527249029062493,0.257613066939053
5,Arkansas,0.320289414886939,0.290684804481244,0.0998411798143232,0.104387991422693,0.0789194682591671,0.37619517193041,0.207595956804432
6,California,0.400489182420905,0.532478450304637,0.235992353154,0.290369724203036,0.142773899103603,0.591693948896293,0.268315229020735
8,Colorado,0.436595718012795,0.341697208925247,0.223811838151713,0.27328852564777,0.136276638564961,0.529322110055059,0.224264462387934
9,Connecticut,0.339984224667272,0.39927720376462,0,0,0.087187788368781,0.388899903707903,0.208453441082751
10,Delaware,0.305909979234365,0.397398976798441,0.122941877354581,0.143569400609863,0.0876107849901149,0.371498915962897,0.307155217699454
11,District of Columbia,0.367600052212214,0.431004687235996,0.240034116398732,0.31009713398438,0.143448122335049,0.593755308102877,0.403141532666927
12,Florida,0.411859434386417,0.537370824693509,0.179259536395165,0.206256025474182,0.11207711897785,0.521951553668116,0.620828747035463
13,Georgia,0.400946200078114,0.453873948153134,0.167778135603339,0.201440685295789,0.10916357625593,0.538189093359269,0.379873953665045
15,Hawaii,0.40633926227291,0.666387575841589,NA,NA,NA,0.705210572653787,0.184484418986286
16,Idaho,0.295857390264846,0.330511423423118,NA,NA,NA,0.321369312473583,0.26960705132323
17,Illinois,0.383916852085917,0.437488189790836,0.123239335321778,0.140674523410272,0.0821371739301111,0.473610128727987,0.357421917430557
18,Indiana,0.337098873268117,0.418576293058202,0.148929733097515,0.16483591538242,0.106622862811285,0.361397813959519,0.324104876258864
19,Iowa,0.299006684339579,0.320943012204159,0.102240077477801,0.114289740354215,0.0559695740795954,0.318960037502708,0.242967888237247
20,Kansas,0.332034016946936,0.343361983029906,0.141925646143129,0.151148690568289,0,0.368462058476975,0.259658871717604
21,Kentucky,0.349224069679297,0.525726333192067,0.149482939665466,0.166828592931862,0.08474068230972,0.367045424904121,0.496007867813872
22,Louisiana,0.327704506425306,0.282148238994391,0.108569762614435,0.126184398535279,0.0615220930342941,0.449953053842287,0.422909306675548
23,Maine,0.361130524198582,0.472032652165387,NA,NA,NA,0.365235662317816,NA
24,Maryland,0.391713019294951,0.483448971953565,0.2119001039196,0.245944252347726,0.150332352054684,0.517007300191964,0.417179375697937
25,Massachusetts,0.329456919353045,0.413617887923525,0.185434601915385,0.262212996578808,0.0970891648506205,0.372388153674303,0.181058377469871
26,Michigan,0.350744754454584,0.34420608046543,0.130525860698856,0.143333897793131,0.09725944078414,0.395170058080084,0.321006658233059
27,Minnesota,0.350102101079826,0.333565082733687,0.164185531423091,0.210998000279299,0.0866454669309026,0.375078783750218,0.228078720482903
28,Mississippi,0.308607943173244,0.264592654936981,0.103707674428625,0.116995836844665,0.0738698669035958,0.441714868063654,0.498855258935704
29,Missouri,0.436556351381017,0.644671923371579,0.639803320190653,0.60817490750763,0.604319842627131,0.416248624635639,0.343044879296269
30,Montana,0.360464667861607,0.316964437220239,NA,NA,NA,0.376919364195686,0.288202772510649
31,Nebraska,0.289746669520577,0.268306938560618,0.127325100539225,0.147533120949817,0.0700041695776224,0.322319944778126,0.201891473341262
32,Nevada,0.400567190794095,0.387007379461603,0.167772805267146,0.209031323038142,0.105626956775818,0.569464472477145,0.249124781675052
33,New Hampshire,0.310835617183203,0.553419701171178,NA,NA,NA,0.319997698035596,NA
34,New Jersey,0.364318569838362,0.5203346928824,0.159890429475288,0.204129683466433,0.0955505359378991,0.433044247195085,0.311748283609967
35,New Mexico,0.401143655654851,0.386361942233625,0.310852184541431,0.319132416062769,0.202371688243871,0.708956828459689,0.387591025228989
36,New York,0.393439373569182,0.506879820841395,0.164021065440353,0.196078941028702,0.117528219985027,0.467264482135765,0.272855912308968
37,North Carolina,0.382556255922703,0.362603329466971,0.165237715909632,0.186806044410733,0.112825778633323,0.481638812864303,0.382677470179809
38,North Dakota,0.294873144130566,0.218643185411556,NA,NA,NA,0.31776950577596,NA
39,Ohio,0.344418980207111,0.387224423584678,0.149640929901064,0.17976864469462,0.10846808342237,0.374482874661699,0.317154228659219
40,Oklahoma,0.361667908020886,0.411780310862562,0.166223249008147,0.158454328426853,0.160129620401439,0.420808562084812,0.30708785719333
41,Oregon,0.398701239006189,0.487728237348077,0.368135945331709,0.445825354276833,0.247149793779802,0.423302921675686,0.313214686266855
42,Pennsylvania,0.341020735253108,0.43533376628644,0.144154045842606,0.169063434967435,0.0864436639507337,0.367451424417682,0.218577710975567
44,Rhode Island,0.335918788387104,0.285470774836326,0.210011328819429,0.283503681370307,0.132391008718645,0.394881158612875,0.210925170138734
45,South Carolina,0.356633836365812,0.31557878227679,0.1170710262123,0.14038634235193,0.0750393906558577,0.461263326410987,0.398989447455167
46,South Dakota,0.267080248485754,0.169773784358843,NA,NA,NA,0.294490761513007,NA
47,Tennessee,0.345046588259263,0.454593307303726,0.148363605580332,0.176809371023271,0.0881300558064863,0.390871879983329,0.406340407127682
48,Texas,0.39540527056582,0.477546900487795,0.189767171900923,0.215640346059937,0.127899724464861,0.585575001927341,0.337402175985177
49,Utah,0.312311030439553,0.322293961101592,NA,NA,NA,0.34514048049794,0.223869243725133
50,Vermont,0.301101381703195,0.387362410856446,NA,NA,NA,0.303327774626427,NA
