cbsa_code,cbsa_name,year,patents_issued
20220,"Dubuque, IA",2000,17
27100,"Jackson, MI",2000,34
11260,"Anchorage, AK",2000,31
43620,"Sioux Falls, SD",2000,28
27740,"Johnson City, TN",2000,21
22540,"Fond du Lac, WI",2000,32
36100,"Ocala, FL",2000,19
31180,"Lubbock, TX",2000,31
38340,"Pittsfield, MA",2000,33
11300,"Anderson, IN",2000,11
44100,"Springfield, IL",2000,23
46540,"Utica-Rome, NY",2000,23
27900,"Joplin, MO",2000,29
12220,"Auburn-Opelika, AL",2000,22
31860,"Mankato-North Mankato, MN",2000,17
18580,"Corpus Christi, TX",2000,29
37460,"Panama City-Lynn Haven-Panama City Beach, FL",2000,27
23580,"Gainesville, GA",2000,17
13140,"Beaumont-Port Arthur, TX",2000,30
27180,"Jackson, TN",2000,20
43340,"Shreveport-Bossier City, LA",2000,13
12980,"Battle Creek, MI",2000,24
39140,"Prescott, AZ",2000,16
13020,"Bay City, MI",2000,22
32780,"Medford, OR",2000,18
37620,"Parkersburg-Marietta-Vienna, WV-OH",2000,30
33660,"Mobile, AL",2000,26
42340,"Savannah, GA",2000,15
26380,"Houma-Bayou Cane-Thibodaux, LA",2000,17
20260,"Duluth, MN-WI",2000,15
29100,"La Crosse, WI-MN",2000,29
34060,"Morgantown, WV",2000,14
31740,"Manhattan, KS",2000,12
30980,"Longview, TX",2000,27
24020,"Glens Falls, NY",2000,26
34740,"Muskegon-Norton Shores, MI",2000,28
24780,"Greenville, NC",2000,21
46340,"Tyler, TX",2000,10
33260,"Midland, TX",2000,16
48700,"Williamsport, PA",2000,16
19500,"Decatur, IL",2000,17
42680,"Sebastian-Vero Beach, FL",2000,16
43300,"Sherman-Denison, TX",2000,18
17660,"Coeur d'Alene, ID",2000,14
41980,"San Juan-Caguas-Guaynabo, PR",2000,18
15500,"Burlington, NC",2000,15
39460,"Punta Gorda, FL",2000,16
25180,"Hagerstown-Martinsburg, MD-WV",2000,12
41060,"St. Cloud, MN",2000,23
25060,"Gulfport-Biloxi, MS",2000,19
31420,"Macon, GA",2000,20
12100,"Atlantic City-Hammonton, NJ",2000,19
18880,"Crestview-Fort Walton Beach-Destin, FL",2000,18
33860,"Montgomery, AL",2000,15
28660,"Killeen-Temple-Fort Hood, TX",2000,14
34820,"Myrtle Beach-North Myrtle Beach-Conway, SC",2000,5
41100,"St. George, UT",2000,6
11100,"Amarillo, TX",2000,22
48140,"Wausau, WI",2000,17
24300,"Grand Junction, CO",2000,10
44220,"Springfield, OH",2000,17
30140,"Lebanon, PA",2000,15
17020,"Chico, CA",2000,15
39820,"Redding, CA",2000,15
49020,"Winchester, VA-WV",2000,4
47380,"Waco, TX",2000,13
29740,"Las Cruces, NM",2000,9
34100,"Morristown, TN",2000,8
24220,"Grand Forks, ND-MN",2000,13
28100,"Kankakee-Bradley, IL",2000,5
33540,"Missoula, MT",2000,13
26580,"Huntington-Ashland, WV-KY-OH",2000,15
12620,"Bangor, ME",2000,5
47300,"Visalia-Porterville, CA",2000,13
34580,"Mount Vernon-Anacortes, WA",2000,9
36220,"Odessa, TX",2000,17
19460,"Decatur, AL",2000,10
46220,"Tuscaloosa, AL",2000,4
14540,"Bowling Green, KY",2000,13
49420,"Yakima, WA",2000,23
22180,"Fayetteville, NC",2000,9
29340,"Lake Charles, LA",2000,19
33140,"Michigan City-La Porte, IN",2000,18
22900,"Fort Smith, AR-OK",2000,18
17980,"Columbus, GA-AL",2000,12
45820,"Topeka, KS",2000,16
39380,"Pueblo, CO",2000,5
41140,"St. Joseph, MO-KS",2000,5
19140,"Dalton, GA",2000,12
45460,"Terre Haute, IN",2000,7
20100,"Dover, DE",2000,10
13740,"Billings, MT",2000,8
31020,"Longview, WA",2000,9
17300,"Clarksville, TN-KY",2000,14
31900,"Mansfield, OH",2000,15
33740,"Monroe, LA",2000,10
27780,"Johnstown, PA",2000,15
39660,"Rapid City, SD",2000,11
41780,"Sandusky, OH",2000,7
17420,"Cleveland, TN",2000,7
48660,"Wichita Falls, TX",2000,14
13900,"Bismarck, ND",2000,13
48540,"Wheeling, WV-OH",2000,12
29420,"Lake Havasu City-Kingman, AZ",2000,8
37380,"Palm Coast, FL",2000,7
31460,"Madera-Chowchilla, CA",2000,13
21060,"Elizabethtown, KY",2000,8
36980,"Owensboro, KY",2000,5
32580,"McAllen-Edinburg-Mission, TX",2000,17
41540,"Salisbury, MD",2000,11
16180,"Carson City, NV",2000,5
27860,"Jonesboro, AR",2000,3
22520,"Florence-Muscle Shoals, AL",2000,11
25620,"Hattiesburg, MS",2000,14
34620,"Muncie, IN",2000,8
11020,"Altoona, PA",2000,6
49700,"Yuba City, CA",2000,10
10500,"Albany, GA",2000,8
22140,"Farmington, NM",2000,1
25500,"Harrisonburg, VA",2000,9
32900,"Merced, CA",2000,8
40580,"Rocky Mount, NC",2000,4
16940,"Cheyenne, WY",2000,3
15180,"Brownsville-Harlingen, TX",2000,5
38540,"Pocatello, ID",2000,6
47220,"Vineland-Millville-Bridgeton, NJ",2000,8
37700,"Pascagoula, MS",2000,8
10780,"Alexandria, LA",2000,8
40660,"Rome, GA",2000,4
26300,"Hot Springs, AR",2000,4
16020,"Cape Girardeau-Jackson, MO-IL",2000,5
48300,"Wenatchee-East Wenatchee, WA",2000,5
44600,"Steubenville-Weirton, OH-WV",2000,6
11500,"Anniston-Oxford, AL",2000,6
30340,"Lewiston-Auburn, ME",2000,9
15260,"Brunswick, GA",2000,11
27620,"Jefferson City, MO",2000,8
49740,"Yuma, AZ",2000,1
45500,"Texarkana, TX-Texarkana, AR",2000,6
10180,"Abilene, TX",2000,0
36140,"Ocean City, NJ",2000,7
20020,"Dothan, AL",2000,8
47580,"Warner Robins, GA",2000,7
19180,"Danville, IL",2000,4
30620,"Lima, OH",2000,4
44940,"Sumter, SC",2000,2
47020,"Victoria, TX",2000,6
23460,"Gadsden, AL",2000,4
46660,"Valdosta, GA",2000,6
27340,"Jacksonville, NC",2000,1
19060,"Cumberland, MD-WV",2000,1
21820,"Fairbanks, AK",2000,3
10380,"Aguadilla-Isabela-San Sebasti?n, PR",2000,1
19260,"Danville, VA",2000,4
24500,"Great Falls, MT",2000,7
16220,"Casper, WY",2000,2
32420,"Mayag?ez, PR",2000,3
25260,"Hanford-Corcoran, CA",2000,4
41660,"San Angelo, TX",2000,3
20940,"El Centro, CA",2000,3
24140,"Goldsboro, NC",2000,3
30020,"Lawton, OK",2000,5
30300,"Lewiston, ID-WA",2000,3
29700,"Laredo, TX",2000,2
38220,"Pine Bluff, AR",2000,3
25980,"Hinesville-Fort Stewart, GA",2000,0
38660,"Ponce, PR",2000,1
41900,"San Germ?n-Cabo Rojo, PR",2000,0
25020,"Guayama, PR",2000,0
49500,"Yauco, PR",2000,1
21940,"Fajardo, PR",2000,1
18500,"Corning, NY",2000,50
33220,"Midland, MI",2000,148
45860,"Torrington, CT",2000,108
20340,"Duncan, OK",2000,24
47700,"Warsaw, IN",2000,32
30100,"Lebanon, NH-VT",2000,46
18180,"Concord, NH",2000,54
12780,"Bartlesville, OK",2000,102
31060,"Los Alamos, NM",2000,34
46020,"Truckee-Grass Valley, CA",2000,37
14580,"Bozeman, MT",2000,36
10540,"Albany-Lebanon, OR",2000,20
23820,"Gardnerville Ranchos, NV",2000,19
49300,"Wooster, OH",2000,26
28060,"Kalispell, MT",2000,21
24820,"Greenville, OH",2000,39
10300,"Adrian, MI",2000,34
39420,"Pullman, WA",2000,23
36860,"Ottawa-Streator, IL",2000,22
39860,"Red Wing, MN",2000,9
10880,"Allegan, MI",2000,16
44380,"Statesville-Mooresville, NC",2000,22
36940,"Owatonna, MN",2000,20
13180,"Beaver Dam, WI",2000,24
48580,"Whitewater, WI",2000,28
48740,"Willimantic, CT",2000,17
44660,"Stillwater, OK",2000,18
45900,"Traverse City, MI",2000,20
18260,"Cookeville, TN",2000,19
32260,"Marshalltown, IA",2000,23
22060,"Faribault-Northfield, MN",2000,18
28300,"Keene, NH",2000,13
27220,"Jackson, WY-ID",2000,10
31820,"Manitowoc, WI",2000,24
25940,"Hilton Head Island-Beaufort, SC",2000,20
20700,"East Stroudsburg, PA",2000,20
20820,"Effingham, IL",2000,27
28580,"Key West, FL",2000,15
48020,"Watertown-Fort Atkinson, WI",2000,15
12180,"Auburn, NY",2000,14
37800,"Pella, IA",2000,7
48820,"Willmar, MN",2000,7
29660,"Laramie, WY",2000,9
40620,"Rolla, MO",2000,8
38620,"Ponca City, OK",2000,6
27980,"Kahului-Wailuku, HI",2000,14
26340,"Houghton, MI",2000,6
11900,"Athens, OH",2000,12
17200,"Claremont, NH",2000,13
23300,"Freeport, IL",2000,15
35420,"New Philadelphia-Dover, OH",2000,11
14660,"Brainerd, MN",2000,14
22300,"Findlay, OH",2000,8
43380,"Sidney, OH",2000,15
42860,"Seneca, SC",2000,14
44260,"Starkville, MS",2000,17
12660,"Baraboo, WI",2000,17
25900,"Hilo, HI",2000,8
48060,"Watertown-Fort Drum, NY",2000,18
29060,"Laconia, NH",2000,17
12740,"Barre, VT",2000,14
36020,"Oak Harbor, WA",2000,3
36820,"Oskaloosa, IA",2000,3
34140,"Moscow, ID",2000,11
47540,"Wapakoneta, OH",2000,18
16540,"Chambersburg, PA",2000,16
14940,"Brigham City, UT",2000,9
26460,"Hudson, NY",2000,17
42380,"Sayre, PA",2000,15
26780,"Hutchinson, MN",2000,11
46180,"Tupelo, MS",2000,12
42580,"Seaford, DE",2000,12
43860,"Southern Pines-Pinehurst, NC",2000,10
44420,"Staunton-Waynesboro, VA",2000,11
40300,"Rochelle, IL",2000,7
12860,"Batavia, NY",2000,14
46380,"Ukiah, CA",2000,15
40860,"Rutland, VT",2000,6
27460,"Jamestown-Dunkirk-Fredonia, NY",2000,16
29300,"LaGrange, GA",2000,13
19300,"Daphne-Fairhope-Foley, AL",2000,17
32100,"Marquette, MI",2000,9
20620,"East Liverpool-Salem, OH",2000,7
45640,"Thomasville-Lexington, NC",2000,12
39060,"Pottsville, PA",2000,10
28340,"Kendallville, IN",2000,9
12140,"Auburn, IN",2000,13
15100,"Brookings, SD",2000,5
35100,"New Bern, NC",2000,7
35340,"New Iberia, LA",2000,23
40080,"Richmond-Berea, KY",2000,5
13540,"Bennington, VT",2000,7
26860,"Indiana, PA",2000,23
24180,"Granbury, TX",2000,7
30740,"Lincolnton, NC",2000,7
47460,"Walla Walla, WA",2000,11
21700,"Eureka-Arcata-Fortuna, CA",2000,8
23900,"Gettysburg, PA",2000,8
45380,"Taylorville, IL",2000,8
41820,"Sanford, NC",2000,10
35500,"Newton, IA",2000,13
38020,"Phoenix Lake-Cedar Ridge, CA",2000,9
27540,"Jasper, IN",2000,9
35260,"New Castle, PA",2000,18
13940,"Blackfoot, ID",2000,7
34700,"Muscatine, IA",2000,7
49100,"Winona, MN",2000,3
29580,"Lancaster, SC",2000,7
10820,"Alexandria, MN",2000,6
32060,"Marion-Herrin, IL",2000,5
36300,"Ogdensburg-Massena, NY",2000,7
24740,"Greenville, MS",2000,4
37020,"Owosso, MI",2000,6
18660,"Cortland, NY",2000,5
20780,"Edwards, CO",2000,7
23660,"Galesburg, IL",2000,14
24420,"Grants Pass, OR",2000,6
30500,"Lexington Park, MD",2000,6
39980,"Richmond, IN",2000,9
11980,"Athens, TX",2000,4
13340,"Bellefontaine, OH",2000,7
32740,"Meadville, PA",2000,10
37820,"Pendleton-Hermiston, OR",2000,2
48940,"Wilmington, OH",2000,2
10700,"Albertville, AL",2000,9
11420,"Angola, IN",2000,7
36900,"Ottumwa, IA",2000,4
11220,"Amsterdam, NY",2000,10
43420,"Sierra Vista-Douglas, AZ",2000,7
16380,"Celina, OH",2000,10
36460,"Olean, NY",2000,1
38820,"Port Angeles, WA",2000,4
26140,"Homosassa Springs, FL",2000,10
38500,"Plymouth, IN",2000,15
27420,"Jamestown, ND",2000,2
28260,"Kearney, NE",2000,6
32270,"Marshfield-Wisconsin Rapids, WI",2000,7
44580,"Sterling, IL",2000,4
11660,"Arkadelphia, AR",2000,14
11780,"Ashtabula, OH",2000,8
13260,"Bedford, IN",2000,0
46300,"Twin Falls, ID",2000,5
20420,"Durango, CO",2000,9
35940,"Norwalk, OH",2000,9
18820,"Crawfordsville, IN",2000,9
43140,"Shelby, NC",2000,11
46100,"Tullahoma, TN",2000,11
19220,"Danville, KY",2000,5
11740,"Ashland, OH",2000,10
22260,"Fergus Falls, MN",2000,4
26480,"Humboldt, TN",2000,3
32700,"McPherson, KS",2000,2
39500,"Quincy, IL-MO",2000,13
43740,"Somerset, PA",2000,5
18100,"Columbus, NE",2000,4
40820,"Ruston, LA",2000,0
24620,"Greeneville, TN",2000,7
12380,"Austin, MN",2000,7
24940,"Greenwood, SC",2000,6
37060,"Oxford, MS",2000,3
36340,"Oil City, PA",2000,5
40500,"Rockland, ME",2000,6
25720,"Heber, UT",2000,1
43540,"Silverthorne, CO",2000,7
14100,"Bloomsburg-Berwick, PA",2000,5
14340,"Boone, IA",2000,2
16060,"Carbondale, IL",2000,2
41580,"Salisbury, NC",2000,4
12300,"Augusta-Waterville, ME",2000,8
31940,"Marinette, WI-MI",2000,7
34340,"Mount Airy, NC",2000,6
18980,"Cullman, AL",2000,3
26220,"Hood River, OR",2000,2
34020,"Morgan City, LA",2000,3
42980,"Seymour, IN",2000,2
25340,"Harriman, TN",2000,9
34380,"Mount Pleasant, MI",2000,6
34540,"Mount Vernon, OH",2000,7
38460,"Plattsburgh, NY",2000,5
11620,"Ardmore, OK",2000,3
15460,"Burlington, IA-IL",2000,5
28820,"Kinston, NC",2000,8
33820,"Monroe, WI",2000,4
18220,"Connersville, IN",2000,4
23620,"Gainesville, TX",2000,1
20380,"Dunn, NC",2000,10
44620,"Stevens Point, WI",2000,4
20660,"Easton, MD",2000,6
30660,"Lincoln, IL",2000,10
37140,"Paducah, KY-IL",2000,4
26540,"Huntington, IN",2000,6
40700,"Roseburg, OR",2000,13
35740,"Norfolk, NE",2000,1
38100,"Picayune, MS",2000,2
26740,"Hutchinson, KS",2000,2
32860,"Menomonie, WI",2000,5
14380,"Boone, NC",2000,3
16660,"Charleston-Mattoon, IL",2000,8
38420,"Platteville, WI",2000,4
47420,"Wahpeton, ND-MN",2000,2
15620,"Cadillac, MI",2000,5
24700,"Greensburg, IN",2000,5
31920,"Marble Falls, TX",2000,7
42700,"Sebring, FL",2000,3
10140,"Aberdeen, WA",2000,5
24100,"Gloversville, NY",2000,8
36580,"Oneonta, NY",2000,3
41460,"Salina, KS",2000,9
42940,"Sevierville, TN",2000,6
10220,"Ada, OK",2000,0
40180,"Riverton, WY",2000,10
44780,"Sturgis, MI",2000,8
24260,"Grand Island, NE",2000,3
25220,"Hammond, LA",2000,4
33420,"Mineral Wells, TX",2000,1
43220,"Shelton, WA",2000,5
19940,"Dixon, IL",2000,3
31980,"Marion, IN",2000,3
46500,"Urbana, OH",2000,5
14700,"Branson, MO",2000,4
22100,"Farmington, MO",2000,2
32940,"Meridian, MS",2000,5
11820,"Astoria, OR",2000,3
19580,"Defiance, OH",2000,4
23140,"Frankfort, IN",2000,1
31380,"Macomb, IL",2000,4
38700,"Pontiac, IL",2000,5
17340,"Clearlake, CA",2000,2
32020,"Marion, OH",2000,6
34180,"Moses Lake, WA",2000,6
34860,"Nacogdoches, TX",2000,7
46980,"Vicksburg, MS",2000,7
47340,"Wabash, IN",2000,4
48980,"Wilson, NC",2000,5
26660,"Huntsville, TX",2000,1
28500,"Kerrville, TX",2000,5
31500,"Madison, IN",2000,3
47980,"Watertown, SD",2000,4
15580,"Butte-Silver Bow, MT",2000,4
17740,"Coldwater, MI",2000,7
33980,"Morehead City, NC",2000,3
40540,"Rock Springs, WY",2000,5
47620,"Warren, PA",2000,6
15860,"Ca?on City, CO",2000,3
34780,"Muskogee, OK",2000,7
37260,"Palatka, FL",2000,8
22800,"Fort Madison-Keokuk, IA-MO",2000,5
38260,"Pittsburg, KS",2000,7
23240,"Fredericksburg, TX",2000,3
28180,"Kapaa, HI",2000,3
29900,"Laurinburg, NC",2000,5
19540,"Decatur, IN",2000,7
21460,"Enterprise-Ozark, AL",2000,3
23340,"Fremont, NE",2000,6
23380,"Fremont, OH",2000,3
28900,"Klamath Falls, OR",2000,3
32180,"Marshall, MO",2000,1
36180,"Ocean Pines, MD",2000,4
44020,"Spirit Lake, IA",2000,6
45660,"Tiffin, OH",2000,2
45700,"Tifton, GA",2000,2
23180,"Frankfort, KY",2000,3
37740,"Payson, AZ",2000,3
13100,"Beatrice, NE",2000,2
21540,"Escanaba, MI",2000,7
41260,"St. Marys, PA",2000,4
49460,"Yankton, SD",2000,4
13220,"Beckley, WV",2000,1
13420,"Bemidji, MN",2000,2
29380,"Lake City, FL",2000,4
36660,"Opelousas-Eunice, LA",2000,3
36700,"Orangeburg, SC",2000,8
10940,"Alma, MI",2000,5
14140,"Bluefield, WV-VA",2000,6
16500,"Centralia, WA",2000,10
17060,"Chillicothe, OH",2000,8
15700,"Cambridge, MD",2000,7
17540,"Clinton, IA",2000,4
32300,"Martinsville, VA",2000,4
16260,"Cedar City, UT",2000,2
20180,"DuBois, PA",2000,7
22580,"Forest City, NC",2000,5
36620,"Ontario, OR-ID",2000,7
18060,"Columbus, MS",2000,4
23860,"Georgetown, SC",2000,1
32980,"Merrill, WI",2000,3
17220,"Clarksburg, WV",2000,2
18460,"Cornelia, GA",2000,1
25740,"Helena, MT",2000,1
30380,"Lewistown, PA",2000,5
32380,"Mason City, IA",2000,4
17940,"Columbia, TN",2000,2
19860,"Dickinson, ND",2000,3
21380,"Emporia, KS",2000,0
38380,"Plainview, TX",2000,4
46460,"Union City, TN-KY",2000,1
14820,"Brevard, NC",2000,1
23940,"Gillette, WY",2000,5
33940,"Montrose, CO",2000,5
23780,"Garden City, KS",2000,5
42900,"Seneca Falls, NY",2000,5
43320,"Show Low, AZ",2000,3
45620,"Thomasville, GA",2000,6
30260,"Lewisburg, PA",2000,4
32220,"Marshall, TX",2000,1
40740,"Roswell, NM",2000,5
45340,"Taos, NM",2000,1
47820,"Washington, NC",2000,3
49060,"Winfield, KS",2000,2
33620,"Moberly, MO",2000,11
44980,"Sunbury, PA",2000,3
15340,"Bucyrus, OH",2000,3
18300,"Coos Bay, OR",2000,3
32140,"Marshall, MN",2000,5
39940,"Rexburg, ID",2000,0
46820,"Vermillion, SD",2000,4
11940,"Athens, TN",2000,5
21580,"Espanola, NM",2000,3
33060,"Miami, OK",2000,1
