stco_code,co_name,tot_lic,lg_lic,sm_lic,st_lic,inc_lic,tot_IP,tot_st,instate_st
01073,"Jefferson County, Alabama",309,130,144,35,59181199,1093,32,24
01081,"Lee County, Alabama",206,50,131,25,10169302,947,15,8
01089,"Madison County, Alabama",26,4,4,18,10399375,263,35,35
01097,"Mobile County, Alabama",25,5,9,14,23162288,183,9,9
01125,"Tuscaloosa County, Alabama",49,5,15,29,588647,487,22,16
02020,"Anchorage Municipality, Alaska",26,0,3,9,66000,73,4,3
04005,"Coconino County, Arizona",9,0,3,6,208934,220,5,1
04013,"Maricopa County, Arizona",779,305,356,117,32846980,2540,101,83
04019,"Pima County, Arizona",734,237,299,167,17532078,1898,93,71
05119,"Pulaski County, Arkansas",68,19,27,22,12485622,376,21,19
05143,"Washington County, Arkansas",373,118,225,30,9738011,419,23,18
06001,"Alameda County, California",3057,1462,862,733,1604827738,18636,771,648
06037,"Los Angeles County, California",1048,289,455,304,377288353,7608,227,144
06065,"Riverside County, California",0,0,0,0,0,4,0,0
06073,"San Diego County, California",106,16,41,25,5457866,314,13,12
06079,"San Luis Obispo County, California",2,0,2,0,20000,7,0,0
06085,"Santa Clara County, California",1370,154,275,96,878535113,5693,145,129
08031,"Denver County, Colorado",4,0,0,2,769803,48,2,1
08041,"El Paso County, Colorado",683,131,336,216,127657935,2747,118,96
08059,"Jefferson County, Colorado",81,30,36,15,719456,283,7,6
08069,"Larimer County, Colorado",354,98,203,57,23083938,1191,57,54
09013,"Tolland County, Connecticut",162,42,69,51,11728925,897,43,38
10003,"New Castle County, Delaware",72,9,34,29,3232998,503,28,11
11001,"District of Columbia, District of Columbia",165,47,83,35,93615990,685,22,0
12009,"Brevard County, Florida",2,1,0,0,136250,8,0,0
12031,"Duval County, Florida",1,1,0,0,11903,13,0,0
12033,"Escambia County, Florida",7,1,6,0,9072,19,0,0
12057,"Hillsborough County, Florida",737,289,328,120,35309062,1837,88,71
12071,"Lee County, Florida",0,0,0,0,0,2,0,0
12073,"Leon County, Florida",139,37,59,43,12714171,693,32,26
12083,"Marion County, Florida",1787,242,1296,249,469794611,3828,154,97
12086,"Miami-Dade County, Florida",195,26,96,70,35227385,1088,43,39
12095,"Orange County, Florida",224,55,100,66,13797794,1246,60,41
12099,"Palm Beach County, Florida",16,4,6,6,502131,115,4,3
12127,"Volusia County, Florida",0,0,0,0,0,20,0,0
13059,"Clarke County, Georgia",1768,290,1395,83,146394989,1802,45,34
13089,"DeKalb County, Georgia",469,179,237,53,165996665,2405,53,30
13121,"Fulton County, Georgia",614,272,182,160,25716668,4093,106,90
13245,"Richmond County, Georgia",94,46,25,23,4979003,430,10,10
15003,"Honolulu County, Hawaii",82,16,37,29,4156001,586,20,22
16001,"Ada County, Idaho",178,109,58,11,199706,154,5,5
16005,"Bannock County, Idaho",1,0,0,0,0,14,0,0
16019,"Bonneville County, Idaho",80,9,64,7,6243959,277,7,4
17019,"Champaign County, Illinois",970,211,566,192,239485371,4246,135,94
17031,"Cook County, Illinois",737,243,298,192,2900079245,3718,141,91
17037,"DeKalb County, Illinois",4,1,3,0,211953,72,0,0
17097,"Lake County, Illinois",1,0,1,1,0,6,0,0
17113,"McLean County, Illinois",3,1,0,2,2100,14,0,0
17163,"St. Clair County, Illinois",29,2,15,13,5297377,150,8,5
18035,"Delaware County, Indiana",7,3,4,0,503699,102,2,2
