stco_code,co_name,type,oic,comp_type,largest_city_pop,pop1990,pop2000,pop2010,pop2016,mf_share_1970,mf_share_2016,projected_jobs_2016,job_deficit,percent_job_deficit,yf_jobs_2000,yf_jobs_2010,yf_jobs_2016,prod_1980,prod_1990,prod_2000,prod_2010,prod_2016,incpercap_00,incpercap_10,incpercap_16,incpercap_ch0016,incpercap_ch0010,incpercap_ch1016,incpercap_sigch0016,incpercap_sigch0010,incpercap_sigch1016,epop_00,epop_10,epop_16,epop_ch_0016,epop_ch_0010,epop_ch_1016,epop_sigch_0016,epop_sigch_0010,epop_sigch_1016,medinc00,medinc10,medinc16,medinc_ch_0016,medinc_ch_0010,medinc_ch_1016,medinc_sigch_0016,medinc_sigch_0010,medinc_sigch_1016,score_0016,gscore_0016,pscore_0016,iscore_0016,ext_povrate_1216,nih_nsf_ed_16,hub_share_15,units_16,units_10,fb_share_10,fb_share_16,fb_share_ch_1016,fb_share_sigch_1016,ba_rate_nhw,ba_rate_col,ba_rate_ch,ba_rate_sigch,DissInd_WB2015
37021,Buncombe County,2,0,0,88299,174609,206330,238318,256088,0.362742465,0.097022835,93.866456350000007,35.09386978,0.373870189,13868,12430,15040,64519.93842,72820.70973,81890.09185,96932.72781,91419.09515,29009.54592,26646.47046,30289.70656,1280.160632,-2363.075461,3643.236093,0,1,1,0.748202468,0.712386305,0.73208201,-0.016120458,-0.035816163,0.019695704,0,1,0,51103.92951,47484.1814,50685,-418.9295122,-3619.748111,3200.818599,0,1,0,0.02876261,0.42769523,-0.110087553,-0.231319848,0.033559284,18488,0.289547305,2422,1588,0.055097307,0.046089625,-0.009007681,0,0.397115161,0.236275249,0.160839912,0,0.490884152
37025,Cabarrus County,2,0,0,87643,98935,131063,178011,201590,0.678146107,0.072826747,34.81047871,38.34571932,1.101556794,8277,7546,6509,40071.34084,58656.08866,82519.64852,91727.88339,88476.88797,29560.47836,25283.33687,28968.96158,-591.516775,-4277.141487,3685.624712,0,1,1,0.790103583,0.709559746,0.769556818,-0.020546765,-0.080543838,0.059997073,1,1,1,64308.49582,53441.52938,63386,-922.4958188,-10866.96644,9944.470617,0,1,1,-0.350900863,-0.056717625,-0.660172674,-0.33581229,0,NA,0.584828393,1918,671,0.074820257,0.079800585,0.004980329,0,0.336040281,0.272804008,0.063236273,0,0.263770093
37051,Cumberland County,1,0,0,203594,274566,302963,319431,327127,0.148054026,0.053858286,94.12554071,27.67946336,0.294069635,14186,12726,8994,86445.10414,85715.66332,89148.82631,107654.8411,107874.8085,25470.61669,25325.86797,23916.91442,-1553.702275,-144.74872,-1408.953555,1,0,1,0.68719573,0.657706777,0.671361441,-0.01583429,-0.029488953,0.013654663,0,1,0,52218.94461,47444.64877,45205,-7013.944611,-4774.295842,-2239.648769,1,1,0,-0.593363969,-0.510481432,-0.326167442,-0.943443033,0.073920521,610670,0.313841761,717,3054,0.070600468,0.061743604,-0.008856864,0,0.283508101,0.228221669,0.055286432,1,0.302200349
37063,Durham County,1,0,0,257521,181835,223314,267587,306212,0.166708925,0.113640996,149.9601641,59.01275298,0.393522862,17393,18385,17193,76065.88511,70790.07771,87703.73347,132974.2456,119948.3877,33336.51741,29761.00039,33869.31933,532.8019153,-3575.517025,4108.318941,0,1,1,0.767099858,0.715286824,0.776887528,0.009787671,-0.051813033,0.061600704,0,1,1,60401.76167,52052.39663,53832,-6569.761667,-8349.365039,1779.603372,1,1,0,0.34053885,0.651463178,0.765745745,-0.395592372,0.240089151,441684877,0.504304844,3097,1230,0.139766962,0.142773634,0.003006672,0,0.622725781,0.344556555,0.278169226,1,0.383678312
37067,Forsyth County,2,0,0,240530,265976,306067,350670,371511,0.318459844,0.087923731,181.5945241,6.347650091,0.034955074,19033,12842,14777,62192.71261,71075.10062,84077.57842,101587.0699,96644.40572,32755.23366,27722.91963,29964.21529,-2791.018371,-5032.314031,2241.29566,1,1,1,0.763242123,0.71927882,0.736692253,-0.026549869,-0.043963303,0.017413433,1,1,0,58673.48826,47809.22748,48271,-10402.48826,-10864.26078,461.7725156,1,1,0,-0.872042058,-0.54503598,-0.71504775,-1.356042444,0.231642494,97800885,0.479324368,1451,1033,0.092327835,0.084530472,-0.007797364,0,0.396519573,0.251665717,0.144853856,1,0.477359268
37071,Gaston County,2,0,0,74499,175011,190365,206086,216965,0.651482981,0.201365048,64.13434724,9.68505934,0.151012051,8807,6374,6345,44821.53735,59182.13226,75860.47998,93133.52788,102620.2972,26897.77256,22330.61459,27892.66606,994.8934941,-4567.157974,5562.051468,0,1,1,0.735365665,0.621158259,0.713884361,-0.021481305,-0.114207406,0.092726101,1,1,1,55028.78266,42886.3167,48711,-6317.78266,-12142.46596,5824.6833,1,1,1,-0.262516067,-0.690880272,0.824670603,-0.921338532,0.029487323,NA,0.343176305,1104,456,0.048493548,0.052764271,0.004270723,0,0.21680755,0.218175294,-0.001367744,0,0.449307366
37081,Guilford County,2,0,0,285281,348141,421048,488406,521330,0.372585609,0.118943177,254.7271532,30.77428237,0.120812728,26676,23655,19499,61698.85296,70752.49388,87049.36714,109282.0303,108022.6624,33231.74114,26803.55751,29037.72343,-4194.017703,-6428.183625,2234.165922,1,1,1,0.7813986,0.710805299,0.740468869,-0.040929731,-0.0705933,0.02966357,1,1,1,59399.64185,46220.23531,47262,-12137.64185,-13179.40653,1041.764687,1,1,0,-0.976118574,-0.620080634,-0.572574122,-1.735700966,0.226791073,19082628,0.402914489,2204,1480,0.099305466,0.103606161,0.004300695,0,0.416703858,0.250413262,0.166290597,1,0.481266977
37119,Mecklenburg County,1,0,0,826395,511163,695454,919628,1054835,0.199360656,0.048853301,365.4104705,307.3983672,0.841241267,62969,50990,58864,72635.23328,78782.00551,92762.56517,111967.8945,112213.695,38502.38748,32754.51138,35843.62602,-2658.761454,-5747.876096,3089.114642,1,1,1,0.785,0.731047276,0.785739123,7.54937e-4,-0.05393691,0.054691846,0,1,1,70495.43585,57309.13852,62978,-7517.435848,-13186.29732,5668.861475,1,1,1,-0.14474084,0.465083277,-0.373861254,-0.525444542,0.05256667,16533431,0.498527449,9759,2672,0.133007807,0.151970687,0.018962881,1,0.561070884,0.319928746,0.241142138,1,0.514437767
37129,New Hanover County,2,0,0,115556,120283,160307,202667,223483,0.245134036,0.048602527,64.46828837,47.32250726,0.734043178,16430,12240,12363,65185.79368,75411.75109,85996.61048,100490.0964,95992.1748,32704.24339,30317.6553,31581.23765,-1123.005738,-2386.588087,1263.582349,0,1,0,0.741563729,0.714964525,0.702575279,-0.03898845,-0.026599204,-0.012389246,1,1,0,55990.48318,50656.6751,50028,-5962.483182,-5333.808082,-628.6751007,1,1,0,-0.574492069,-0.013711119,-0.560546795,-1.149218294,0.181457411,2411107,0.379724221,2383,568,0.046562179,0.042419334,-0.004142845,0,0.429014335,0.234899106,0.194115229,1,0.447110469
37133,Onslow County,1,0,0,68219,149838,150355,177772,187136,0.071673645,0.020090758,32.31440712,16.53559288,0.511709616,5817,4550,5219,98148.99959,93235.36085,96628.00204,112160.8063,107264.5954,23471.36812,24485.10813,23049.15546,-422.2126593,1013.740012,-1435.952671,0,1,1,0.693709508,0.642635903,0.66431487,-0.029394639,-0.051073606,0.021678967,1,1,0,47048.06209,45887.50233,47150,101.9379094,-1160.559762,1262.497671,0,0,0,-0.284573569,0.019527175,-0.492202086,-0.381045796,0,NA,0.360918284,803,2375,0.043227039,0.035567715,-0.007659324,0,0.198021174,0.154532727,0.043488447,0,0.313163736
37135,Orange County,1,0,0,56127.9,93544,118227,133801,141796,0.052741211,0.020480743,42.89811484,25.11480894,0.585452508,5425,4959,5278,65858.23372,69980.05933,77588.35175,80336.46009,80135.16215,37379.31678,36054.39327,38778.45523,1399.138443,-1324.923517,2724.06196,0,0,0,0.788574497,0.730623902,0.76248474,-0.026089757,-0.057950596,0.031860839,1,1,0,59056.7747,52937.48833,66423,7366.225296,-6119.286376,13485.51167,1,1,1,-0.037919228,0.012237482,-0.493304868,0.367309703,0,445932715,0.380485628,496,352,0.138088035,0.117288217,-0.020799818,1,0.656128604,0.383696675,0.27243193,1,0.244779605
37147,Pitt County,2,0,0,90932,107924,133798,168148,177220,0.232828775,0.079080754,43.5585592,35.29977413,0.810398112,7226,7485,5257,67424.35347,77464.90821,85961.68972,98845.1987,94735.302420000007,26360.87516,25688.10823,26517.52423,156.6490708,-672.7669305,829.4160013,0,0,0,0.72699484,0.740949927,0.74903312,0.02203828,0.013955087,0.008083193,0,0,0,45810.39533,43070.80232,46573,762.604669,-2739.593016,3502.197685,0,1,0,-0.08011789,-0.361838992,-0.388062763,0.509548083,0.254598717,9562128,0.280575198,861,669,0.053045606,0.049068954,-0.003976652,0,0.397473609,0.206155684,0.191317924,1,0.30469238
37183,Wake County,1,0,0,448597.159,423365,627846,900993,1046791,0.149042744,0.046298597,230.7405221,311.0369423,1.347994446,56017,50523,53726,63167.47565,65940.95607,85283.16971,105541.8548,106245.5132,38340.79542,34193.94585,39339.66327,998.8678428,-4146.849576,5145.717419,0,1,1,0.802001289,0.760585059,0.810215748,0.008214459,-0.04141623,0.049630689,0,1,1,76640.56281,67453.65109,76097,-543.5628107,-9186.911722,8643.348911,0,1,1,0.432561488,0.819768232,0.320510178,0.157406053,0.056502565,87400339,0.498041053,11050,4414,0.131704612,0.13654206,0.004837449,0,0.603374572,0.402940118,0.200434454,1,0.419599894
38015,Burleigh County,1,0,0,71270,60131,69416,81308,94487,0.02421877,0.017589184,41.02358466,18.86018261,0.459739995,5165,4759,5007,58617.70854,56114.52351,62739.12465,74096.08769,74711.8545,29192.92452,31978.06388,37563.85376,8370.929237,2785.139356,5585.789881,1,1,1,0.82942097,0.822083478,NA,NA,-0.007337492,NA,NA,0,NA,57575.19839,60934.06123,64558,6982.801609,3358.862841,3623.938767,1,0,0,1.04945994,0.802233846,1.588413472,0.757732502,0,0,0.451424998,553,536,0.010555188,0.018108311,0.007553123,0,0.35042197,0.111763378,0.238658592,0,0.355568928
38017,Cass County,1,0,0,118542,102873,123138,149778,175249,0.054677545,0.071815941,70.44264937,50.01516884,0.710012603,10984,9664,9874,63191.3834,63939.0621,67894.2366,88656.1336,86962.0915,29739.18967,32005.20413,34161.3255,4422.135829,2266.014458,2156.121371,1,1,0,0.841211309,0.867647988,0.857180966,0.015969658,0.026436679,-0.010467022,0,1,0,53168.10121,55582.88027,59240,6071.898786,2414.779057,3657.119729,1,0,0,1.01404608,0.905249274,1.168404392,0.968484575,0,20877499,0.470827807,1903,1107,0.048818478,0.054294176,0.005475697,0,0.431909089,0.244480785,0.187428304,0,0.426142519
