"Appendix Table 1: Average price-income ratios in U.S. metro areas, 2012-16",,,,,,,,,,
Note: Figures include only tracts where at least 10% of homes are owner-occupied,,,,,,,,,,
Source: Brookings Institution analysis of 2012-16 American Community Survey data,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,% of tracts where the price-income ratio is…,,
CBSA,Metro Name,# Tracts,# Households,Average price,Average income,Average price-income rato,Map category,Under 10th percentile,Between 10th-90th percentile,Above the 90th percentile
16540,"Chambersburg-Waynesboro, PA",27,"59,392",170811,54952,3.24,Normal range,0.00,0.96,0.04
16580,"Champaign-Urbana, IL",45,"84,697",141411,57261,2.54,Normal range,0.16,0.84,0.00
16620,"Charleston, WV",64,"94,549",107142,45215,2.42,Normal range,0.28,0.70,0.02
16700,"Charleston-North Charleston, SC",150,"271,468",253692,57063,4.39,High,0.01,0.87,0.12
16740,"Charlotte-Concord-Gastonia, NC-SC",528,"875,751",185467,59346,3.12,Normal range,0.02,0.98,0.01
16820,"Charlottesville, VA",45,"83,827",285996,63285,4.75,High,0.00,0.91,0.09
16860,"Chattanooga, TN-GA",116,"208,387",153025,49189,3.19,Normal range,0.00,0.98,0.02
16940,"Cheyenne, WY",19,"36,798",195779,63077,3.09,Normal range,0.05,0.95,0.00
16980,"Chicago-Naperville-Elgin, IL-IN-WI",2167,"3,400,000",238327,66370,3.76,Normal range,0.03,0.91,0.06
17020,"Chico, CA",50,"83,930",226164,46759,5.16,High,0.00,0.84,0.16
17140,"Cincinnati, OH-KY-IN",480,"815,308",154865,58066,2.8,Normal range,0.09,0.90,0.01
17300,"Clarksville, TN-KY",55,"94,122",131749,47109,2.86,Normal range,0.04,0.96,0.00
17420,"Cleveland, TN",24,"45,944",130517,41271,3.29,Normal range,0.00,0.96,0.04
17460,"Cleveland-Elyria, OH",620,"836,168",130128,51722,2.62,Normal range,0.16,0.82,0.02
17660,"Coeur d'Alene, ID",25,"57,213",216564,53002,4.07,Normal range,0.00,1.00,0.00
17780,"College Station-Bryan, TX",47,"81,738",155255,51189,3.59,Normal range,0.15,0.77,0.09
17820,"Colorado Springs, CO",130,"254,885",227603,62554,3.76,Normal range,0.01,0.97,0.02
17860,"Columbia, MO",27,"66,057",166537,52433,3.62,Normal range,0.00,0.96,0.04
17900,"Columbia, SC",182,"296,949",147634,51642,2.94,Normal range,0.07,0.91,0.02
17980,"Columbus, GA-AL",67,"106,538",126564,42443,3.08,Normal range,0.07,0.90,0.03
18020,"Columbus, IN",15,"31,073",144647,58057,2.45,Normal range,0.07,0.93,0.00
18140,"Columbus, OH",414,"744,816",161125,60420,2.71,Normal range,0.07,0.92,0.01
18580,"Corpus Christi, TX",99,"160,663",121820,54472,2.25,Low,0.40,0.60,0.00
18700,"Corvallis, OR",17,"32,144",283306,53221,6.82,Very high,0.00,0.71,0.29
18880,"Crestview-Fort Walton Beach-Destin, FL",51,"99,903",209404,55912,3.67,Normal range,0.00,0.96,0.04
19060,"Cumberland, MD-WV",30,"39,456",119143,40903,2.95,Normal range,0.10,0.90,0.00
19100,"Dallas-Fort Worth-Arlington, TX",1238,"2,300,000",188427,68771,2.7,Normal range,0.21,0.76,0.02
19140,"Dalton, GA",26,"49,080",112319,41308,2.74,Normal range,0.12,0.88,0.00
19180,"Danville, IL",24,"31,540",73779,43831,1.68,Very low,0.92,0.08,0.00
