"","Year","Academic.Institution..Campus.Level..survey.specific.","RDINST","fice","CITY","state","Zip","Total.R.D.Expenditures.in.All.Fields.Sum.","Total.R.D.Expenditures.in.All.Fields.Sum..Flag","Deflated.Total.R.D.Expenditures.in.All.Fields.Sum.","Deflated.Total.R.D.Expenditures.in.All.Fields.Sum..Flag","Business.Financed.R.D.Expenditures.Sum.","Business.Financed.R.D.Expenditures.Sum..Flag","Deflated.Business.Financed.R.D.Expenditures.Sum.","Deflated.Business.Financed.R.D.Expenditures.Sum..Flag","county","fips","cbsacode"
"45",2012,"Bowdoin College",2038,2038,"Brunswick","Maine","04011",4732,"",4514.84,"","5","","4.77","","23005","23005",38860
"46",2012,"Bowdoin College",2038,2038,"Brunswick","Maine","04011",4732,"",4514.84,"","5","","4.77","","23023","23023",38860
"47",2012,"Bowie State University",2062,2062,"Bowie","Maryland","20715",1739,"",1659.19,"","0","","0.00","","24033","24033",47900
"48",2012,"Bowling Green State University",8796,8796,"Bowling Green","Ohio","43402",8566,"",8172.88,"","532","","507.59","","39173","39173",45780
"49",2012,"Bradley University",1641,1641,"Peoria","Illinois","61625",2392,"",2282.22,"","922","","879.69","","17143","17143",37900
"50",2012,"Brandeis University",2133,2133,"Waltham","Massachusetts","02254",74660,"",71233.66,"","5807","","5540.50","","25017","25017",14460
"51",2012,"Brigham Young University, Provo",12305,12305,"Provo","Utah","84601",33843,"",32289.86,"","3592","","3427.15","","49049","49049",39340
"52",2012,"Brown University",3401,3401,"Providence","Rhode Island","02912",365120,"",348363.71,"","4074","","3887.03","","44007","44007",39300
"53",2012,"Bryn Mawr College",3237,3237,"Bryn Mawr","Pennsylvania","19010",9837,"",9385.55,"","11","","10.50","","42091","42091",37980
"54",2012,"Bryn Mawr College",3237,3237,"Bryn Mawr","Pennsylvania","19010",9837,"",9385.55,"","11","","10.50","","42045","42045",37980
"55",2012,"Bucknell University",3238,3238,"Lewisburg","Pennsylvania","17837",4009,"",3825.02,"","190","","181.28","","42119","42119",30260
"56",2012,"CUNY, Baruch College",4766,4766,"New York","New York","10010",3605,"",3439.56,"","162","","154.57","","36061","36061",35620
"57",2012,"CUNY, Brooklyn College",2687,2687,"Brooklyn","New York","11210",9216,"",8793.05,"","332","","316.76","","36047","36047",35620
"58",2012,"CUNY, City College",2688,2688,"New York","New York","10031",57982,"",55321.06,"","1754","","1673.50","","36061","36061",35620
"59",2012,"CUNY, College of Staten Island",4760,29040,"Staten Island","New York","10301",4955,"",4727.6,"","459","","437.94","","36085","36085",35620
"60",2012,"CUNY, Graduate Center",4063,4063,"New York","New York","10036",9173,"",8752.03,"","16","","15.27","","36061","36061",35620
"61",2012,"CUNY, Hunter College",2689,2689,"New York","New York","10021",41022,"",39139.4,"","1156","","1102.95","","36061","36061",35620
"62",2012,"CUNY, John Jay C. of Criminal Justice",2693,2693,"New York","New York","10019",9319,"",8891.33,"","516","","492.32","","36061","36061",35620
"63",2012,"CUNY, Lehman College",7022,7022,"Bronx","New York","10468",3228,"",3079.86,"","30","","28.62","","36005","36005",35620
"64",2012,"CUNY, Medgar Evers College",10097,10097,"Brooklyn","New York","11225",1635,"",1559.97,"","0","","0.00","","36047","36047",35620
"65",2012,"CUNY, Queens College",2690,2690,"Flushing","New York","11367",22399,"",21371.05,"","261","","249.02","","36081","36081",35620
"66",2012,"CUNY, York College",4759,4759,"Jamaica","New York","11451",1544,"",1473.14,"","157","","149.79","","36081","36081",35620
"67",2012,"CUNY, system office",2686,2686,"New York","New York","10021",1817,"",1733.61,"","0","","0.00","","36061","36061",35620
"68",2012,"California Institute of Technology",1131,1131,"Pasadena","California","91125",379713,"",362287,"","9372","","8941.89","","6037","06037",31080
"69",2012,"California Maritime Academy, The",1134,1134,"Vallejo","California","94590",2793,"",2664.82,"","561","","535.25","","6095","06095",46700
"70",2012,"California Polytechnic State University, San Luis Obispo",1143,1143,"Sn Luis Obispo","California","93407",17412,"",16612.92,"","1528","","1457.88","","6079","06079",42020
"71",2012,"California State Polytechnic University, Pomona",1144,1144,"Pomona","California","91768",6597,"",6294.25,"","436","","415.99","","6037","06037",31080
"72",2012,"California State University, Bakersfield",7993,7993,"Bakersfield","California","93311",1241,"",1184.05,"","7","","6.68","","6029","06029",12540
"73",2012,"California State University, Chico",1146,1146,"Chico","California","95929",2492,"",2377.64,"","198","","188.91","","6007","06007",17020
"74",2012,"California State University, Dominguez Hills",1141,1141,"Carson","California","90747",2894,"",2761.19,"","4","","3.82","","6037","06037",31080
"75",2012,"California State University, East Bay",1138,1138,"Hayward","California","94542",1039,"",991.32,"","0","","0.00","","6001","06001",41860
"76",2012,"California State University, Fresno",1147,1147,"Fresno","California","93740",8359,"",7975.38,"","149","","142.16","","6019","06019",23420
"77",2012,"California State University, Fullerton",1137,1137,"Fullerton","California","92634",22222,"",21202.18,"","247","","235.66","","06059","06059",31080
"78",2012,"California State University, Long Beach",1139,1139,"Long Beach","California","90840",13696,"i",13067.46,"i","565","i","539.07","i","6037","06037",31080
"79",2012,"California State University, Los Angeles",1140,1140,"Los Angeles","California","90032",7192,"",6861.94,"","0","","0.00","","6037","06037",31080
"80",2012,"California State University, Monterey Bay",30114,30114,"Seaside","California","93995",6567,"",6265.62,"","27","","25.76","","06053","06053",41500
"81",2012,"California State University, Northridge",1153,1153,"Northridge","California","91330",29491,"",28137.58,"","13","","12.40","","6037","06037",31080
"82",2012,"California State University, Sacramento",1150,1150,"Sacramento","California","95819",14053,"",13408.07,"","661","","630.67","","6067","06067",40900
"83",2012,"California State University, San Bernardino",1142,1142,"Sn Bernardino","California","92407",9303,"",8876.06,"","84","","80.15","","6071","06071",40140
"84",2012,"California State University, San Marcos",30113,30113,"San Marcos","California","92096",7802,"i",7443.95,"i","1","i","0.95","i","6073","06073",41740
"85",2012,"California State University, Stanislaus",1157,1157,"Turlock","California","95380",1881,"",1794.68,"","47","","44.84","","6099","06099",33700
"86",2012,"California State University, Stanislaus",1157,1157,"Turlock","California","95380",1881,"",1794.68,"","47","","44.84","","6047","06047",32900
"87",2012,"Calvin College",2241,2241,"Grand Rapids","Michigan","49506",3252,"",3102.76,"","147","","140.25","","26081","26081",24340
"88",2012,"Carleton College",2340,2340,"Northfield","Minnesota","55057",4957,"",4729.51,"","0","","0.00","","27131","27131",22060
"89",2012,"Carleton College",2340,2340,"Northfield","Minnesota","55057",4957,"",4729.51,"","0","","0.00","","27037","27037",33460
"90",2012,"Carleton College",2340,2340,"Northfield","Minnesota","55057",4957,"",4729.51,"","0","","0.00","","27049","27049",39860
"91",2012,"Carnegie Mellon University",3242,3242,"Pittsburgh","Pennsylvania","15213",255933,"",244187.58,"","20909","","19949.43","","42003","42003",38300
"92",2012,"Case Western Reserve University",3024,3024,"Cleveland","Ohio","44106",431090,"",411306.17,"","6647","","6341.95","","39035","39035",17460
"93",2012,"Catholic University of America, The",1437,1437,"Washington","District of Columbia","20064",24971,"",23825.02,"","2183","","2082.82","","11001","11001",47900
"94",2012,"Central Connecticut State University",1378,1378,"New Britain","Connecticut","06050",1506,"",1436.89,"","0","","0.00","","9003","09003",25540
"95",2012,"Central Michigan University",2243,2243,"Mt Pleasant","Michigan","48859",10907,"",10406.45,"","201","","191.78","","26073","26073",34380
"96",2012,"Central State University",3026,3026,"Wilberforce","Ohio","45384",3591,"",3426.2,"","135","","128.80","","39057","39057",19380
"97",2012,"Central Washington University",3771,3771,"Ellensburg","Washington","98926",2753,"",2626.66,"","86","","82.05","","53037","53037",21260
"98",2012,"Chapman University",1164,1164,"Orange","California","92666",3314,"",3161.91,"","77","","73.47","","06059","06059",31080
"99",2012,"Charles R. Drew University of Medicine and Science",166,166,"Los Angeles","California","90059",20580,"",19635.53,"","0","","0.00","","6037","06037",31080
"100",2012,"Cheyney University of Pennsylvania",3317,3317,"Cheyney","Pennsylvania","19319",259,"",247.11,"","0","","0.00","","42045","42045",37980
"101",2012,"Cheyney University of Pennsylvania",3317,3317,"Cheyney","Pennsylvania","19319",259,"",247.11,"","0","","0.00","","42029","42029",37980
"102",2012,"Chicago State University",1694,1694,"Chicago","Illinois","60628",565,"",539.07,"","0","","0.00","","17031","17031",16980
"103",2012,"Christopher Newport University",3706,3706,"Newport News","Virginia","23606",1327,"",1266.1,"","16","","15.27","","51700","51700",47260
"104",2012,"Claflin University",3424,3424,"Orangeburg","South Carolina","29115",5255,"",5013.83,"","64","","61.06","","45075","45075",36700
"105",2012,"Claremont Graduate University",1169,1169,"Claremont","California","91711",10350,"",9875.01,"","50","","47.71","","6037","06037",31080
"106",2012,"Claremont McKenna College",1170,1170,"Claremont","California","91711",5365,"i",5118.79,"i","0","i","0.00","i","6037","06037",31080
"107",2012,"Clark Atlanta University",1559,1559,"Atlanta","Georgia","30314",10406,"",9928.44,"","40","","38.16","","13121","13121",12060
"108",2012,"Clark University",2139,2139,"Worcester","Massachusetts","01610",7260,"",6926.82,"","280","","267.15","","25027","25027",49340
"109",2012,"Clarkson University",2699,2699,"Potsdam","New York","13676",14809,"",14129.38,"","3394","","3238.24","","36089","36089",36300
"110",2012,"Clemson University",3425,3425,"Clemson","South Carolina","29634",142096,"",135574.85,"","12230","","11668.73","","45077","45077",24860
"111",2012,"Cleveland State University",3032,3032,"Cleveland","Ohio","44115",61111,"",58306.46,"","1593","","1519.89","","39035","39035",17460
"112",2012,"Coastal Carolina University",3451,3451,"Conway","South Carolina","29526",2412,"",2301.31,"","1","","0.95","","45051","45051",34820
"113",2012,"Colby College",2039,2039,"Waterville","Maine","04901",1996,"",1904.4,"","0","","0.00","","23011","23011",12300
"114",2012,"Cold Spring Harbor Laboratory",34563,34563,"Cold Spring Har","New York","11724",84072,"",80213.72,"","5251","","5010.02","","36103","36103",35620
"115",2012,"Cold Spring Harbor Laboratory",34563,34563,"Cold Spring Har","New York","11724",84072,"",80213.72,"","5251","","5010.02","","36059","36059",35620
"116",2012,"Colgate University",2701,2701,"Hamilton","New York","13346",3268,"",3118.02,"","27","","25.76","","36053","36053",45060
"117",2012,"College of Charleston",3428,3428,"Charleston","South Carolina","29424",9579,"",9139.4,"","64","","61.06","","45019","45019",16700
"118",2012,"College of William and Mary",8828,8828,"Williamsburg","Virginia","23185",55805,"",53243.97,"","1301","","1241.29","","51830","51830",47260
"119",2012,"College of William and Mary",8828,8828,"Williamsburg","Virginia","23185",55805,"",53243.97,"","1301","","1241.29","","51036","51036",40060
"120",2012,"College of William and Mary",8828,8828,"Williamsburg","Virginia","23185",55805,"",53243.97,"","1301","","1241.29","","51199","51199",47260
