Jurisdiction,Young..less.educated..and.diverse,Less.educated..prime.age.people,Diverse..less.educated..and.eyeing.retirement,Motivated.and.moderately.educated.younger.people,Moderately.educated.older.people,Highly.educated.and.engaged.younger.people,Highly.educated..high.income.older.people,fips,cbsacode
"Pima County, AZ",0.00,0.51,0.00,0.10,0.22,0.04,0.14,4019,46060
"Pinellas County, FL",0.13,0.26,0.12,0.08,0.22,0.03,0.17,12103,45300
"Polk County, FL",0.20,0.31,0.13,0.13,0.13,0.07,0.04,12105,29460
"Prince George's County, MD",0.00,0.43,0.11,0.09,0.17,0.14,0.05,24033,47900
"Providence County, RI",0.12,0.38,0.12,0.19,0.09,0.10,0.00,44007,39300
"Ramsey County, MN",0.00,0.39,0.13,0.26,0.00,0.05,0.17,27123,33460
"Riverside County, CA",0.20,0.41,0.00,0.08,0.20,0.03,0.09,6065,40140
"Sacramento County, CA",0.00,0.52,0.00,0.23,0.11,0.10,0.04,6067,40900
"Salt Lake County, UT",0.16,0.33,0.00,0.09,0.22,0.02,0.19,49035,41620
"San Bernardino County, CA",0.18,0.33,0.12,0.21,0.06,0.06,0.04,6071,40140
"San Diego County, CA",0.14,0.34,0.00,0.08,0.21,0.15,0.08,6073,41740
"San Joaquin County, CA",0.13,0.33,0.18,0.21,0.05,0.05,0.03,6077,44700
"San Mateo County, CA",0.09,0.30,0.00,0.05,0.22,0.22,0.12,6081,41860
"Santa Clara County, CA",0.00,0.28,0.15,0.06,0.18,0.22,0.12,6085,41940
"Shelby County, TN",0.19,0.30,0.10,0.15,0.10,0.10,0.06,47157,32820
"Snohomish County, WA",0.00,0.34,0.10,0.25,0.10,0.13,0.07,53061,42660
"St. Louis County, MO",0.09,0.28,0.00,0.25,0.08,0.16,0.13,29189,41180
"Stanislaus County, CA",0.20,0.36,0.10,0.15,0.11,0.04,0.03,6099,33700
"Suffolk County, NY",0.14,0.38,0.00,0.07,0.19,0.05,0.18,36103,35620
"Summit County, OH",0.16,0.40,0.00,0.19,0.06,0.04,0.15,39153,10420
"Tarrant County, TX",0.00,0.57,0.00,0.10,0.17,0.10,0.06,48439,19100
"Travis County, TX",0.00,0.38,0.08,0.07,0.16,0.20,0.10,48453,12420
"Tulsa County, OK",0.17,0.37,0.00,0.20,0.09,0.08,0.09,40143,46140
"Union County, NJ",0.14,0.40,0.00,0.07,0.18,0.15,0.07,34039,35620
"Utah County, UT",0.00,0.33,0.00,0.24,0.16,0.21,0.06,49049,39340
"Ventura County, CA",0.00,0.31,0.19,0.12,0.19,0.12,0.07,6111,37100
"Wake County, NC",0.00,0.32,0.07,0.22,0.08,0.06,0.25,37183,39580
"Washington County, OR",0.00,0.34,0.10,0.22,0.17,0.18,0.00,41067,38900
"Westchester County, NY",0.11,0.21,0.12,0.10,0.11,0.22,0.13,36119,35620
"Will County, IL",0.00,0.30,0.22,0.23,0.08,0.12,0.05,17197,16980
"Worcester County, MA",0.12,0.28,0.12,0.18,0.08,0.05,0.17,25027,49340
"Albuquerque, NM",0.16,0.25,0.11,0.09,0.20,0.04,0.14,35001,10740
"Baltimore, MD",0.23,0.42,0.00,0.00,0.23,0.05,0.07,24510,12580
"Boston, MA",0.17,0.37,0.00,0.07,0.14,0.14,0.11,25025,14460
"Brooklyn, New York City",0.21,0.27,0.15,0.14,0.06,0.07,0.12,36047,35620
