GeoType,ID Code,U.S. Regional Title,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
Metropolitan Statistical Area,131540,"Madison, WI",238,258,269,276,228,224,299,250,256,316,398,382,403,452,483,455,5187
Metropolitan Statistical Area,110900,"Allentown-Bethlehem-Easton, PA-NJ",387,384,316,311,286,255,271,269,245,287,324,306,360,358,394,320,5073
Metropolitan Statistical Area,137340,"Palm Bay-Melbourne-Titusville, FL",217,277,291,293,296,314,302,299,228,248,272,287,334,383,434,450,4922
Metropolitan Statistical Area,131700,"Manchester-Nashua, NH",260,257,278,304,283,230,263,258,226,262,327,327,344,353,410,376,4752
Metropolitan Statistical Area,136740,"Orlando-Kissimmee-Sanford, FL",183,253,221,248,253,235,252,220,209,246,303,324,402,405,415,446,4613
Metropolitan Statistical Area,116740,"Charlotte-Gastonia-Rock Hill, NC-SC",273,261,245,216,185,171,209,185,190,211,309,283,398,484,460,451,4527
Metropolitan Statistical Area,141700,"San Antonio-New Braunfels, TX",245,238,223,207,200,149,198,187,149,169,315,327,376,448,497,413,4341
Metropolitan Statistical Area,115380,"Buffalo-Niagara Falls, NY",363,354,333,361,324,218,229,202,177,204,237,256,260,292,272,254,4336
Metropolitan Statistical Area,142060,"Santa Barbara-Santa Maria-Goleta, CA",171,186,188,229,201,209,211,238,173,207,255,274,315,367,438,468,4130
Metropolitan Statistical Area,110740,"Albuquerque, NM",223,251,248,241,246,177,209,187,182,199,257,250,290,280,289,294,3823
Metropolitan Statistical Area,124860,"Greenville-Mauldin-Easley, SC",136,178,181,167,152,147,201,146,134,163,189,282,423,388,441,479,3807
Metropolitan Statistical Area,129820,"Las Vegas-Paradise, NV",167,156,141,181,169,191,171,195,189,144,225,231,377,415,429,418,3799
Metropolitan Statistical Area,117820,"Colorado Springs, CO",272,278,264,309,281,252,242,190,181,173,201,197,226,226,254,204,3750
Metropolitan Statistical Area,139340,"Provo-Orem, UT",132,127,133,124,151,109,155,162,199,242,323,325,361,375,406,396,3720
Metropolitan Statistical Area,119380,"Dayton, OH",274,259,288,288,238,171,188,167,147,153,182,185,255,226,239,260,3519
Metropolitan Statistical Area,118700,"Corvallis, OR",131,155,198,211,247,259,323,290,265,229,250,202,194,188,196,135,3473
Metropolitan Statistical Area,137900,"Peoria, IL",236,188,186,179,132,128,137,144,170,165,215,233,255,233,310,410,3321
Metropolitan Statistical Area,132820,"Memphis, TN-MS-AR",153,144,142,141,133,107,161,159,130,185,296,302,308,311,294,326,3290
Metropolitan Statistical Area,139900,"Reno-Sparks, NV",115,115,122,165,186,145,168,132,149,160,264,276,312,367,328,243,3247
Metropolitan Statistical Area,142220,"Santa Rosa-Petaluma, CA",148,154,173,171,216,186,212,163,140,177,213,198,243,217,281,233,3125
Metropolitan Statistical Area,124540,"Greeley, CO",118,145,153,163,198,203,233,187,160,174,192,191,215,247,266,280,3120
Metropolitan Statistical Area,140060,"Richmond, VA",166,161,169,181,168,132,155,143,143,156,258,224,219,232,253,243,3003
Metropolitan Statistical Area,130460,"Lexington-Fayette, KY",176,203,179,170,155,134,184,189,201,157,230,187,209,173,217,181,2945
Metropolitan Statistical Area,119780,"Des Moines-West Des Moines, IA",119,188,116,147,143,140,178,183,143,189,174,233,249,276,223,218,2919
Metropolitan Statistical Area,134980,"Nashville-Davidson--Murfreesboro--Franklin, TN",155,164,151,159,151,113,149,116,126,130,196,212,210,239,252,220,2743
Metropolitan Statistical Area,128940,"Knoxville, TN",170,183,174,167,140,123,127,136,122,120,202,188,192,222,257,218,2741
Metropolitan Statistical Area,145060,"Syracuse, NY",195,147,140,157,144,147,174,161,123,119,164,188,224,248,190,217,2738
Metropolitan Statistical Area,124340,"Grand Rapids-Wyoming, MI",174,194,195,181,165,140,141,127,135,117,159,189,178,206,193,217,2711
Metropolitan Statistical Area,131140,"Louisville/Jefferson County, KY-IN",147,148,120,152,168,116,125,113,101,96,159,156,189,231,268,300,2589
Metropolitan Statistical Area,113780,"Binghamton, NY",221,237,206,215,185,152,196,157,121,106,116,117,121,112,110,109,2481
Metropolitan Statistical Area,126100,"Holland-Grand Haven, MI",166,165,178,146,129,128,135,106,140,128,133,133,174,151,198,166,2372
Metropolitan Statistical Area,126620,"Huntsville, AL",103,126,132,147,138,114,122,107,112,115,201,148,180,218,215,190,2368
Metropolitan Statistical Area,145780,"Toledo, OH",202,190,147,129,130,104,119,103,110,105,136,143,153,152,178,146,2243
Metropolitan Statistical Area,147260,"Virginia Beach-Norfolk-Newport News, VA-NC",148,149,161,169,137,125,121,127,121,108,161,111,149,141,171,143,2242
Metropolitan Statistical Area,136420,"Oklahoma City, OK",178,176,156,146,115,113,148,136,111,100,120,127,129,152,142,155,2204
Metropolitan Statistical Area,111540,"Appleton, WI",148,175,187,197,199,145,131,112,109,78,118,111,111,118,137,108,2184
Metropolitan Statistical Area,116300,"Cedar Rapids, IA",101,104,129,121,103,82,82,88,106,174,148,175,163,184,225,193,2178
Metropolitan Statistical Area,127260,"Jacksonville, FL",111,106,114,132,124,106,122,107,91,84,168,143,174,173,210,202,2167
Metropolitan Statistical Area,115940,"Canton-Massillon, OH",108,110,140,136,117,105,141,133,135,135,148,166,178,156,132,121,2161
Metropolitan Statistical Area,146140,"Tulsa, OK",135,154,118,138,133,107,130,106,94,91,152,135,148,182,163,174,2160
Metropolitan Statistical Area,135980,"Norwich-New London, CT",165,175,186,184,141,154,139,104,86,86,94,84,106,108,121,108,2041
Metropolitan Statistical Area,123060,"Fort Wayne, IN",153,144,180,142,148,101,93,99,92,99,126,118,144,119,123,141,2022
Metropolitan Statistical Area,124660,"Greensboro-High Point, NC",129,121,122,142,145,103,129,95,66,73,120,151,146,157,142,159,2000
