"","county_name","cbsa_code","county_code","young_less_educated_and_diverse_perc","less_educated_prime_age_people_perc","diverse_less_educated_and_eyeing_retirement_perc","moderately_educated_older_people_perc","highly_educated_and_engaged_younger_people_perc","highly_educated_high_income_older_people_perc"
"74","Providence County, RI","39300","44007",0.98,393,440.07,0.04,0.2,0.04
"75","Ramsey County, MN","33460","27123",1,334.6,271.23,0.01,0.21,0.05
"76","Riverside County, CA","40140","06065",1.01,401.4,60.65,0.12,0.23,0.01
"77","Sacramento County, CA","40900","06067",1.02,409,60.67,0.01,0.33,0.01
"78","Salt Lake County, UT","41620","49035",1.03,416.2,490.35,0.08,0.15,0.01
"79","San Bernardino County, CA","40140","06071",1.04,401.4,60.71,0.1,0.15,0.04
"80","San Diego County, CA","41740","06073",1.05,417.4,60.73,0.06,0.16,0.01
"81","San Joaquin County, CA","44700","06077",1.07,447,60.77,0.05,0.15,0.09
"82","San Mateo County, CA","41860","06081",1.08,418.6,60.81,0.21,0.12,0.01
"83","Santa Clara County, CA","41940","06085",1.09,419.4,60.85,0.01,0.1,0.07
"84","Shelby County, TN","32820","47157",1.11,328.2,471.57,0.11,0.12,0.02
"85","Snohomish County, WA","42660","53061",1.12,426.6,530.61,0.01,0.16,0.02
"86","St. Louis County, MO","41180","29189",1.13,411.8,291.89,0.21,0.1,0.01
"87","Stanislaus County, CA","33700","06099",1.14,337,60.99,0.12,0.18,0.02
"88","Suffolk County, NY","35620","36103",1.15,356.2,361.03,0.06,0.2,0.01
"89","Summit County, OH","10420","39153",1.16,104.2,391.53,0.08,0.22,0.01
"90","Tarrant County, TX","19100","48439",1.17,191,484.39,0.01,0.36,0.01
"91","Travis County, TX","12420","48453",1.19,124.2,484.53,0.01,0.2,0.15
"92","Tulsa County, OK","46140","40143",1.2,461.4,401.43,0.09,0.19,0.01
"93","Union County, NJ","35620","34039",1.21,356.2,340.39,0.06,0.22,0.01
"94","Utah County, UT","39340","49049",1.22,393.4,490.49,0.01,0.15,0.01
"95","Ventura County, CA","37100","06111",1.23,371,61.11,0.01,0.13,0.1
"96","Wake County, NC","39580","37183",1.24,395.8,371.83,0.01,0.14,0.14
"97","Washington County, OR","38900","41067",1.25,389,410.67,0.01,0.16,0.02
"98","Westchester County, NY","35620","36119",1.28,356.2,361.19,0.03,0.03,0.04
"99","Will County, IL","16980","17197",1.29,169.8,171.97,0.01,0.12,0.13
"100","Worcester County, MA","49340","25027",1.3,493.4,250.27,0.04,0.1,0.04
"101","Albuquerque, NM","10740","35001",0.02,107.4,350.01,0.08,0.07,0.03
"102","Baltimore, MD","12580","24510",0.06,125.8,245.1,0.15,0.24,0.01
"103","Boston, MA","14460","25025",0.09,144.6,250.25,0.09,0.19,0.01
"104","Brooklyn, New York City","35620","36047",0.12,356.2,360.47,0.13,0.09,0.07
"105","Chicago, IL","16980","17031",0.16,169.8,170.31,0.01,0.28,0.05
"106","Clark County (excluding Las Vegas), NV","29820","32003",0.17,298.2,320.03,0.01,0.26,0.04
"107","Cook County (excluding Chicago), IL","16980","17031",0.21,169.8,170.31,0.11,0.12,0.01
"108","Denver, CO","19740","08031",0.27,197.4,80.31,0.18,0.06,0.01
"109","Detroit, MI","19820","26163",0.28,198.2,261.63,0.2,0.01,0.01
"110","El Paso, TX","21340","48141",0.32,213.4,481.41,0.01,0.24,0.08
"111","Indianapolis, IN","26900","18097",0.51,269,180.97,0.12,0.23,0.01
"112","Jacksonville, FL","27260","12031",0.53,272.6,120.31,0.09,0.2,0.01
"113","King County (excluding Seattle), WA","42660","53033",0.59,426.6,530.33,0.05,0.1,0.01
"114","Las Vegas, NV","29820","32003",0.62,298.2,320.03,0.11,0.21,0.01
"115","Los Angeles County (excluding Los Angeles city), CA","31080","06037",0.64,310.8,60.37,0.01,0.37,0.01
"116","Los Angeles, CA","31080","06037",0.65,310.8,60.37,0.01,0.29,0.05
"117","Louisville/Jefferson County, KY","31140","21111",0.66,311.4,211.11,0.06,0.11,0.04
"118","Manhattan, New York city","35620","36061",0.68,356.2,360.61,0.01,0.17,0.03
"119","Maricopa County (excluding Phoenix), AZ","38060","04013",0.69,380.6,40.13,0.01,0.2,0.03
"120","Milwaukee, WI","33340","55079",0.73,333.4,550.79,0.01,0.34,0.03
"121","Nashville-Davidson, TN","34980","47037",0.79,349.8,470.37,0.01,0.27,0.03
"122","Philadelphia, PA","37980","42101",0.9,379.8,421.01,0.15,0.17,0.04
"123","Phoenix, AZ","38060","04013",0.91,380.6,40.13,0.1,0.19,0.02
"124","Portland, OR","38900","41051",0.96,389,410.51,0.04,0.1,0.01
"125","Queens and Staten Island, New York City","35620","36085",0.99,356.2,360.85,0.01,0.26,0.08
"126","San Francisco, CA","41860","06075",1.06,418.6,60.75,0.01,0.08,0.05
"127","Seattle, WA","42660","53033",1.1,426.6,530.33,0.03,0.02,0.01
"128","The Bronx, New York City","35620","36005",1.18,356.2,360.05,0.14,0.15,0.04
"129","Washington, DC","47900","11001",1.26,479,110.01,0.11,0.12,0.01
"130","Wayne County (excluding Detroit), MI","19820","26163",1.27,198.2,261.63,0.07,0.23,0.01
