"","young_less_educated_and_diverse_perc","less_educated_prime_age_people_perc","diverse_less_educated_and_eyeing_retirement_perc","moderately_educated_older_people_perc","highly_educated_and_engaged_younger_people_perc","highly_educated_high_income_older_people_perc","stco_code","co_name"
"75",0.01,0.21,0.05,0.01,0.19,0.09,"27123","Ramsey County, MN"
"76",0.12,0.23,0.01,0.12,0.17,0.29,"06065","Riverside County, CA"
"77",0.01,0.33,0.01,0.03,0.02,0.24,"06067","Sacramento County, CA"
"78",0.08,0.15,0.01,0.14,0.11,0.11,"49035","Salt Lake County, UT"
"79",0.1,0.15,0.04,0.2,0.2,0.24,"06071","San Bernardino County, CA"
"80",0.06,0.16,0.01,0.13,0.07,0.28,"06073","San Diego County, CA"
"81",0.05,0.15,0.09,0.19,0.19,0.22,"06077","San Joaquin County, CA"
"82",0.21,0.12,0.01,0.14,0.14,0.04,"06081","San Mateo County, CA"
"83",0.01,0.1,0.07,0.1,0.14,0.04,"06085","Santa Clara County, CA"
"84",0.11,0.12,0.02,0.02,0.02,0.26,"47157","Shelby County, TN"
"85",0.01,0.16,0.02,0.02,0.05,0.27,"53061","Snohomish County, WA"
"86",0.21,0.1,0.01,0.22,0.08,0.05,"29189","St. Louis County, MO"
"87",0.12,0.18,0.02,0.03,0.18,0.22,"06099","Stanislaus County, CA"
"88",0.06,0.2,0.01,0.11,0.19,0.1,"36103","Suffolk County, NY"
"89",0.08,0.22,0.01,0.2,0.18,0.07,"39153","Summit County, OH"
"90",0.01,0.36,0.01,0.09,0.02,0.26,"48439","Tarrant County, TX"
"91",0.01,0.2,0.15,0.08,0.12,0.02,"48453","Travis County, TX"
"92",0.09,0.19,0.01,0.23,0.22,0.29,"40143","Tulsa County, OK"
"93",0.06,0.22,0.01,0.1,0.07,0.27,"34039","Union County, NJ"
"94",0.01,0.15,0.01,0.08,0.13,0.26,"49049","Utah County, UT"
"95",0.01,0.13,0.1,0.11,0.04,0.27,"06111","Ventura County, CA"
"96",0.01,0.14,0.14,0.22,0.2,0.18,"37183","Wake County, NC"
"97",0.01,0.16,0.02,0.09,0.1,0.01,"41067","Washington County, OR"
"98",0.03,0.03,0.04,0.03,0.14,0.05,"36119","Westchester County, NY"
"99",0.01,0.12,0.13,0.22,0.04,0.25,"17197","Will County, IL"
"100",0.04,0.1,0.04,0.22,0.19,0.09,"25027","Worcester County, MA"
"101",0.08,0.07,0.03,0.12,0.18,0.06,"35001","Albuquerque, NM"
"102",0.15,0.24,0.01,0.15,0.19,0.27,"24510","Baltimore, MD"
"103",0.09,0.19,0.01,0.06,0.06,0.03,"25025","Boston, MA"
"104",0.13,0.09,0.07,0.2,0.21,0.04,"36047","Brooklyn, New York City"
"105",0.01,0.28,0.05,0.07,0.04,0.25,"17031","Chicago, IL"
"106",0.01,0.26,0.04,0.21,0.11,0.04,"32003","Clark County (excluding Las Vegas), NV"
"107",0.11,0.12,0.01,0.21,0.2,0.09,"17031","Cook County (excluding Chicago), IL"
"108",0.18,0.06,0.01,0.01,0.03,0.06,"08031","Denver, CO"
"109",0.2,0.01,0.01,0.19,0.19,0.12,"26163","Detroit, MI"
