stco_code,jurisdiction,young_less_educated_and_diverse,less_educated_prime_age_people,diverse_less_educated_and_eyeing_retirement,motivated_and_moderately_educated_younger_people,moderately_educated_older_people,highly_educated_and_engaged_younger_people,highly_educated_high_income_older_people
06071,"San Bernardino County, CA",0.18,0.33,0.12,0.21,0.06,0.06,0.04
06073,"San Diego County, CA",0.14,0.34,0,0.08,0.21,0.15,0.08
06077,"San Joaquin County, CA",0.13,0.33,0.18,0.21,0.05,0.05,0.03
06081,"San Mateo County, CA",0.09,0.3,0,0.05,0.22,0.22,0.12
06085,"Santa Clara County, CA",0,0.28,0.15,0.06,0.18,0.22,0.12
47157,"Shelby County, TN",0.19,0.3,0.1,0.15,0.1,0.1,0.06
53061,"Snohomish County, WA",0,0.34,0.1,0.25,0.1,0.13,0.07
29189,"St. Louis County, MO",0.09,0.28,0,0.25,0.08,0.16,0.13
06099,"Stanislaus County, CA",0.2,0.36,0.1,0.15,0.11,0.04,0.03
36103,"Suffolk County, NY",0.14,0.38,0,0.07,0.19,0.05,0.18
39153,"Summit County, OH",0.16,0.4,0,0.19,0.06,0.04,0.15
48439,"Tarrant County, TX",0,0.57,0,0.1,0.17,0.1,0.06
48453,"Travis County, TX",0,0.38,0.08,0.07,0.16,0.2,0.1
40143,"Tulsa County, OK",0.17,0.37,0,0.2,0.09,0.08,0.09
34039,"Union County, NJ",0.14,0.4,0,0.07,0.18,0.15,0.07
49049,"Utah County, UT",0,0.33,0,0.24,0.16,0.21,0.06
06111,"Ventura County, CA",0,0.31,0.19,0.12,0.19,0.12,0.07
37183,"Wake County, NC",0,0.32,0.07,0.22,0.08,0.06,0.25
41067,"Washington County, OR",0,0.34,0.1,0.22,0.17,0.18,0
36119,"Westchester County, NY",0.11,0.21,0.12,0.1,0.11,0.22,0.13
17197,"Will County, IL",0,0.3,0.22,0.23,0.08,0.12,0.05
25027,"Worcester County, MA",0.12,0.28,0.12,0.18,0.08,0.05,0.17
35001,"Albuquerque, NM",0.16,0.25,0.11,0.09,0.2,0.04,0.14
24510,"Baltimore, MD",0.23,0.42,0,0,0.23,0.05,0.07
25025,"Boston, MA",0.17,0.37,0,0.07,0.14,0.14,0.11
36047,"Brooklyn, New York City",0.21,0.27,0.15,0.14,0.06,0.07,0.12
17031,"Chicago, IL",0,0.46,0.13,0.09,0.15,0.12,0.05
32003,"Clark County (excluding Las Vegas), NV",0,0.44,0.12,0.23,0.07,0.02,0.12
17031,"Cook County (excluding Chicago), IL",0.19,0.3,0,0.21,0.07,0.06,0.17
08031,"Denver, CO",0.27,0.24,0,0.23,0,0.11,0.14
26163,"Detroit, MI",0.66,0,0,0.22,0.05,0.05,0.02
48141,"El Paso, TX",0,0.42,0.16,0.09,0.18,0.06,0.08
18097,"Indianapolis, IN",0.2,0.41,0,0.1,0.15,0.02,0.12
12031,"Jacksonville, FL",0.17,0.38,0,0.24,0.06,0.05,0.1
53033,"King County (excluding Seattle), WA",0.13,0.28,0,0.19,0.09,0.09,0.22
32003,"Las Vegas, NV",0.19,0.39,0,0.12,0.16,0.04,0.09
06037,"Los Angeles County (excluding Los Angeles city), CA",0,0.58,0,0.17,0.07,0.08,0.1
06037,"Los Angeles, CA",0,0.47,0.13,0.16,0.05,0.14,0.05
21111,"Louisville/Jefferson County, KY",0.14,0.29,0.12,0.2,0.08,0.11,0.06
36061,"Manhattan, New York city",0,0.35,0.11,0.12,0.05,0.11,0.26
04013,"Maricopa County (excluding Phoenix), AZ",0,0.38,0.11,0.19,0.12,0.07,0.13
55079,"Milwaukee, WI",0,0.54,0.11,0.19,0.1,0,0.07
47037,"Nashville-Davidson, TN",0,0.45,0.11,0.07,0.15,0.07,0.15
42101,"Philadelphia, PA",0.23,0.35,0.12,0.07,0.11,0.09,0.03
04013,"Phoenix, AZ",0.18,0.37,0.1,0.08,0.14,0.08,0.04
41051,"Portland, OR",0.12,0.28,0,0.11,0.22,0.12,0.16
36085,"Queens and Staten Island, New York City",0,0.44,0.16,0.17,0.04,0.15,0.04
06075,"San Francisco, CA",0,0.26,0.13,0.04,0.19,0.29,0.09
53033,"Seattle, WA",0.11,0.18,0,0.06,0.21,0.11,0.32
36005,"The Bronx, New York City",0.22,0.33,0.12,0.18,0.04,0.08,0.02
11001,"Washington, DC",0.19,0.3,0,0.16,0.07,0.08,0.19
26163,"Wayne County (excluding Detroit), MI",0.15,0.41,0,0.08,0.2,0.1,0.05
