cbsa_code,CBSA,CBSA.Title,Metropolitan.Division.Code,Metropolitan.Division.Title,Level,SOC.code,Occupation.title,Good.sub.BA.jobs,Promising.sub.BA.jobs,Good.and.promising.sub.BA.jobs,Good.high.skill.jobs,Promising.high.skill.jobs,Good.and.promising.high.skill.jobs,Other.jobs,Quality.unknown,Opportunity.jobs..sub.BA.,Opportunity.jobs..high.skill.,cbsa_name
13820,13820,"Birmingham-Hoover, AL",NA,NA,1,NA,Total,0.137527091,0.095750705,0.233277796,0.158081423,0.045763631,0.203845054,0.556803525,0.00607366,0.215345829,0.196846862,"Birmingham-Hoover, AL"
36420,36420,"Oklahoma City, OK",NA,NA,1,NA,Total,0.13459037,0.10521952,0.23980989,0.155459609,0.044180793,0.199640403,0.552932787,0.00761692,0.220785094,0.192399765,"Oklahoma City, OK"
41620,41620,"Salt Lake City, UT",NA,NA,1,NA,Total,0.138724786,0.112083991,0.250808777,0.156284746,0.043146276,0.199431022,0.546084325,0.003675876,0.236096059,0.193231857,"Salt Lake City, UT"
36740,36740,"Orlando-Kissimmee-Sanford, FL",NA,NA,1,NA,Total,0.140969944,0.125549577,0.26651952,0.150949554,0.047740509,0.198690062,0.533329979,0.001460439,0.241321479,0.188884378,"Orlando-Kissimmee-Sanford, FL"
42540,42540,"Scranton--Wilkes-Barre--Hazleton, PA",NA,NA,1,NA,Total,0.17758968,0.128528093,0.306117773,0.148500705,0.048404414,0.196905119,0.492024909,0.004952199,0.287147103,0.188589081,"Scranton--Wilkes-Barre--Hazleton, PA"
19100,19100,"Dallas-Fort Worth-Arlington, TX",NA,NA,1,NA,Total,0.095680664,0.08152492,0.177205584,0.148885466,0.047813294,0.196698759,0.624638826,0.001456831,0.165907784,0.18945868,"Dallas-Fort Worth-Arlington, TX"
44060,44060,"Spokane-Spokane Valley, WA",NA,NA,1,NA,Total,0.210191274,0.138559166,0.34875044,0.163242255,0.033208407,0.196450662,0.447814192,0.006984706,0.325518382,0.191137012,"Spokane-Spokane Valley, WA"
12260,12260,"Augusta-Richmond County, GA-SC",NA,NA,1,NA,Total,0.152818738,0.109001846,0.261820584,0.159560809,0.036411095,0.195971904,0.532513808,0.009693704,0.239938005,0.18895732,"Augusta-Richmond County, GA-SC"
45300,45300,"Tampa-St. Petersburg-Clearwater, FL",NA,NA,1,NA,Total,0.136518246,0.113206014,0.24972426,0.154501843,0.041354108,0.195855952,0.552575229,0.001844559,0.230246698,0.189241725,"Tampa-St. Petersburg-Clearwater, FL"
48620,48620,"Wichita, KS",NA,NA,1,NA,Total,0.17624256,0.114529655,0.290772214,0.151647314,0.042858769,0.194506083,0.511536078,0.003185625,0.270429147,0.186119971,"Wichita, KS"
